organ,pollutant,model,exposure_window,exposure_form,contrast,p25,p75,hazard_ratio,conf_low,conf_high,n_intervals,n_registrations,adverse_events,concordance,wald_chisq,df,p_value
HR,PM2.5,combined_pollutants_cumulative_linear,cumulative,linear,p75_vs_p25,1.4068080361684165,1.934182680736889,1.0270394527559126,0.7860908143704081,1.3418424668426863,125985,72946,9705,0.7567838761496071,0.7525466882058568,1,0.38567113011172616
HR,Ozone,combined_pollutants_cumulative_linear,cumulative,linear,p75_vs_p25,3.635269698590944,4.004470092228481,1.0169516340893032,0.7445218285112581,1.3890668969973201,125985,72946,9705,0.7567838761496071,0.7117345074743712,1,0.3988685981478925
HR,NO2,combined_pollutants_cumulative_linear,cumulative,linear,p75_vs_p25,0.497162420422423,1.20883533477783,1.0065628937763738,0.8432223361275407,1.2015441428892863,125985,72946,9705,0.7567838761496071,0.049345999172514816,1,0.8242052162886739
