organ,organ_label,model_variant,exposure_window,exposure,exposure_label,endpoint,n,people,centers,adverse_events,transplant_or_improvement_censors,other_exit_censors,administrative_censors,hazard_ratio,conf_low,conf_high,p_value,concordance,adjustment_set,variance_estimator,center_adjustment
KI,Kidney,with_organ_score,listing_prior_mean,no2,NO2 listing/prior-year mean per 10-unit increment,death_or_deterioration_delist_cause_specific,691612,560793,282,117243,349988,82632,141749,0.9311074702908853,0.9197837138109264,0.9425706372201618,2.8407509767599773e-30,0.6463364810571427,age + sex + race + listing_year + baseline_organ_score + strata(listing_center),model_based,stratified_baseline_hazard_by_listing_center
KI,Kidney,with_organ_score,listing_prior_mean,pm25,PM2.5 listing/prior-year mean per 5 ug/m3,death_or_deterioration_delist_cause_specific,691612,560793,282,117243,349988,82632,141749,0.9370967871652184,0.9175501924278002,0.9570597835000442,1.5332643879866255e-9,0.6460204225261603,age + sex + race + listing_year + baseline_organ_score + strata(listing_center),model_based,stratified_baseline_hazard_by_listing_center
KI,Kidney,with_organ_score,listing_prior_mean,o3,Ozone listing/prior-year mean per 10 ppb,death_or_deterioration_delist_cause_specific,691612,560793,282,117243,349988,82632,141749,1.0723882375791287,1.0523900332598617,1.0927664608679375,3.4221155778788845e-13,0.646474378680131,age + sex + race + listing_year + baseline_organ_score + strata(listing_center),model_based,stratified_baseline_hazard_by_listing_center
KI,Kidney,without_organ_score,listing_year,no2,NO2 per 10-unit increment,death_or_deterioration_delist_cause_specific,691612,560793,282,117243,349988,82632,141749,0.9303295538731626,0.9186204021840964,0.942187955712728,5.404572790756655e-29,0.6477750764651522,age + sex + race + listing_year + strata(listing_center),model_based,stratified_baseline_hazard_by_listing_center
KI,Kidney,without_organ_score,listing_year,pm25,PM2.5 per 5 ug/m3,death_or_deterioration_delist_cause_specific,691612,560793,282,117243,349988,82632,141749,0.942667231850993,0.9237842978459108,0.961936149031446,1.0722714455964826e-8,0.6474288600319139,age + sex + race + listing_year + strata(listing_center),model_based,stratified_baseline_hazard_by_listing_center
KI,Kidney,without_organ_score,listing_year,o3,Ozone per 10 ppb,death_or_deterioration_delist_cause_specific,691612,560793,282,117243,349988,82632,141749,1.0653717548011106,1.0459283528237016,1.0851766020720086,1.6024728573050103e-11,0.6478945504703305,age + sex + race + listing_year + strata(listing_center),model_based,stratified_baseline_hazard_by_listing_center
KI,Kidney,without_organ_score,listing_prior_mean,no2,NO2 listing/prior-year mean per 10-unit increment,death_or_deterioration_delist_cause_specific,691612,560793,282,117243,349988,82632,141749,0.9329745669159404,0.921625795247732,0.944463085777686,1.1159126694222995e-28,0.6477768498523206,age + sex + race + listing_year + strata(listing_center),model_based,stratified_baseline_hazard_by_listing_center
KI,Kidney,without_organ_score,listing_prior_mean,pm25,PM2.5 listing/prior-year mean per 5 ug/m3,death_or_deterioration_delist_cause_specific,691612,560793,282,117243,349988,82632,141749,0.9406278241205956,0.9210097872906424,0.960663736389412,1.2572394141642572e-8,0.6474261870506726,age + sex + race + listing_year + strata(listing_center),model_based,stratified_baseline_hazard_by_listing_center
KI,Kidney,without_organ_score,listing_prior_mean,o3,Ozone listing/prior-year mean per 10 ppb,death_or_deterioration_delist_cause_specific,691612,560793,282,117243,349988,82632,141749,1.0723553811338986,1.0523455704514464,1.0927456680921963,3.622220031936534e-13,0.6479319859682314,age + sex + race + listing_year + strata(listing_center),model_based,stratified_baseline_hazard_by_listing_center
LI,Liver,with_organ_score,listing_year,no2,NO2 per 10-unit increment,death_or_deterioration_delist_cause_specific,217635,196311,160,41647,146044,19973,9971,0.9673582628578672,0.9474939592728352,0.9876390235116292,0.00171910993325566,0.7495566622930847,age + sex + race + listing_year + baseline_organ_score + strata(listing_center),model_based,stratified_baseline_hazard_by_listing_center
LI,Liver,with_organ_score,listing_year,pm25,PM2.5 per 5 ug/m3,death_or_deterioration_delist_cause_specific,217635,196311,160,41647,146044,19973,9971,0.9811663017226144,0.9508103221195768,1.012491439396639,0.23571609330357743,0.7495130363007306,age + sex + race + listing_year + baseline_organ_score + strata(listing_center),model_based,stratified_baseline_hazard_by_listing_center
LI,Liver,with_organ_score,listing_year,o3,Ozone per 10 ppb,death_or_deterioration_delist_cause_specific,217635,196311,160,41647,146044,19973,9971,1.0509538496254776,1.018876950716331,1.084040612819908,0.00167549012372397,0.7495523505399941,age + sex + race + listing_year + baseline_organ_score + strata(listing_center),model_based,stratified_baseline_hazard_by_listing_center
LI,Liver,with_organ_score,listing_prior_mean,no2,NO2 listing/prior-year mean per 10-unit increment,death_or_deterioration_delist_cause_specific,217635,196311,160,41647,146044,19973,9971,0.9682908660211168,0.9490563098940346,0.9879152495436326,0.00164595349106172,0.7495607910000534,age + sex + race + listing_year + baseline_organ_score + strata(listing_center),model_based,stratified_baseline_hazard_by_listing_center
LI,Liver,with_organ_score,listing_prior_mean,pm25,PM2.5 listing/prior-year mean per 5 ug/m3,death_or_deterioration_delist_cause_specific,217635,196311,160,41647,146044,19973,9971,0.9716749080385624,0.9405155570749894,1.0038665706371397,0.0840063780735829,0.7495273545751442,age + sex + race + listing_year + baseline_organ_score + strata(listing_center),model_based,stratified_baseline_hazard_by_listing_center
LI,Liver,with_organ_score,listing_prior_mean,o3,Ozone listing/prior-year mean per 10 ppb,death_or_deterioration_delist_cause_specific,217635,196311,160,41647,146044,19973,9971,1.0491258118254103,1.0164721470648086,1.082828459408982,0.00295199178894871,0.749535347589128,age + sex + race + listing_year + baseline_organ_score + strata(listing_center),model_based,stratified_baseline_hazard_by_listing_center
LI,Liver,without_organ_score,listing_year,no2,NO2 per 10-unit increment,death_or_deterioration_delist_cause_specific,217652,196317,160,41658,146048,19975,9971,0.9848367001111772,0.964700443245157,1.00539326241337,0.14715647165671353,0.5477046956185366,age + sex + race + listing_year + strata(listing_center),model_based,stratified_baseline_hazard_by_listing_center
LI,Liver,without_organ_score,listing_year,pm25,PM2.5 per 5 ug/m3,death_or_deterioration_delist_cause_specific,217652,196317,160,41658,146048,19975,9971,1.0135861735685332,0.9823343796466992,1.04583220595292,0.398374021982802,0.547726620937181,age + sex + race + listing_year + strata(listing_center),model_based,stratified_baseline_hazard_by_listing_center
LI,Liver,without_organ_score,listing_year,o3,Ozone per 10 ppb,death_or_deterioration_delist_cause_specific,217652,196317,160,41658,146048,19975,9971,1.0413226857378364,1.00934120136023,1.0743175195572536,0.01095399144137023,0.5480039858745245,age + sex + race + listing_year + strata(listing_center),model_based,stratified_baseline_hazard_by_listing_center
LI,Liver,without_organ_score,listing_prior_mean,no2,NO2 listing/prior-year mean per 10-unit increment,death_or_deterioration_delist_cause_specific,217652,196317,160,41658,146048,19975,9971,0.9857153505117496,0.966210915259854,1.0056135124215488,0.15824773976599993,0.5477025610256228,age + sex + race + listing_year + strata(listing_center),model_based,stratified_baseline_hazard_by_listing_center
LI,Liver,without_organ_score,listing_prior_mean,pm25,PM2.5 listing/prior-year mean per 5 ug/m3,death_or_deterioration_delist_cause_specific,217652,196317,160,41658,146048,19975,9971,1.004168274102322,0.972050046161188,1.037347744281088,0.8019739322119367,0.5476987695820185,age + sex + race + listing_year + strata(listing_center),model_based,stratified_baseline_hazard_by_listing_center
LI,Liver,without_organ_score,listing_prior_mean,o3,Ozone listing/prior-year mean per 10 ppb,death_or_deterioration_delist_cause_specific,217652,196317,160,41658,146048,19975,9971,1.0348296602018836,1.0023863488015587,1.068323034241107,0.0351502490341358,0.5479302102775282,age + sex + race + listing_year + strata(listing_center),model_based,stratified_baseline_hazard_by_listing_center
LU,Lung,with_organ_score,listing_year,no2,NO2 per 10-unit increment,death_or_deterioration_delist_cause_specific,46696,43545,83,5638,37727,2413,918,1.037211259358511,0.97782170198075,1.1002079360284511,0.22457451900998457,0.6856822622658132,age + sex + race + listing_year + baseline_organ_score + strata(listing_center),model_based,stratified_baseline_hazard_by_listing_center
LU,Lung,with_organ_score,listing_year,pm25,PM2.5 per 5 ug/m3,death_or_deterioration_delist_cause_specific,46696,43545,83,5638,37727,2413,918,1.0590358095750456,0.9698969890506484,1.1563669736309536,0.2010325715973618,0.6855624295478898,age + sex + race + listing_year + baseline_organ_score + strata(listing_center),model_based,stratified_baseline_hazard_by_listing_center
LU,Lung,with_organ_score,listing_year,o3,Ozone per 10 ppb,death_or_deterioration_delist_cause_specific,46696,43545,83,5638,37727,2413,918,0.9278814238831724,0.8459594855852622,1.0177366073173355,0.1124745071818425,0.6856481814010826,age + sex + race + listing_year + baseline_organ_score + strata(listing_center),model_based,stratified_baseline_hazard_by_listing_center
LU,Lung,with_organ_score,listing_prior_mean,no2,NO2 listing/prior-year mean per 10-unit increment,death_or_deterioration_delist_cause_specific,46696,43545,83,5638,37727,2413,918,1.0335778112483276,0.976346781218798,1.094163582504281,0.2558124942844986,0.6856965542413453,age + sex + race + listing_year + baseline_organ_score + strata(listing_center),model_based,stratified_baseline_hazard_by_listing_center
LU,Lung,with_organ_score,listing_prior_mean,pm25,PM2.5 listing/prior-year mean per 5 ug/m3,death_or_deterioration_delist_cause_specific,46696,43545,83,5638,37727,2413,918,1.061759219413115,0.9700917663379294,1.162088659163037,0.19331344965033773,0.685577087984333,age + sex + race + listing_year + baseline_organ_score + strata(listing_center),model_based,stratified_baseline_hazard_by_listing_center
LU,Lung,with_organ_score,listing_prior_mean,o3,Ozone listing/prior-year mean per 10 ppb,death_or_deterioration_delist_cause_specific,46696,43545,83,5638,37727,2413,918,0.935708718267402,0.8512441762892564,1.0285542384070403,0.16860938007226256,0.685563162469712,age + sex + race + listing_year + baseline_organ_score + strata(listing_center),model_based,stratified_baseline_hazard_by_listing_center
LU,Lung,without_organ_score,listing_year,no2,NO2 per 10-unit increment,death_or_deterioration_delist_cause_specific,46696,43545,83,5638,37727,2413,918,1.06484051680207,1.004008027552104,1.1293588249367414,0.03632785038475832,0.5560485472756562,age + sex + race + listing_year + strata(listing_center),model_based,stratified_baseline_hazard_by_listing_center
LU,Lung,without_organ_score,listing_year,pm25,PM2.5 per 5 ug/m3,death_or_deterioration_delist_cause_specific,46696,43545,83,5638,37727,2413,918,1.0493419854587722,0.9613338301738228,1.1454071082128254,0.28119215047039586,0.5550799910876707,age + sex + race + listing_year + strata(listing_center),model_based,stratified_baseline_hazard_by_listing_center
LU,Lung,without_organ_score,listing_year,o3,Ozone per 10 ppb,death_or_deterioration_delist_cause_specific,46696,43545,83,5638,37727,2413,918,0.925345811501882,0.8440453806805931,1.0144772905144397,0.09820420508297482,0.5564773065416204,age + sex + race + listing_year + strata(listing_center),model_based,stratified_baseline_hazard_by_listing_center
LU,Lung,without_organ_score,listing_prior_mean,no2,NO2 listing/prior-year mean per 10-unit increment,death_or_deterioration_delist_cause_specific,46696,43545,83,5638,37727,2413,918,1.0607809511241049,1.0021534645807348,1.1228382339011591,0.04193933570754785,0.5560371869874128,age + sex + race + listing_year + strata(listing_center),model_based,stratified_baseline_hazard_by_listing_center
LU,Lung,without_organ_score,listing_prior_mean,pm25,PM2.5 listing/prior-year mean per 5 ug/m3,death_or_deterioration_delist_cause_specific,46696,43545,83,5638,37727,2413,918,1.0530184455758749,0.9624453403719848,1.1521151386056503,0.2602494277851035,0.555199823805594,age + sex + race + listing_year + strata(listing_center),model_based,stratified_baseline_hazard_by_listing_center
LU,Lung,without_organ_score,listing_prior_mean,o3,Ozone listing/prior-year mean per 10 ppb,death_or_deterioration_delist_cause_specific,46696,43545,83,5638,37727,2413,918,0.9237160136701772,0.8405442927495224,1.0151175628349516,0.09929347268758852,0.556338784317232,age + sex + race + listing_year + strata(listing_center),model_based,stratified_baseline_hazard_by_listing_center
