WL_ORG,organ_score_name,n,people,centers,adverse_events,transplant_or_improvement_censors,other_exit_censors,administrative_censors,median_followup_days,complete_no2,complete_pm25,complete_o3,complete_no2_listing_prior_mean,complete_pm25_listing_prior_mean,complete_o3_listing_prior_mean,mean_no2_listing_year,mean_pm25_listing_year,mean_o3_listing_year,mean_no2_listing_prior,mean_pm25_listing_prior,mean_o3_listing_prior
HR,US-CRS proxy baseline,74918,70070,169,9973,55946,5620,3379,90,73642,73642,73642,73642,73642,73642,8.66724082872759,8.482267998056646,38.69505224146543,8.90799506224898,8.534976461738,38.66049776121375
KI,Dialysis + age baseline,707388,572743,282,120222,357606,84952,144608,951,691612,691612,691612,691612,691612,691612,9.661811688210557,8.746150458626627,38.607693132819946,9.938530326799306,8.833348991125971,38.589379466843845
LI,"Initial MELD, last if initial missing",222410,200479,160,42574,149312,20405,10119,126,217652,217652,217652,217652,217652,217652,9.011610677318401,8.586322829633398,38.881566980619816,9.269150093321155,8.654733657781595,38.85436244796083
LU,LAS/CAS component proxy baseline,47285,44070,83,5712,38198,2457,918,57,46696,46696,46696,46696,46696,46696,8.266902761302811,8.412148183831919,38.87814395534494,8.49504556702964,8.468928547570037,38.85003839762114
