term,estimate,std.error,statistic,p.value,conf.low,conf.high,model,subgroup,candidates,events,HR,HR_low,HR_high
pm25_interval_5ug,-0.0173109612055965,0.0232950547273953,-0.743117430208849,0.457410587727634,-0.0629684294891808,0.0283465070779878,Single pollutant,All,48311,5776,0.982838012617994,0.938973117082154,1.02875209255045
pm25_interval_5ug,-0.010547355175313,0.0203541398995384,-0.518192133264849,0.604324222918719,-0.050440736314698,0.029346025964072,No center strata,All,48311,5776,0.989508073130113,0.9508102755236,1.02978086374853
pm25_interval_5ug,-0.0197583217949177,0.0239673205880595,-0.824385926759011,0.409720308706287,-0.0667334069534397,0.0272167633636042,Exclude multi-organ,All,45717,5437,0.980435594590946,0.935444551110611,1.02759052260195
pm25_interval_5ug,-0.0178282305551689,0.0233012110291564,-0.765120342151348,0.444199887752579,-0.0634977649684829,0.0278413038581451,Adjust multi-organ,All,48311,5776,0.982329752103597,0.938476216822243,1.02823249494312
pm25_interval_5ug,-0.108195961983055,0.104986691616977,-1.03056835410897,0.302743282604825,-0.313966096408344,0.0975741724422342,Age subgroup,<18,1215,283,0.897451712780411,0.730543795798106,1.10249321314486
pm25_interval_5ug,0.109702087020674,0.0584689083655765,1.87624654003735,0.0606214341333579,-0.00489486759122905,0.224299041632576,Age subgroup,18-39,5477,799,1.11594556626426,0.995117092750418,1.25144519769313
pm25_interval_5ug,-0.0499827210143934,0.038094387191057,-1.31207573345942,0.18949458277131,-0.124646347921989,0.0246809058932023,Age subgroup,40-59,16946,2193,0.951245860922251,0.882809054641391,1.02498800070564
pm25_interval_5ug,-0.0856836169247933,0.0381842757472236,-2.24395029755209,0.024835599423567,-0.160523422165098,-0.0108438116844889,Age subgroup,60+,24673,2501,0.917884588434448,0.851697874730094,0.989214770498837
pm25_interval_5ug,-0.0308369605096842,0.03197968461325,-0.964267186578432,0.33491198759651,-0.0935159905886039,0.0318420695692356,Sex subgroup,Female,20774,3042,0.969633648765274,0.910723454305673,1.03235445224659
pm25_interval_5ug,0.00086596579381339,0.0342256075412922,0.0253016923883273,0.97981432403381,-0.0662149923361218,0.0679469239237486,Sex subgroup,Male,27537,2734,1.00086634085045,0.935929624963421,1.07030849919566
pm25_interval_5ug,-0.000353215200077076,0.0251709853080331,-0.0140326330397702,0.988803946196125,-0.0496874398592087,0.0489810094590546,Race subgroup,White,41708,4838,0.999646847173068,0.951526787373031,1.05020040667683
pm25_interval_5ug,-0.113335639736114,0.0804345312306788,-1.40904208680073,0.158822723709615,-0.270984424061607,0.0443131445893784,Race subgroup,Black,4796,675,0.892850933567028,0.762628374965141,1.04530963669946
pm25_interval_5ug,-0.0737838602170572,0.129415527411768,-0.570131433937563,0.568588556544455,-0.327433632984378,0.179865912550264,Race subgroup,Asian,1251,210,0.928872438433284,0.720771125116749,1.19705684206098
no2_interval_10ppb,-0.0283544901948124,0.0269817970285498,-1.050874786613,0.293316101821601,-0.0812378406089398,0.024528860219315,Single pollutant,All,51932,5939,0.972043725749212,0.921974382416805,1.02483216756152
no2_interval_10ppb,0.0111444746427094,0.0240893939066667,0.462629931076232,0.643629650603727,-0.036069869823756,0.0583588191091749,No center strata,All,51932,5939,1.01120680563376,0.964572896590361,1.06009530992895
no2_interval_10ppb,-0.0102686127027191,0.0276103214065549,-0.371912103141301,0.709958293496988,-0.064383848261142,0.0438466228557038,Exclude multi-organ,All,49197,5578,0.989783929501726,0.937645017036464,1.04482209076975
no2_interval_10ppb,-0.0283952567288646,0.0269796286488949,-1.05247025814893,0.292583849089521,-0.0812743571969636,0.0244838437392343,Adjust multi-organ,All,51932,5939,0.97200409970328,0.921940715672814,1.02478603426305
no2_interval_10ppb,-0.138455666049779,0.113987407045873,-1.21465756295394,0.224496724399417,-0.361866878550796,0.0849555464512386,Age subgroup,<18,1248,284,0.870701852066014,0.696375064129428,1.08866867043689
no2_interval_10ppb,0.0206842027218721,0.0700871911088191,0.295121011337967,0.767901439452507,-0.116684167628989,0.158052573072733,Age subgroup,18-39,5715,813,1.02089960341007,0.889866197336956,1.17122776813174
no2_interval_10ppb,-0.0775249789097371,0.0434073911396087,-1.78598567834676,0.0741015770435824,-0.162601902206213,0.00755194438673892,Age subgroup,40-59,17908,2230,0.925403908527232,0.849929476123647,1.00758053223806
no2_interval_10ppb,-0.101875088439199,0.045152315316791,-2.25625392019077,0.0240547334352379,-0.190372000278706,-0.0133781765996928,Age subgroup,60+,27061,2612,0.903142357544857,0.826651562127005,0.98671091347477
no2_interval_10ppb,-0.0392700139986797,0.0368081299545221,-1.06688424669222,0.286024109316794,-0.111412623047813,0.0328725950504535,Sex subgroup,Female,22171,3119,0.96149105804795,0.894569552749507,1.03341886817495
no2_interval_10ppb,-0.0196635846865363,0.0401296583316538,-0.490001298391966,0.624132980060795,-0.0983162697284754,0.0589891003554028,Sex subgroup,Male,29761,2820,0.980528482624034,0.906362203491005,1.06076367873005
no2_interval_10ppb,-0.0200197984387252,0.0300033622838557,-0.667251831622134,0.504611288473013,-0.0788253079301898,0.0387857110527394,Race subgroup,White,44636,4965,0.98017926709549,0.924201360992507,1.03954769619912
no2_interval_10ppb,-0.0648811106542678,0.0771562226805396,-0.840905741626361,0.400400741610422,-0.216104528291278,0.0863423069827422,Race subgroup,Black,5210,697,0.937178877337866,0.805651084140797,1.09017944047695
no2_interval_10ppb,-0.0350792724473136,0.149385534564528,-0.234823756862221,0.814345527933787,-0.327869540005051,0.257710995110424,Race subgroup,Asian,1399,220,0.965528873386991,0.720457004391701,1.29396480242575
o3_interval_10ppb,-0.0301900053762305,0.013958948739172,-2.16277070289044,0.0305588199984523,-0.0575490421670484,-0.0028309685854127,Single pollutant,All,48311,5776,0.970261161196219,0.944075589738311,0.997173034827417
