term,estimate,std.error,statistic,p.value,conf.low,conf.high,model,subgroup,candidates,events,HR,HR_low,HR_high
pm25_interval_5ug,-0.0173109612055965,0.0232950547273953,-0.743117430208849,0.457410587727634,-0.0629684294891808,0.0283465070779878,Single pollutant,All,48311,5776,0.982838012617994,0.938973117082154,1.02875209255045
age,0.0155983975233609,0.00109637048062086,14.2273052759754,6.20261797242605e-46,0.0134495508676312,0.0177472441790907,Single pollutant,All,48311,5776,1.01572068754141,1.01354040292645,1.01790566229107
sexM,0.0111622775685937,0.0272753154479658,0.409244673627642,0.682360113020638,-0.0422963583763882,0.0646209135135757,Single pollutant,All,48311,5776,1.01122480823382,0.958585653584932,1.06675455548837
raceBLACK,-0.277044916768373,0.0830459390460685,-3.33604412149143,0.000849796757225485,-0.439811966360975,-0.11427786717577,Single pollutant,All,48311,5776,0.75802044851693,0.644157532981261,0.892010061126652
raceMULTI,-0.597315539651887,0.247970555907667,-2.40881639138761,0.0160043473633462,-1.08332889845729,-0.111302180846484,Single pollutant,All,48311,5776,0.550286878398516,0.338466926162276,0.894668356436102
raceMissing,-1.96727211214333,1.00659914733457,-1.95437490420351,0.0506568963527664,-3.94017018778781,0.00562596350114752,Single pollutant,All,48311,5776,0.139837798226966,0.019444905178373,1.00564181895393
raceNATIVE,-0.200050762763598,0.211718343378015,-0.944891026312328,0.344714513339755,-0.615011090650991,0.214909565123795,Single pollutant,All,48311,5776,0.818689193097172,0.540634899283085,1.23974977527883
racePACIFIC,0.0802041923733771,0.365172459846539,0.219633738007194,0.826156413783224,-0.635520677071737,0.795929061818492,Single pollutant,All,48311,5776,1.08350828921746,0.529659634880814,2.21649930538341
raceWHITE,-0.375066764050429,0.0728425112577344,-5.14900924713252,2.61865972927088e-07,-0.517835462659042,-0.232298065441816,Single pollutant,All,48311,5776,0.687243394106644,0.595808803632005,0.792709808690464
zcta_svi_proxy,0.327919103969504,0.0778501381914441,4.21218396765214,2.52913426222432e-05,0.175335636922808,0.480502571016201,Single pollutant,All,48311,5776,1.38807667785412,1.19164610993254,1.61688679847377
post_cas,-5.670027650808,0.2473756682519,-22.9207168630436,2.88785214467266e-116,-6.15487505123325,-5.18518025038274,Single pollutant,All,48311,5776,0.00344776994116043,0.00212310624825253,0.00559892731555632
las_10,0.505249138250523,0.0112368142791723,44.9637348894351,0,0.483225386962379,0.527272889538666,Single pollutant,All,48311,5776,1.65739839036327,1.62129528265373,1.69430544439908
cas_10,1.60982788724386,0.0627838276293466,25.6408050931159,5.3543210251308e-145,1.48677384627877,1.73288192820895,Single pollutant,All,48311,5776,5.0019502542991,4.42280383276767,5.65693331481679
las_unavailable,1.23830314744219,0.0906838961066348,13.6551604045119,1.88074749846231e-42,1.06056597709542,1.41604031778897,Single pollutant,All,48311,5776,3.4497547702923,2.8880050715197,4.12077114840111
cas_unavailable,5.10155736351914,0.349165013893533,14.6107346398534,2.39916907061775e-48,4.41720651162639,5.78590821541189,Single pollutant,All,48311,5776,164.277548045787,82.864480773753,325.67769133339
pm25_interval_5ug,-0.010547355175313,0.0203541398995384,-0.518192133264849,0.604324222918719,-0.050440736314698,0.029346025964072,No center strata,All,48311,5776,0.989508073130113,0.9508102755236,1.02978086374853
age,0.0185592605010001,0.00097384659949195,19.057683736517,5.6731327223329e-81,0.0166505562395291,0.0204679647624711,No center strata,All,48311,5776,1.01873255398235,1.01678994933392,1.02067887002941
sexM,0.00922230701944364,0.0269517069211093,0.342178959070695,0.732216218781046,-0.0436020678678095,0.0620466819066968,No center strata,All,48311,5776,1.00926496352244,0.957334835978624,1.06401201367825
raceBLACK,-0.240560363844458,0.0806178089796515,-2.98396057755895,0.0028454343024565,-0.398568365957105,-0.0825523617318113,No center strata,All,48311,5776,0.786187186734681,0.671280386297061,0.920763223837542
raceMULTI,-0.594906806520889,0.2457867501361,-2.42041853839342,0.0155026523283164,-1.07663998466479,-0.113173628376987,No center strata,All,48311,5776,0.551613970297532,0.340738490934013,0.892995597278539
raceMissing,-1.90510583131181,1.0038657973969,-1.89776943915402,0.0577264606838888,-3.87264663952131,0.0624349768976886,No center strata,All,48311,5776,0.148806893360042,0.0208032378292559,1.06442524443604
raceNATIVE,-0.340800114675081,0.20859697488172,-1.63377304425591,0.10230651434427,-0.749642672727259,0.0680424433770959,No center strata,All,48311,5776,0.711201052653134,0.472535372353169,1.07041073936131
racePACIFIC,0.0987728463379279,0.360525451815224,0.273969135439988,0.784108340825126,-0.607844054729942,0.805389747405797,No center strata,All,48311,5776,1.10381553533785,0.544523567493233,2.23756841538053
raceWHITE,-0.387699052199201,0.0709656938937259,-5.46318976010855,4.67654223132735e-08,-0.526789256368798,-0.248608848029605,No center strata,All,48311,5776,0.678616540691686,0.590497866513136,0.779884967272962
zcta_svi_proxy,0.366110147365849,0.0755267042888637,4.84742649388757,1.2507335160388e-06,0.21808052708867,0.514139767643029,No center strata,All,48311,5776,1.44211407897371,1.24368721409732,1.67219940287289
post_cas,-4.4668657180598,0.169328352173029,-26.3799042554629,2.33035177041164e-153,-4.79874318988046,-4.13498824623915,No center strata,All,48311,5776,0.0114832512522618,0.00824009678085404,0.0160028532224235
las_10,0.487859764396421,0.0108369501691448,45.0181791723531,0,0.466619732362642,0.5090997964302,No center strata,All,48311,5776,1.62882641450019,1.59459491526943,1.66379276841309
cas_10,1.26002985595626,0.0404936819965696,31.1167025034425,1.43173378420647e-212,1.18066369764157,1.33939601427096,No center strata,All,48311,5776,3.52552674376637,3.25653484029857,3.81673755404144
las_unavailable,1.10745701507602,0.0845840804396048,13.0929722155788,3.61192271415992e-39,0.94167526374896,1.27323876640309,No center strata,All,48311,5776,3.02665186972579,2.56427365670924,3.57240402815297
cas_unavailable,3.80327784307492,0.296849852847972,12.8121264221165,1.40238085136599e-37,3.22146282267688,4.38509286347296,No center strata,All,48311,5776,44.8479483643963,25.0647586743744,80.2456747589553
pm25_interval_5ug,-0.0197583217949177,0.0239673205880595,-0.824385926759011,0.409720308706287,-0.0667334069534397,0.0272167633636042,Exclude multi-organ,All,45717,5437,0.980435594590946,0.935444551110611,1.02759052260195
age,0.0168143608704966,0.00115638034112467,14.5405108272105,6.7090129322898e-48,0.0145478970494621,0.0190808246915311,Exclude multi-organ,All,45717,5437,1.01695651787831,1.01465423273152,1.01926402698883
sexM,7.30945247303261e-05,0.0281738583790877,0.00259440946095552,0.997929963068926,-0.0551466532038135,0.0552928422532742,Exclude multi-organ,All,45717,5437,1.0000730971962,0.946346353051782,1.05685005971685
raceBLACK,-0.291322866371047,0.0848821989458605,-3.43208434735366,0.000598961241091352,-0.457688919233497,-0.124956813508597,Exclude multi-organ,All,45717,5437,0.74727436930116,0.632744280170488,0.882535015352465
raceMULTI,-0.59852159940615,0.25543475607237,-2.34314863258694,0.0191217637737884,-1.09916452170777,-0.097878677104532,Exclude multi-organ,All,45717,5437,0.549623599598513,0.333149306470981,0.906758907696961
raceMissing,-1.98772731568652,1.00794166675818,-1.97206582607067,0.0486020925202839,-3.96325668104983,-0.0121979503232077,Exclude multi-organ,All,45717,5437,0.137006444284607,0.0190011327903188,0.987876143104204
raceNATIVE,-0.261613010119467,0.216916356321799,-1.20605478791724,0.227796366061458,-0.68676125616785,0.163535235928916,Exclude multi-organ,All,45717,5437,0.769808874315578,0.503203178939839,1.17766685064179
racePACIFIC,0.0430148650524577,0.390210305146539,0.110235082172686,0.912222940254712,-0.721783279431143,0.807813009536058,Exclude multi-organ,All,45717,5437,1.04395341315752,0.485885014170903,2.24299720521923
raceWHITE,-0.413387690838488,0.0741238856325721,-5.57698355004792,2.44725001124623e-08,-0.558667837072495,-0.268107544604481,Exclude multi-organ,All,45717,5437,0.661405812141503,0.571970514463059,0.764825523821324
zcta_svi_proxy,0.282995159822055,0.0805360722873902,3.51389323795425,0.000441590257026876,0.125147358682456,0.440842960961654,Exclude multi-organ,All,45717,5437,1.32709873840757,1.13331544463342,1.55401664190028
post_cas,-6.21123585559411,0.268495133238223,-23.1335137463485,2.13054574367708e-118,-6.73747664676531,-5.68499506442291,Exclude multi-organ,All,45717,5437,0.00200675587047171,0.00118563516145409,0.00339655001352506
las_10,0.518352363584591,0.0115824374840744,44.7533055367069,0,0.495651203262618,0.541053523906563,Exclude multi-organ,All,45717,5437,1.6792585615432,1.64156688477766,1.71781566908135
cas_10,1.75597225134109,0.067486926657809,26.0194431470365,2.98428720419985e-149,1.62370030566448,1.88824419701769,Exclude multi-organ,All,45717,5437,5.78907344113362,5.07182293211279,6.60775657104375
las_unavailable,1.22772783943083,0.0975709927504407,12.5829183943123,2.62162655791573e-36,1.03649220770415,1.41896347115752,Exclude multi-organ,All,45717,5437,3.41346477816847,2.81931009457217,4.13283441726721
cas_unavailable,5.67850745217825,0.369522666772929,15.3671424320708,2.71899682462997e-53,4.95425633383212,6.40275857052439,Exclude multi-organ,All,45717,5437,292.512515028333,141.777132302397,603.50756189441
pm25_interval_5ug,-0.0178282305551689,0.0233012110291564,-0.765120342151348,0.444199887752579,-0.0634977649684829,0.0278413038581451,Adjust multi-organ,All,48311,5776,0.982329752103597,0.938476216822243,1.02823249494312
age,0.0154042107186619,0.00110653592022749,13.9211122179341,4.71509184701405e-44,0.0132354401674161,0.0175729812699076,Adjust multi-organ,All,48311,5776,1.01552346713605,1.01332341631149,1.01772829454384
sexM,0.0124011696802327,0.0272939920867723,0.454355289647892,0.649573127187944,-0.0410940718041623,0.0658964111646277,Adjust multi-organ,All,48311,5776,1.01247838303346,0.95973884133673,1.06811606653563
raceBLACK,-0.276741147987537,0.08304111215064,-3.33257998141351,0.000860447343981631,-0.439498737038943,-0.113983558936131,Adjust multi-organ,All,48311,5776,0.758250746441313,0.644359333611886,0.892272625673042
raceMULTI,-0.595291452594696,0.24798196670651,-2.40054331571308,0.0163707531087468,-1.08132717615487,-0.109255729034527,Adjust multi-organ,All,48311,5776,0.551401834950729,0.33914512150993,0.89650112681373
raceMissing,-1.97461663530267,1.00664013148862,-1.96159141041059,0.0498100731122471,-3.94759503841303,-0.00163823219230563,Adjust multi-organ,All,48311,5776,0.138814518629498,0.0193010643212502,0.99836310897757
raceNATIVE,-0.202487953731852,0.211748278440602,-0.956267296353261,0.338937208015588,-0.617506953263792,0.212531045800087,Adjust multi-organ,All,48311,5776,0.816696320681729,0.539287231347386,1.23680451055483
racePACIFIC,0.0831788808711629,0.365159815148479,0.227787608111646,0.819811360764416,-0.63252120542116,0.798878967163485,Adjust multi-organ,All,48311,5776,1.08673618747832,0.531250718952986,2.22304742194511
raceWHITE,-0.375435099149966,0.0728370382430713,-5.15445312173549,2.54372182795762e-07,-0.518193070846953,-0.23267712745298,Adjust multi-organ,All,48311,5776,0.686990304856358,0.595595775617948,0.792409379460364
zcta_svi_proxy,0.328066064482082,0.0778591386715639,4.21358455898125,2.51349424089949e-05,0.175464956818507,0.480667172145657,Adjust multi-organ,All,48311,5776,1.38828068530435,1.19180022344794,1.61715296177179
multi_organ_candidate,-0.0730830715659195,0.058539676537883,-1.24843654574389,0.211871232526095,-0.187818729246795,0.0416525861149556,Adjust multi-organ,All,48311,5776,0.929523609836608,0.828764924459362,1.04253222565773
post_cas,-5.67575378574855,0.247418174275685,-22.9399226728768,1.85759612452006e-116,-6.16068449644955,-5.19082307504755,Adjust multi-organ,All,48311,5776,0.00342808396131154,0.00211080793658749,0.00556742252201319
las_10,0.505103983750896,0.0112390780748418,44.9417630509702,0,0.483075795504772,0.527132171997019,Adjust multi-organ,All,48311,5776,1.65715782898894,1.62105276886863,1.69406704267619
cas_10,1.61211900220095,0.0628076714788148,25.6675492697531,2.69329328160418e-145,1.48901822814965,1.73521977625225,Adjust multi-organ,All,48311,5776,5.01342343551112,4.43274144123101,5.67017383643114
las_unavailable,1.23828869066594,0.0906824529275144,13.6552182995728,1.87925334282537e-42,1.06055434889826,1.41602303243362,Adjust multi-organ,All,48311,5776,3.44970489831996,2.8879714894226,4.12069992002309
cas_unavailable,5.10901044839363,0.349174217543355,14.6316944141481,1.76340163362951e-48,4.4246415576787,5.79337933910856,Adjust multi-organ,All,48311,5776,165.506496594419,83.4828780618214,328.119981616752
pm25_interval_5ug,-0.108195961983055,0.104986691616977,-1.03056835410897,0.302743282604825,-0.313966096408344,0.0975741724422342,Age subgroup,<18,1215,283,0.897451712780411,0.730543795798106,1.10249321314486
sexM,0.0647421731754698,0.127263411141122,0.508725741318352,0.610944476629422,-0.184689529210844,0.314173875561783,Age subgroup,<18,1215,283,1.06688391762814,0.831362357515098,1.36912777371316
race_groupBlack,-0.0817052285196846,0.354146847529186,-0.230710026334347,0.817540083755958,-0.775820294915287,0.612409837875917,Age subgroup,<18,1215,283,0.921543563424084,0.460326022987629,1.84487188835549
race_groupOther/Unknown,-0.0607188201916468,0.457035390801904,-0.132853650753634,0.894309123213233,-0.956491725823567,0.835054085440273,Age subgroup,<18,1215,283,0.941087817469474,0.384238538277741,2.30493870854068
race_groupWhite,-0.549075097197473,0.30859154555763,-1.77929403803103,0.0751915679046528,-1.15390341242398,0.0557532180290336,Age subgroup,<18,1215,283,0.577483679727595,0.315403214582398,1.05733671989764
zcta_svi_proxy,0.259583596999236,0.340671467156432,0.761976337983241,0.446074126624626,-0.408120209187791,0.927287403186263,Age subgroup,<18,1215,283,1.2963901535086,0.664898947055843,2.52764339236184
post_cas,-3.4818755616834,1.90546003580897,-1.82731492461092,0.0676524325127421,-7.21650860584938,0.252757482482587,Age subgroup,<18,1215,283,0.0307496839852949,0.000734361895035235,1.28757098044982
las_10,-0.248148150893867,0.113979593438828,-2.17712788234366,0.0294710272294286,-0.471544049006488,-0.0247522527812459,Age subgroup,<18,1215,283,0.780244340818415,0.624037978797996,0.975551572280553
cas_10,0.528770323753999,0.332197716262689,1.59173377139013,0.111444536749543,-0.122325235867326,1.17986588337532,Age subgroup,<18,1215,283,1.69684445586963,0.884860533314985,3.25393776647349
las_unavailable,-0.721151916233973,0.392251595665277,-1.8384932635159,0.0659897536034175,-1.48995091661628,0.0476470841483379,Age subgroup,<18,1215,283,0.486191880948909,0.225383717863456,1.04880045169831
cas_unavailable,-13.43632076259,1798.9395310141,-0.00746902301658558,0.994040637259308,-3539.2930119156,3512.42037039042,Age subgroup,<18,1215,283,1.46110031951103e-06,0,Inf
pm25_interval_5ug,0.109702087020674,0.0584689083655765,1.87624654003735,0.0606214341333579,-0.00489486759122905,0.224299041632576,Age subgroup,18-39,5477,799,1.11594556626426,0.995117092750418,1.25144519769313
sexM,-0.0749759648353661,0.0759054642701421,-0.987754512224997,0.323272890038943,-0.223747941034636,0.0737960113639043,Age subgroup,18-39,5477,799,0.927765785063961,0.799516634309,1.0765871715468
race_groupBlack,0.142728121222917,0.257893716950971,0.553437760758054,0.579963688094531,-0.362734275840153,0.648190518285986,Age subgroup,18-39,5477,799,1.15341616965532,0.695771292179359,1.91207782697567
race_groupOther/Unknown,-0.261999620545768,0.475861433724197,-0.550579647724972,0.581921863715925,-1.19467089227679,0.670671651185251,Age subgroup,18-39,5477,799,0.769511315701846,0.302803592786329,1.9555503273405
race_groupWhite,-0.1673219123979,0.23331741955422,-0.717142820787182,0.473285976304388,-0.624615651689992,0.289971826894192,Age subgroup,18-39,5477,799,0.845927253031311,0.535467194884899,1.33638983724282
zcta_svi_proxy,0.083977758941657,0.212813941099832,0.394606474123152,0.693133334843263,-0.333129901022042,0.501085418905356,Age subgroup,18-39,5477,799,1.08760470406015,0.716677091022136,1.65051179549595
post_cas,-5.1834414670937,0.9509184580007,-5.45098417585863,5.00918279347497e-08,-7.04720739700944,-3.31967553717797,Age subgroup,18-39,5477,799,0.00560867110552384,0.000869834671607287,0.0361645639070826
las_10,0.467541178818235,0.0291594779755298,16.0339351483105,7.4041883546417e-58,0.410389652178208,0.524692705458262,Age subgroup,18-39,5477,799,1.59606492626641,1.50740503434903,1.68993945940874
cas_10,1.43912693493538,0.225533118019401,6.38100048265011,1.75934753412501e-10,0.997090146296334,1.88116372357443,Age subgroup,18-39,5477,799,4.21701248305941,2.71038352304261,6.56113576956664
las_unavailable,0.904003350258477,0.328994282487751,2.74777830004428,0.00600005645808112,0.25918640546289,1.54882029505406,Age subgroup,18-39,5477,799,2.46946950003576,1.29587534055826,4.70591531511026
cas_unavailable,4.64117478849643,1.19796340271807,3.87422084678549,0.000106966377587175,2.29320966437196,6.9891399126209,Age subgroup,18-39,5477,799,103.666061771908,9.90668383682218,1084.78806231333
pm25_interval_5ug,-0.0499827210143934,0.038094387191057,-1.31207573345942,0.18949458277131,-0.124646347921989,0.0246809058932023,Age subgroup,40-59,16946,2193,0.951245860922251,0.882809054641391,1.02498800070564
sexM,-0.0221557367343771,0.0451883219020393,-0.490297842491409,0.623923153500815,-0.110723220184177,0.0664117467154224,Age subgroup,40-59,16946,2193,0.978087898974036,0.895186484193612,1.06866664657164
race_groupBlack,-0.199827741420635,0.134695325674618,-1.48355364538304,0.137927374694018,-0.463825728628779,0.064170245787509,Age subgroup,40-59,16946,2193,0.818871798622194,0.628873139502399,1.06627391195198
race_groupOther/Unknown,-0.0413182064749747,0.229480398726168,-0.180051135976448,0.85711242342162,-0.491091523136155,0.408455110186205,Age subgroup,40-59,16946,2193,0.959523754692549,0.611958063117111,1.50449171488912
race_groupWhite,-0.304840793341008,0.123773567515536,-2.46289090199122,0.0137821845383019,-0.547432527909495,-0.0622490587725216,Age subgroup,40-59,16946,2193,0.73724073868367,0.578433016146201,0.939648829861166
zcta_svi_proxy,0.336473122520314,0.125800974255918,2.6746463969017,0.00748081066507748,0.089907743758665,0.583038501281963,Age subgroup,40-59,16946,2193,1.40000124025929,1.09407334395466,1.7914735639595
post_cas,-5.98629879080855,0.479493646230582,-12.4846258920599,9.05680330254248e-36,-6.92608906823628,-5.04650851338082,Age subgroup,40-59,16946,2193,0.00251294780455736,0.000981833252267644,0.00643175066015002
las_10,0.579743566060218,0.0180265683307373,32.1605063938703,6.29802000036851e-227,0.544412141367122,0.615074990753313,Age subgroup,40-59,16946,2193,1.78558048859714,1.7235948543853,1.84979531190111
cas_10,1.69426640738626,0.116187920334297,14.5821218119019,3.64993670130158e-48,1.46654226809243,1.92199054668009,Age subgroup,40-59,16946,2193,5.44265181118316,4.33422262153324,6.8345494277579
las_unavailable,0.523528319236678,0.213351503058609,2.45383000227967,0.0141343783213,0.105367057194317,0.941689581279038,Age subgroup,40-59,16946,2193,1.68797286234834,1.11111837950876,2.56431037103728
cas_unavailable,5.78342638664877,0.589968085889246,9.80294786273319,1.0934696953111e-22,4.62711018627782,6.93974258701973,Age subgroup,40-59,16946,2193,324.870417243926,102.218245197953,1032.50440071492
pm25_interval_5ug,-0.0856836169247933,0.0381842757472236,-2.24395029755209,0.024835599423567,-0.160523422165098,-0.0108438116844889,Age subgroup,60+,24673,2501,0.917884588434448,0.851697874730094,0.989214770498837
