model,organ,organ_label,pollutant,exposure_label,subgroup,subgroup_label,subgroup_level,n,people,centers,adverse_events,hazard_ratio,conf_low,conf_high,p_value,adjustment_set,error
time_varying,LI,Liver,pm25,Monthly PM2.5 per 5 ug/m3,age_group,Age group,<18,162277,12632,111,1106,1.003426913459269,0.9188347251792015,1.0958070511081577,0.9393123293834489,sex + race_group + zcta_svi_proxy + organ_score_tv + strata(listing_center),NA
time_varying,LI,Liver,pm25,Monthly PM2.5 per 5 ug/m3,age_group,Age group,18-39,346480,21162,149,2648,1.0771223754450459,1.0142543619674835,1.1438872290712156,0.015467679255387605,sex + race_group + zcta_svi_proxy + organ_score_tv + strata(listing_center),NA
time_varying,LI,Liver,pm25,Monthly PM2.5 per 5 ug/m3,age_group,Age group,40-59,1785728,109136,131,21776,1.0398698745044548,1.0181428699402975,1.0620605298402948,2.8460497654798634e-4,sex + race_group + zcta_svi_proxy + organ_score_tv + strata(listing_center),NA
time_varying,LI,Liver,pm25,Monthly PM2.5 per 5 ug/m3,age_group,Age group,60+,950617,75907,127,18334,1.0234525650982198,0.9986391895670217,1.0488824832322763,0.06413788647684734,sex + race_group + zcta_svi_proxy + organ_score_tv + strata(listing_center),NA
time_varying,LI,Liver,pm25,Monthly PM2.5 per 5 ug/m3,sex,Sex,Female,1247311,82567,159,17455,1.0609483064761474,1.0360402575636436,1.0864551843396482,1.055708589879236e-6,age_interval + race_group + zcta_svi_proxy + organ_score_tv + strata(listing_center),NA
time_varying,LI,Liver,pm25,Monthly PM2.5 per 5 ug/m3,sex,Sex,Male,1997791,136270,159,26409,1.0210091461259359,1.0011209151730474,1.0412924759369546,0.038304147731642924,age_interval + race_group + zcta_svi_proxy + organ_score_tv + strata(listing_center),NA
time_varying,LI,Liver,pm25,Monthly PM2.5 per 5 ug/m3,race_group,Race,White,2776479,186462,160,37657,1.0303940170000188,1.0135890460385328,1.0474776088188633,3.586668222851625e-4,age_interval + sex + zcta_svi_proxy + organ_score_tv + strata(listing_center),NA
time_varying,LI,Liver,pm25,Monthly PM2.5 per 5 ug/m3,race_group,Race,Black,265905,18825,156,3742,1.086535142259633,1.02692626657494,1.1496040697280283,0.0039401009892967,age_interval + sex + zcta_svi_proxy + organ_score_tv + strata(listing_center),NA
time_varying,LI,Liver,pm25,Monthly PM2.5 per 5 ug/m3,race_group,Race,Asian,153738,9473,148,1756,1.0465906701500602,0.9800392967694183,1.117661337107449,0.17431231149490542,age_interval + sex + zcta_svi_proxy + organ_score_tv + strata(listing_center),NA
time_varying,LU,Lung,pm25,Monthly PM2.5 per 5 ug/m3,age_group,Age group,<18,21254,1215,60,283,0.9333149526846398,0.7602001515937157,1.1458519168650116,0.5097046355230803,sex + race_group + zcta_svi_proxy + organ_score_tv + strata(listing_center),NA
