model,organ,organ_label,pollutant,exposure_label,subgroup,subgroup_label,subgroup_level,n,people,centers,adverse_events,hazard_ratio,conf_low,conf_high,p_value,adjustment_set,error,hazard_ratio_ci,p_value_display
baseline_prior_year,HR,Heart,o3,O3 per 10 ppb,age_group,Age group,18-39,10226,10226,156,1086,1.057998899823491,0.8599640152594789,1.3016378036352718,0.5938989164305488,sex + race_group + zcta_svi_proxy + strata(listing_center),NA,1.06 (0.86-1.30),0.594
baseline_prior_year,HR,Heart,o3,O3 per 10 ppb,age_group,Age group,40-59,29893,29893,136,3797,0.9973763468509715,0.8876596868895464,1.1206542236288013,0.964758890196769,sex + race_group + zcta_svi_proxy + strata(listing_center),NA,1.00 (0.89-1.12),0.965
baseline_prior_year,HR,Heart,o3,O3 per 10 ppb,age_group,Age group,60+,23268,23268,127,3435,0.9608602036255524,0.8473258330608521,1.0896072029058896,0.5337239404330554,sex + race_group + zcta_svi_proxy + strata(listing_center),NA,0.96 (0.85-1.09),0.534
baseline_prior_year,HR,Heart,o3,O3 per 10 ppb,sex,Sex,Female,21247,21247,164,2747,0.9217980505884592,0.8077172430994507,1.0519914652410884,0.22703480445763993,age + race_group + zcta_svi_proxy + strata(listing_center),NA,0.92 (0.81-1.05),0.227
baseline_prior_year,HR,Heart,o3,O3 per 10 ppb,sex,Sex,Male,52781,52781,166,7263,1.0205674811411083,0.9397073324140973,1.108385502204134,0.6288116558157051,age + race_group + zcta_svi_proxy + strata(listing_center),NA,1.02 (0.94-1.11),0.629
baseline_prior_year,HR,Heart,o3,O3 per 10 ppb,race_group,Race,White,52897,52897,166,7107,1.0268726010908782,0.9465693000935647,1.1139885254750137,0.5232946577931126,age + sex + zcta_svi_proxy + strata(listing_center),NA,1.03 (0.95-1.11),0.523
baseline_prior_year,HR,Heart,o3,O3 per 10 ppb,race_group,Race,Black,17454,17454,162,2480,0.9092407529083486,0.7747180246569024,1.067122127583733,0.24413930540963216,age + sex + zcta_svi_proxy + strata(listing_center),NA,0.91 (0.77-1.07),0.244
baseline_prior_year,HR,Heart,o3,O3 per 10 ppb,race_group,Race,Asian,2436,2436,146,263,0.9482809409762539,0.6487094116878439,1.386193458607501,0.7839745530704372,age + sex + zcta_svi_proxy + strata(listing_center),NA,0.95 (0.65-1.39),0.784
baseline_prior_year,HR,Heart,no2,NO2 per 10 ppb,age_group,Age group,<18,11217,11217,115,1734,1.335484379832154,1.2184789579279347,1.463725341477056,6.253865989789539e-10,sex + race_group + zcta_svi_proxy + strata(listing_center),NA,1.34 (1.22-1.46),<.001
baseline_prior_year,HR,Heart,no2,NO2 per 10 ppb,age_group,Age group,18-39,10888,10888,157,1104,1.0988216080545925,0.9775470247312443,1.235141528520975,0.11424960742754599,sex + race_group + zcta_svi_proxy + strata(listing_center),NA,1.10 (0.98-1.24),0.114
baseline_prior_year,HR,Heart,no2,NO2 per 10 ppb,age_group,Age group,40-59,31995,31995,136,3873,1.2087926461978602,1.1332355833956145,1.2893873815043497,8.510573923212709e-9,sex + race_group + zcta_svi_proxy + strata(listing_center),NA,1.21 (1.13-1.29),<.001
baseline_prior_year,HR,Heart,no2,NO2 per 10 ppb,age_group,Age group,60+,25281,25281,127,3531,1.1197863824074583,1.041575617128868,1.2038699078629087,0.0021938497337480882,sex + race_group + zcta_svi_proxy + strata(listing_center),NA,1.12 (1.04-1.20),0.002
baseline_prior_year,HR,Heart,no2,NO2 per 10 ppb,sex,Sex,Female,22764,22764,165,2811,1.277722551938468,1.186699644596046,1.3757271498028312,8.049547719368313e-11,age + race_group + zcta_svi_proxy + strata(listing_center),NA,1.28 (1.19-1.38),<.001
baseline_prior_year,HR,Heart,no2,NO2 per 10 ppb,sex,Sex,Male,56617,56617,167,7431,1.1381556231973255,1.0857088925249878,1.1931358686793463,7.59865617784422e-8,age + race_group + zcta_svi_proxy + strata(listing_center),NA,1.14 (1.09-1.19),<.001
baseline_prior_year,HR,Heart,no2,NO2 per 10 ppb,race_group,Race,White,56281,56281,166,7247,1.1731229614595644,1.1185460994491727,1.230362774839031,5.064546240806145e-11,age + sex + zcta_svi_proxy + strata(listing_center),NA,1.17 (1.12-1.23),<.001
baseline_prior_year,HR,Heart,no2,NO2 per 10 ppb,race_group,Race,Black,18894,18894,164,2545,1.220182983804659,1.1268177220925921,1.3212842545656198,9.597121843327142e-7,age + sex + zcta_svi_proxy + strata(listing_center),NA,1.22 (1.13-1.32),<.001
baseline_prior_year,HR,Heart,no2,NO2 per 10 ppb,race_group,Race,Asian,2660,2660,151,277,1.0273285745087144,0.7975539864837744,1.323301015214195,0.8346574100373279,age + sex + zcta_svi_proxy + strata(listing_center),NA,1.03 (0.80-1.32),0.835
baseline_prior_year,KI,Kidney,pm25,PM2.5 per 5 ug/m3,age_group,Age group,<18,16636,16636,181,549,0.7639290450927901,0.6131361553364824,0.9518074914634838,0.016385115873294356,sex + race_group + zcta_svi_proxy + strata(listing_center),NA,0.76 (0.61-0.95),0.016
baseline_prior_year,KI,Kidney,pm25,PM2.5 per 5 ug/m3,age_group,Age group,18-39,95454,95454,271,9834,0.7911676047772269,0.7530178750373363,0.8312500932569477,1.5450084042355024e-20,sex + race_group + zcta_svi_proxy + strata(listing_center),NA,0.79 (0.75-0.83),<.001
baseline_prior_year,KI,Kidney,pm25,PM2.5 per 5 ug/m3,age_group,Age group,40-59,260777,260777,237,55839,0.8927513233136057,0.8746751585984748,0.9112010526916821,1.6009994669342414e-27,sex + race_group + zcta_svi_proxy + strata(listing_center),NA,0.89 (0.87-0.91),<.001
baseline_prior_year,KI,Kidney,pm25,PM2.5 per 5 ug/m3,age_group,Age group,60+,191312,191312,237,57077,0.9743432391343361,0.9541006556400926,0.9950152974267564,0.015246064705769913,sex + race_group + zcta_svi_proxy + strata(listing_center),NA,0.97 (0.95-1.00),0.015
baseline_prior_year,KI,Kidney,pm25,PM2.5 per 5 ug/m3,sex,Sex,Female,217410,217410,275,45639,0.9231623258170462,0.9021874610078204,0.9446248331316043,9.223171547647944e-12,age + race_group + zcta_svi_proxy + strata(listing_center),NA,0.92 (0.90-0.94),<.001
