time,cif_adverse,cif_transplant_or_improvement,n_risk,strata,quartile,pollutant,pollutant_label,subgroup,cif_adverse_percent,cif_transplant_or_improvement_percent
1,0.0834717447863911,0.7164712862564774,2706,quartile=Q1 lowest,Q1 lowest,no2,NO[2],No durable LVAD,8.347174478639111,71.64712862564774
3,0.1035436222599983,0.8231864475034211,669,quartile=Q1 lowest,Q1 lowest,no2,NO[2],No durable LVAD,10.35436222599983,82.3186447503421
5,0.11291256346958743,0.8524525223202578,220,quartile=Q1 lowest,Q1 lowest,no2,NO[2],No durable LVAD,11.291256346958743,85.24525223202578
10,0.11749264050890684,0.8740252621382423,31,quartile=Q1 lowest,Q1 lowest,no2,NO[2],No durable LVAD,11.749264050890684,87.40252621382423
1,0.09421424519097855,0.6683136447771424,3440,quartile=Q2,Q2,no2,NO[2],No durable LVAD,9.421424519097856,66.83136447771425
3,0.12063767134353717,0.7828061350260805,1097,quartile=Q2,Q2,no2,NO[2],No durable LVAD,12.063767134353718,78.28061350260805
5,0.1310852853907908,0.8176456509780061,478,quartile=Q2,Q2,no2,NO[2],No durable LVAD,13.108528539079082,81.76456509780061
10,0.13876012424122913,0.8464043655371521,95,quartile=Q2,Q2,no2,NO[2],No durable LVAD,13.876012424122914,84.64043655371522
1,0.10419811130086522,0.6344452373121029,3920,quartile=Q3,Q3,no2,NO[2],No durable LVAD,10.419811130086522,63.44452373121029
3,0.1322086422465055,0.7582712379639207,1383,quartile=Q3,Q3,no2,NO[2],No durable LVAD,13.22086422465055,75.82712379639207
5,0.14582376677473968,0.7945851091898526,651,quartile=Q3,Q3,no2,NO[2],No durable LVAD,14.582376677473968,79.45851091898525
10,0.1535912454155318,0.8308107686499571,127,quartile=Q3,Q3,no2,NO[2],No durable LVAD,15.359124541553179,83.08107686499571
1,0.1147195388367695,0.6132226181310988,4291,quartile=Q4 highest,Q4 highest,no2,NO[2],No durable LVAD,11.47195388367695,61.32226181310988
3,0.14573734108905848,0.7321600137185551,1715,quartile=Q4 highest,Q4 highest,no2,NO[2],No durable LVAD,14.573734108905848,73.21600137185551
5,0.15857630851806392,0.7704664819550233,907,quartile=Q4 highest,Q4 highest,no2,NO[2],No durable LVAD,15.857630851806393,77.04664819550233
10,0.1677876946872602,0.8087896382118432,236,quartile=Q4 highest,Q4 highest,no2,NO[2],No durable LVAD,16.778769468726022,80.87896382118433
1,0.10561546301927266,0.6236677603047727,3790,quartile=Q1 lowest,Q1 lowest,o3,O[3],No durable LVAD,10.561546301927265,62.36677603047727
3,0.13485913892405238,0.7498370183663713,1346,quartile=Q1 lowest,Q1 lowest,o3,O[3],No durable LVAD,13.485913892405238,74.98370183663712
5,0.14770134148915656,0.7886129604302707,620,quartile=Q1 lowest,Q1 lowest,o3,O[3],No durable LVAD,14.770134148915655,78.86129604302707
10,0.1569754901791131,0.8247522453448317,126,quartile=Q1 lowest,Q1 lowest,o3,O[3],No durable LVAD,15.69754901791131,82.47522453448317
1,0.10044106096959499,0.6401867898900098,3653,quartile=Q2,Q2,o3,O[3],No durable LVAD,10.0441060969595,64.01867898900097
3,0.12811134941541966,0.7646157194548053,1218,quartile=Q2,Q2,o3,O[3],No durable LVAD,12.811134941541965,76.46157194548053
5,0.1409191016208435,0.8016884488336681,534,quartile=Q2,Q2,o3,O[3],No durable LVAD,14.09191016208435,80.1688448833668
10,0.14841370318978642,0.8375850427275544,84,quartile=Q2,Q2,o3,O[3],No durable LVAD,14.841370318978642,83.75850427275545
1,0.10314757223953677,0.6614145537756568,3347,quartile=Q3,Q3,o3,O[3],No durable LVAD,10.314757223953677,66.14145537756568
3,0.1309739219877921,0.773598852133987,1085,quartile=Q3,Q3,o3,O[3],No durable LVAD,13.09739219877921,77.3598852133987
5,0.14371054760482369,0.8072121477028554,475,quartile=Q3,Q3,o3,O[3],No durable LVAD,14.371054760482368,80.72121477028554
10,0.15101952832257043,0.8374660449441277,83,quartile=Q3,Q3,o3,O[3],No durable LVAD,15.101952832257043,83.74660449441276
1,0.09812531021084912,0.6703164714970417,3567,quartile=Q4 highest,Q4 highest,o3,O[3],No durable LVAD,9.812531021084911,67.03164714970417
3,0.12226690933075811,0.780657164900761,1215,quartile=Q4 highest,Q4 highest,o3,O[3],No durable LVAD,12.22669093307581,78.0657164900761
5,0.13147912034642978,0.8126064258650796,627,quartile=Q4 highest,Q4 highest,o3,O[3],No durable LVAD,13.147912034642978,81.26064258650796
10,0.13793262621960445,0.8408271015383484,196,quartile=Q4 highest,Q4 highest,o3,O[3],No durable LVAD,13.793262621960444,84.08271015383484
1,0.08596777433727103,0.6787638385275331,3265,quartile=Q1 lowest,Q1 lowest,pm25,PM[2.5],No durable LVAD,8.596777433727103,67.8763838527533
3,0.1081843084174903,0.7999179392187762,988,quartile=Q1 lowest,Q1 lowest,pm25,PM[2.5],No durable LVAD,10.81843084174903,79.99179392187762
5,0.11887280280243705,0.837010170989773,361,quartile=Q1 lowest,Q1 lowest,pm25,PM[2.5],No durable LVAD,11.887280280243704,83.7010170989773
10,0.12434540339398002,0.865893581501794,39,quartile=Q1 lowest,Q1 lowest,pm25,PM[2.5],No durable LVAD,12.434540339398001,86.5893581501794
1,0.09393719575397731,0.6614490301506283,3433,quartile=Q2,Q2,pm25,PM[2.5],No durable LVAD,9.393719575397732,66.14490301506282
3,0.1214783179826592,0.7832553663977652,1036,quartile=Q2,Q2,pm25,PM[2.5],No durable LVAD,12.147831798265921,78.32553663977652
5,0.13234941862127078,0.8190529531032389,428,quartile=Q2,Q2,pm25,PM[2.5],No durable LVAD,13.234941862127078,81.9052953103239
10,0.13911480368560272,0.8489720480020814,64,quartile=Q2,Q2,pm25,PM[2.5],No durable LVAD,13.911480368560273,84.89720480020814
1,0.10715456646762003,0.6337068000050967,3690,quartile=Q3,Q3,pm25,PM[2.5],No durable LVAD,10.715456646762004,63.37068000050967
3,0.13762185890827736,0.7521801226702696,1278,quartile=Q3,Q3,pm25,PM[2.5],No durable LVAD,13.762185890827736,75.21801226702695
5,0.14991216784325792,0.7892363293053666,614,quartile=Q3,Q3,pm25,PM[2.5],No durable LVAD,14.991216784325792,78.92363293053666
10,0.15815814492434616,0.825817142754463,130,quartile=Q3,Q3,pm25,PM[2.5],No durable LVAD,15.815814492434615,82.5817142754463
1,0.11832393279818297,0.6262688112794892,3969,quartile=Q4 highest,Q4 highest,pm25,PM[2.5],No durable LVAD,11.832393279818296,62.62688112794892
3,0.14641140940274577,0.7385924494472366,1562,quartile=Q4 highest,Q4 highest,pm25,PM[2.5],No durable LVAD,14.641140940274578,73.85924494472366
5,0.1596295526222644,0.7712666309316117,853,quartile=Q4 highest,Q4 highest,pm25,PM[2.5],No durable LVAD,15.962955262226439,77.12666309316117
10,0.16890594287562727,0.805893071141002,256,quartile=Q4 highest,Q4 highest,pm25,PM[2.5],No durable LVAD,16.890594287562728,80.5893071141002
1,0.053116327752338446,0.5736488049802321,990,quartile=Q1 lowest,Q1 lowest,no2,NO[2],Durable LVAD,5.311632775233845,57.364880498023204
3,0.10382508293921718,0.747477577999349,219,quartile=Q1 lowest,Q1 lowest,no2,NO[2],Durable LVAD,10.382508293921717,74.7477577999349
5,0.12088378286936624,0.8011188750923064,61,quartile=Q1 lowest,Q1 lowest,no2,NO[2],Durable LVAD,12.088378286936624,80.11188750923064
10,0.13887058718462347,0.8502119813703253,4,quartile=Q1 lowest,Q1 lowest,no2,NO[2],Durable LVAD,13.887058718462347,85.02119813703253
1,0.06079337116925764,0.5591780867386,1153,quartile=Q2,Q2,no2,NO[2],Durable LVAD,6.079337116925764,55.91780867386
3,0.10555189505857647,0.7348174839020148,339,quartile=Q2,Q2,no2,NO[2],Durable LVAD,10.555189505857648,73.48174839020149
5,0.13452059814495687,0.7900642699563033,99,quartile=Q2,Q2,no2,NO[2],Durable LVAD,13.452059814495687,79.00642699563033
10,0.15133067761771227,0.830699939545284,9,quartile=Q2,Q2,no2,NO[2],Durable LVAD,15.133067761771226,83.0699939545284
1,0.07518661439010167,0.5730194359506209,1127,quartile=Q3,Q3,no2,NO[2],Durable LVAD,7.518661439010168,57.301943595062085
3,0.11754981468350378,0.7412731511333985,350,quartile=Q3,Q3,no2,NO[2],Durable LVAD,11.754981468350378,74.12731511333985
5,0.14340507918926715,0.7949430964985431,111,quartile=Q3,Q3,no2,NO[2],Durable LVAD,14.340507918926715,79.49430964985432
10,0.1563876713719685,0.8309482069873394,9,quartile=Q3,Q3,no2,NO[2],Durable LVAD,15.638767137196849,83.09482069873394
1,0.07294933774011109,0.5526590523213484,1159,quartile=Q4 highest,Q4 highest,no2,NO[2],Durable LVAD,7.294933774011109,55.26590523213484
3,0.1199145545527632,0.7394462684316262,362,quartile=Q4 highest,Q4 highest,no2,NO[2],Durable LVAD,11.99145545527632,73.94462684316262
