time,cif_adverse,cif_transplant_or_improvement,n_risk,strata,quartile,pollutant,pollutant_label,subgroup,cif_adverse_percent,cif_transplant_or_improvement_percent
1,0.03280589699848254,0.2770730853471058,34380,quartile=Q1 lowest,Q1 lowest,no2,NO[2],Not on dialysis,3.280589699848254,27.707308534710577
3,0.09839647018094445,0.5070064119518993,13242,quartile=Q1 lowest,Q1 lowest,no2,NO[2],Not on dialysis,9.839647018094446,50.70064119518993
5,0.15325920117901926,0.6402301979854615,4401,quartile=Q1 lowest,Q1 lowest,no2,NO[2],Not on dialysis,15.325920117901926,64.02301979854616
10,0.20890445912872163,0.7496296808931759,441,quartile=Q1 lowest,Q1 lowest,no2,NO[2],Not on dialysis,20.890445912872163,74.9629680893176
1,0.02976992537862195,0.2605339864221999,36879,quartile=Q2,Q2,no2,NO[2],Not on dialysis,2.976992537862195,26.05339864221999
3,0.0846993124650975,0.487371313650538,17738,quartile=Q2,Q2,no2,NO[2],Not on dialysis,8.46993124650975,48.7371313650538
5,0.13744950953342727,0.6247387346335983,7675,quartile=Q2,Q2,no2,NO[2],Not on dialysis,13.744950953342727,62.47387346335983
10,0.19519957066705368,0.7519534541569942,1042,quartile=Q2,Q2,no2,NO[2],Not on dialysis,19.519957066705366,75.19534541569942
1,0.030551705907938948,0.24497489031599995,37167,quartile=Q3,Q3,no2,NO[2],Not on dialysis,3.0551705907938946,24.497489031599994
3,0.08277587181027603,0.45777558206675806,20662,quartile=Q3,Q3,no2,NO[2],Not on dialysis,8.277587181027602,45.777558206675806
5,0.13605207612317963,0.5975255787283436,10437,quartile=Q3,Q3,no2,NO[2],Not on dialysis,13.605207612317963,59.75255787283436
10,0.19812997556840298,0.7409794494930073,1506,quartile=Q3,Q3,no2,NO[2],Not on dialysis,19.812997556840298,74.09794494930073
1,0.031010579684984496,0.20479758266142112,34144,quartile=Q4 highest,Q4 highest,no2,NO[2],Not on dialysis,3.1010579684984494,20.479758266142113
3,0.08252593221046835,0.38225186723937615,22734,quartile=Q4 highest,Q4 highest,no2,NO[2],Not on dialysis,8.252593221046835,38.22518672393762
5,0.13896731866970094,0.5095468021468064,13945,quartile=Q4 highest,Q4 highest,no2,NO[2],Not on dialysis,13.896731866970095,50.954680214680636
10,0.22222406219248103,0.681393934662406,2904,quartile=Q4 highest,Q4 highest,no2,NO[2],Not on dialysis,22.222406219248104,68.1393934662406
1,0.03177743235454515,0.2220549809007193,36953,quartile=Q1 lowest,Q1 lowest,o3,O[3],Not on dialysis,3.177743235454515,22.205498090071927
3,0.08807462460678779,0.4199605546730293,21456,quartile=Q1 lowest,Q1 lowest,o3,O[3],Not on dialysis,8.80746246067878,41.99605546730293
5,0.14560851051343746,0.5518394718985741,11150,quartile=Q1 lowest,Q1 lowest,o3,O[3],Not on dialysis,14.560851051343745,55.183947189857406
10,0.2207984346544571,0.7046282071115061,1821,quartile=Q1 lowest,Q1 lowest,o3,O[3],Not on dialysis,22.07984346544571,70.46282071115061
1,0.03221676215656344,0.252387528429477,38172,quartile=Q2,Q2,o3,O[3],Not on dialysis,3.221676215656344,25.238752842947697
3,0.09055290584612542,0.4679564288165556,19430,quartile=Q2,Q2,o3,O[3],Not on dialysis,9.055290584612543,46.79564288165556
5,0.14403371614906715,0.608212156469482,8611,quartile=Q2,Q2,o3,O[3],Not on dialysis,14.403371614906716,60.821215646948204
10,0.2039018646710568,0.7440885820024609,1109,quartile=Q2,Q2,o3,O[3],Not on dialysis,20.390186467105682,74.40885820024609
1,0.03094020485335657,0.26119962882310205,36332,quartile=Q3,Q3,o3,O[3],Not on dialysis,3.094020485335657,26.119962882310205
3,0.08874651472686608,0.48419024801490035,17058,quartile=Q3,Q3,o3,O[3],Not on dialysis,8.874651472686608,48.41902480149003
5,0.1418470662699204,0.6178445301297847,7871,quartile=Q3,Q3,o3,O[3],Not on dialysis,14.18470662699204,61.78445301297847
10,0.19813402386017376,0.7473630564607222,1187,quartile=Q3,Q3,o3,O[3],Not on dialysis,19.813402386017376,74.73630564607222
1,0.029154850516911333,0.25249974102198663,31113,quartile=Q4 highest,Q4 highest,o3,O[3],Not on dialysis,2.9154850516911335,25.249974102198664
3,0.07859596328783361,0.4625018479787258,16432,quartile=Q4 highest,Q4 highest,o3,O[3],Not on dialysis,7.859596328783361,46.25018479787258
5,0.12869895415276936,0.587179710327981,8826,quartile=Q4 highest,Q4 highest,o3,O[3],Not on dialysis,12.869895415276936,58.7179710327981
10,0.19536752677574812,0.7242798071665342,1776,quartile=Q4 highest,Q4 highest,o3,O[3],Not on dialysis,19.53675267757481,72.42798071665342
1,0.029641483041743584,0.24949555306187743,43135,quartile=Q1 lowest,Q1 lowest,pm25,PM[2.5],Not on dialysis,2.9641483041743584,24.949555306187744
3,0.08691306668698312,0.4784282386666566,20195,quartile=Q1 lowest,Q1 lowest,pm25,PM[2.5],Not on dialysis,8.691306668698312,47.84282386666566
