organ,organ_label,model,endpoint,term,exposure,source_n,source_adverse_events,n,adverse_events,sampled,finegray_max_n,subdistribution_hazard_ratio,conf_low,conf_high,p_value,center_adjustment,variance_estimator
LU,Lung,reduced_finegray_heat_humidity_month_day_weighted,death_or_deterioration_delist_subdistribution,tmax_month_weighted_5c,Month/day-weighted Tmax per 5 C,46695,5638,9998,1207,TRUE,10000,0.9509951347905923,0.9204744017835697,0.9825278624185202,0.002535138040838191,not_included_reduced_sensitivity,cmprsk_crr_model_based
LU,Lung,reduced_finegray_heat_humidity_month_day_weighted,death_or_deterioration_delist_subdistribution,rmax_month_weighted_10pct,Month/day-weighted maximum relative humidity per 10 pct,46695,5638,9998,1207,TRUE,10000,1.0499459308579384,0.9942989732285717,1.1087072273097116,0.07939290677205815,not_included_reduced_sensitivity,cmprsk_crr_model_based
