organ,organ_label,model,endpoint,term,exposure,source_n,source_adverse_events,n,adverse_events,sampled,finegray_max_n,subdistribution_hazard_ratio,conf_low,conf_high,p_value,center_adjustment,variance_estimator
LI,Liver,reduced_finegray_heat_humidity_month_day_weighted,death_or_deterioration_delist_subdistribution,tmax_month_weighted_5c,Month/day-weighted Tmax per 5 C,217632,41645,9998,1913,TRUE,10000,0.9956468558095266,0.9667810612344097,1.0253745146989786,0.7713268650059992,not_included_reduced_sensitivity,cmprsk_crr_model_based
LI,Liver,reduced_finegray_heat_humidity_month_day_weighted,death_or_deterioration_delist_subdistribution,rmax_month_weighted_10pct,Month/day-weighted maximum relative humidity per 10 pct,217632,41645,9998,1913,TRUE,10000,0.9485095945354861,0.9104519288360976,0.9881581030598637,0.011400950362446401,not_included_reduced_sensitivity,cmprsk_crr_model_based
