organ,organ_label,model,endpoint,term,exposure,source_n,source_adverse_events,n,adverse_events,sampled,finegray_max_n,subdistribution_hazard_ratio,conf_low,conf_high,p_value,center_adjustment,variance_estimator
KI,Kidney,reduced_finegray_heat_humidity_month_day_weighted,death_or_deterioration_delist_subdistribution,tmax_month_weighted_5c,Month/day-weighted Tmax per 5 C,678254,117219,9999,1728,TRUE,10000,1.0239616454214415,0.9813529912713195,1.068420293839307,0.27484700371622023,not_included_reduced_sensitivity,cmprsk_crr_model_based
KI,Kidney,reduced_finegray_heat_humidity_month_day_weighted,death_or_deterioration_delist_subdistribution,rmax_month_weighted_10pct,Month/day-weighted maximum relative humidity per 10 pct,678254,117219,9999,1728,TRUE,10000,1.083335118295407,1.0243096106533365,1.1457619515876214,0.005105888310267319,not_included_reduced_sensitivity,cmprsk_crr_model_based
