organ,exposure,zctas,model_n,adverse_events,baseline_hazard_365,reference_age,reference_sex,reference_race,reference_svi,min_survival_1yr,p01_survival_1yr,median_survival_1yr,p99_survival_1yr,max_survival_1yr,min_adverse_risk_1yr,p99_adverse_risk_1yr,max_adverse_risk_1yr
Heart,no2,33300,79381,10242,0.1279165660641384,53,M,WHITE,0.5238785390058074,0.7677437725951787,0.7984389714168162,0.8366001253600766,0.8440218899552583,0.8459423557484892,0.1540576442515108,0.2015610285831838,0.23225622740482132
Heart,pm25,33300,74028,10010,0.09440753234735949,53,M,WHITE,0.5235436556266173,0.7062297076032402,0.7904257847420565,0.8315256428635458,0.8524023942376313,0.8587695589308679,0.14123044106913207,0.20957421525794367,0.2937702923967598
Kidney,no2,33300,600141,123941,0.0024060665470240403,54,M,WHITE,0.561556759744554,0.9478598592059647,0.9482839417624865,0.94984982422806,0.9564483652946576,0.9605025289578749,0.03949747104212509,0.05171605823751341,0.052140140794035283
Kidney,pm25,33300,564179,123299,0.0025325616653257255,54,M,WHITE,0.5622553015892187,0.948269938791901,0.9490308566831325,0.9512666207886105,0.9548131439014724,0.960006030214118,0.03999396978588199,0.050969143316867534,0.051730061208098976
Liver,no2,33300,222559,42847,0.04929038213529269,56,M,WHITE,0.5165378579254389,0.7979919865488998,0.7980390532210115,0.7982160707409298,0.7990247820142582,0.7995817036896129,0.2004182963103871,0.20196094677898843,0.2020080134511002
Liver,pm25,33300,208592,42101,0.04556546001319583,56,M,WHITE,0.5167056547530919,0.7849806048939806,0.7928924256058856,0.7976732690182202,0.8004702174934454,0.8013875218867641,0.1986124781132359,0.20710757439411445,0.21501939510601942
Lung,no2,33300,50401,5675,0.1730988563161544,60,M,WHITE,0.4876405285988909,0.7646862882818685,0.7888168914212149,0.8199577383048291,0.82619458187735,0.8278193846118589,0.1721806153881411,0.21118310857878508,0.23531371171813154
Lung,pm25,33300,46788,5582,0.14559271901674248,60,M,WHITE,0.4865636039735499,0.7373332268132102,0.7862679875820786,0.8125310903298023,0.8267649204544042,0.8312547791407932,0.16874522085920685,0.21373201241792147,0.26266677318678977
