organ,organ_label,exposure,exposure_label,subgroup,subgroup_label,subgroup_level,exposure_data_end_year,n,people,centers,adverse_events,hazard_ratio,conf_low,conf_high,p_value,concordance,adjustment_set,variance_estimator,center_adjustment,error
HR,Heart,no2,NO2 waitlist-period mean per 10 ppb,age_group,Age group,<18,2025,11655,11655,119,1839,1.3311497165438815,1.1973861371065215,1.4798564247092327,1.1974036265326328e-7,0.6597394806752935,sex + race_group + listing_year + organ_score + strata(listing_center),model_based,stratified_baseline_hazard_by_listing_center,NA
HR,Heart,no2,NO2 waitlist-period mean per 10 ppb,age_group,Age group,18-39,2025,11315,11315,161,1181,1.31361365946891,1.1475348420691345,1.5037284996348217,7.63885336992202e-5,0.6537068774878372,sex + race_group + listing_year + organ_score + strata(listing_center),model_based,stratified_baseline_hazard_by_listing_center,NA
HR,Heart,no2,NO2 waitlist-period mean per 10 ppb,age_group,Age group,40-59,2025,33262,33262,137,4095,1.3274401643048168,1.2317703262879998,1.4305405416931627,1.1537544526066319e-13,0.6399857904085258,sex + race_group + listing_year + organ_score + strata(listing_center),model_based,stratified_baseline_hazard_by_listing_center,NA
HR,Heart,no2,NO2 waitlist-period mean per 10 ppb,age_group,Age group,60+,2025,25908,25908,128,3634,1.184120670615524,1.088844174073064,1.287734090851527,7.856422076380013e-5,0.6317622613561553,sex + race_group + listing_year + organ_score + strata(listing_center),model_based,stratified_baseline_hazard_by_listing_center,NA
HR,Heart,no2,NO2 waitlist-period mean per 10 ppb,sex,Sex,F,2025,23532,23532,167,2957,1.3475295605856088,1.2374008157450649,1.4674597701462568,7.0453663263135125e-12,0.6196987504458517,age + race_group + listing_year + organ_score + strata(listing_center),model_based,stratified_baseline_hazard_by_listing_center,NA
HR,Heart,no2,NO2 waitlist-period mean per 10 ppb,sex,Sex,M,2025,58608,58608,168,7792,1.2573367428422315,1.1904424009201557,1.3279900679605785,2.2198654726778872e-16,0.6195174140234397,age + race_group + listing_year + organ_score + strata(listing_center),model_based,stratified_baseline_hazard_by_listing_center,NA
HR,Heart,no2,NO2 waitlist-period mean per 10 ppb,race_group,Race,White,2025,58401,58401,167,7635,1.2694901831273038,1.2026091424540388,1.3400906979369542,5.5631559069147834e-18,0.6165510611353973,age + sex + listing_year + organ_score + strata(listing_center),model_based,stratified_baseline_hazard_by_listing_center,NA
HR,Heart,no2,NO2 waitlist-period mean per 10 ppb,race_group,Race,Black,2025,19428,19428,167,2644,1.3666393169554585,1.2374171899976376,1.5093559696322367,7.118399069224771e-10,0.6169547924909677,age + sex + listing_year + organ_score + strata(listing_center),model_based,stratified_baseline_hazard_by_listing_center,NA
HR,Heart,no2,NO2 waitlist-period mean per 10 ppb,race_group,Race,Asian,2025,2730,2730,151,289,1.3612787350928568,0.9817110632488889,1.8876020287307331,0.0644159853721291,0.6358244365361803,age + sex + listing_year + organ_score + strata(listing_center),model_based,stratified_baseline_hazard_by_listing_center,NA
HR,Heart,no2,NO2 waitlist-period mean per 10 ppb,race_group,Race,Other/Unknown,2025,1581,1581,147,181,1.1437672863360062,0.7422838433679089,1.762403448466314,0.5425624691431626,0.7357259380097879,age + sex + listing_year + organ_score + strata(listing_center),model_based,stratified_baseline_hazard_by_listing_center,NA
KI,Kidney,pm25,PM2.5 waitlist-period mean per 5 ug/m3,age_group,Age group,<18,2023,16417,16417,189,523,4.448313299201313,3.137790553935667,6.306186110169854,5.212938028101228e-17,0.6559606042204342,sex + race_group + listing_year + strata(listing_center) + kidney_no_dialysis_time + kidney_dialysis_years + kidney_diabetes,model_based,stratified_baseline_hazard_by_listing_center,NA
KI,Kidney,pm25,PM2.5 waitlist-period mean per 5 ug/m3,age_group,Age group,18-39,2023,95843,95843,274,9532,3.306672672344585,3.043898414363118,3.5921317578918757,2.749207467607485e-176,0.6676312768492718,sex + race_group + listing_year + strata(listing_center) + kidney_no_dialysis_time + kidney_dialysis_years + kidney_diabetes,model_based,stratified_baseline_hazard_by_listing_center,NA
KI,Kidney,pm25,PM2.5 waitlist-period mean per 5 ug/m3,age_group,Age group,40-59,2023,258751,258751,240,53428,2.2759142711676685,2.198129627260208,2.35645146012651,0,0.6341118113551222,sex + race_group + listing_year + strata(listing_center) + kidney_no_dialysis_time + kidney_dialysis_years + kidney_diabetes,model_based,stratified_baseline_hazard_by_listing_center,NA
KI,Kidney,pm25,PM2.5 waitlist-period mean per 5 ug/m3,age_group,Age group,60+,2023,183764,183764,239,52784,1.5162881289325751,1.4639463954564473,1.5705012813840078,2.5767476642296907e-119,0.5952018074286818,sex + race_group + listing_year + strata(listing_center) + kidney_no_dialysis_time + kidney_dialysis_years + kidney_diabetes,model_based,stratified_baseline_hazard_by_listing_center,NA
KI,Kidney,pm25,PM2.5 waitlist-period mean per 5 ug/m3,sex,Sex,F,2023,214311,214311,277,43574,2.136432666866791,2.055138532810491,2.2209425141835126,7.95e-322,0.6776812790109292,age + race_group + listing_year + strata(listing_center) + kidney_no_dialysis_time + kidney_dialysis_years + kidney_diabetes,model_based,stratified_baseline_hazard_by_listing_center,NA
KI,Kidney,pm25,PM2.5 waitlist-period mean per 5 ug/m3,sex,Sex,M,2023,340464,340464,279,72693,1.875349491429716,1.8205131617371713,1.931837565870582,0,0.6767753272322452,age + race_group + listing_year + strata(listing_center) + kidney_no_dialysis_time + kidney_dialysis_years + kidney_diabetes,model_based,stratified_baseline_hazard_by_listing_center,NA
KI,Kidney,pm25,PM2.5 waitlist-period mean per 5 ug/m3,race_group,Race,White,2023,347774,347774,279,71020,1.643471087801635,1.597785949030264,1.690462491599198,2.0346218369175416e-261,0.6735445745922328,age + sex + listing_year + strata(listing_center) + kidney_no_dialysis_time + kidney_dialysis_years + kidney_diabetes,model_based,stratified_baseline_hazard_by_listing_center,NA
KI,Kidney,pm25,PM2.5 waitlist-period mean per 5 ug/m3,race_group,Race,Black,2023,158770,158770,276,35782,5.531046315318324,5.22864643611562,5.850935555880437,0,0.6860844272231221,age + sex + listing_year + strata(listing_center) + kidney_no_dialysis_time + kidney_dialysis_years + kidney_diabetes,model_based,stratified_baseline_hazard_by_listing_center,NA
KI,Kidney,pm25,PM2.5 waitlist-period mean per 5 ug/m3,race_group,Race,Asian,2023,37307,37307,267,7158,1.5094013985321022,1.3814811221877314,1.6491666410053671,8.07757289180138e-20,0.686110300597861,age + sex + listing_year + strata(listing_center) + kidney_no_dialysis_time + kidney_dialysis_years + kidney_diabetes,model_based,stratified_baseline_hazard_by_listing_center,NA
KI,Kidney,pm25,PM2.5 waitlist-period mean per 5 ug/m3,race_group,Race,Other/Unknown,2023,10924,10924,255,2307,1.1777748199182767,1.0149359915032525,1.366739910739567,0.031142951845500526,0.6600134258223316,age + sex + listing_year + strata(listing_center) + kidney_no_dialysis_time + kidney_dialysis_years + kidney_diabetes,model_based,stratified_baseline_hazard_by_listing_center,NA
KI,Kidney,o3,Ozone waitlist-period mean per 10 ppb,age_group,Age group,<18,2023,16417,16417,189,523,1.1291996792339662,0.8262642681998271,1.5432010854833658,0.4457867824690423,0.5855378017306816,sex + race_group + listing_year + strata(listing_center) + kidney_no_dialysis_time + kidney_dialysis_years + kidney_diabetes,model_based,stratified_baseline_hazard_by_listing_center,NA
KI,Kidney,o3,Ozone waitlist-period mean per 10 ppb,age_group,Age group,18-39,2023,95843,95843,274,9532,1.2032765374443344,1.1154251232356525,1.2980471708974934,1.7183917093067837e-6,0.6495340046751868,sex + race_group + listing_year + strata(listing_center) + kidney_no_dialysis_time + kidney_dialysis_years + kidney_diabetes,model_based,stratified_baseline_hazard_by_listing_center,NA
KI,Kidney,o3,Ozone waitlist-period mean per 10 ppb,age_group,Age group,40-59,2023,258751,258751,240,53428,1.1056154479434068,1.0726219474320118,1.1396238177464488,8.282304094838645e-11,0.6230696082719173,sex + race_group + listing_year + strata(listing_center) + kidney_no_dialysis_time + kidney_dialysis_years + kidney_diabetes,model_based,stratified_baseline_hazard_by_listing_center,NA
KI,Kidney,o3,Ozone waitlist-period mean per 10 ppb,age_group,Age group,60+,2023,183764,183764,239,52784,1.0580472550453115,1.0252227525029312,1.0919226979462866,4.495526010474077e-4,0.5898222704741473,sex + race_group + listing_year + strata(listing_center) + kidney_no_dialysis_time + kidney_dialysis_years + kidney_diabetes,model_based,stratified_baseline_hazard_by_listing_center,NA
KI,Kidney,o3,Ozone waitlist-period mean per 10 ppb,sex,Sex,F,2023,214311,214311,277,43574,1.1196769753859188,1.0818346608518847,1.1588430049210652,1.1640940716530565e-10,0.6710283159545145,age + race_group + listing_year + strata(listing_center) + kidney_no_dialysis_time + kidney_dialysis_years + kidney_diabetes,model_based,stratified_baseline_hazard_by_listing_center,NA
KI,Kidney,o3,Ozone waitlist-period mean per 10 ppb,sex,Sex,M,2023,340464,340464,279,72693,1.0868288056447637,1.0586184225596016,1.1157909475288017,5.460782179327785e-10,0.6724251830014558,age + race_group + listing_year + strata(listing_center) + kidney_no_dialysis_time + kidney_dialysis_years + kidney_diabetes,model_based,stratified_baseline_hazard_by_listing_center,NA
KI,Kidney,o3,Ozone waitlist-period mean per 10 ppb,race_group,Race,White,2023,347774,347774,279,71020,1.1725435368895631,1.1426458921058065,1.2032234617915882,1.3690675147940618e-33,0.6716378029688448,age + sex + listing_year + strata(listing_center) + kidney_no_dialysis_time + kidney_dialysis_years + kidney_diabetes,model_based,stratified_baseline_hazard_by_listing_center,NA
KI,Kidney,o3,Ozone waitlist-period mean per 10 ppb,race_group,Race,Black,2023,158770,158770,276,35782,1.0007599992781433,0.9513078959490898,1.0527827850687648,0.9765598119543946,0.6551296685434509,age + sex + listing_year + strata(listing_center) + kidney_no_dialysis_time + kidney_dialysis_years + kidney_diabetes,model_based,stratified_baseline_hazard_by_listing_center,NA
KI,Kidney,o3,Ozone waitlist-period mean per 10 ppb,race_group,Race,Asian,2023,37307,37307,267,7158,1.0410523395348201,0.9769100728277121,1.1094060792247142,0.21498469193045017,0.6815911102906732,age + sex + listing_year + strata(listing_center) + kidney_no_dialysis_time + kidney_dialysis_years + kidney_diabetes,model_based,stratified_baseline_hazard_by_listing_center,NA
KI,Kidney,o3,Ozone waitlist-period mean per 10 ppb,race_group,Race,Other/Unknown,2023,10924,10924,255,2307,1.096027344436316,0.9577545544326818,1.254262831946217,0.18265252705234547,0.6603465851172273,age + sex + listing_year + strata(listing_center) + kidney_no_dialysis_time + kidney_dialysis_years + kidney_diabetes,model_based,stratified_baseline_hazard_by_listing_center,NA
KI,Kidney,no2,NO2 waitlist-period mean per 10 ppb,age_group,Age group,<18,2025,18424,18424,191,629,1.843166868656689,1.4920732061970703,2.2768749493012477,1.415710715029635e-8,0.6034061028557451,sex + race_group + listing_year + strata(listing_center) + kidney_no_dialysis_time + kidney_dialysis_years + kidney_diabetes,model_based,stratified_baseline_hazard_by_listing_center,NA
KI,Kidney,no2,NO2 waitlist-period mean per 10 ppb,age_group,Age group,18-39,2025,106804,106804,275,10902,1.6530620530058238,1.5728713687195321,1.73734114908102,2.389481727777052e-87,0.6564565065928214,sex + race_group + listing_year + strata(listing_center) + kidney_no_dialysis_time + kidney_dialysis_years + kidney_diabetes,model_based,stratified_baseline_hazard_by_listing_center,NA
KI,Kidney,no2,NO2 waitlist-period mean per 10 ppb,age_group,Age group,40-59,2025,290017,290017,240,60079,1.5385088422874487,1.5065703661057872,1.5711243968743114,0,0.6312726070867514,sex + race_group + listing_year + strata(listing_center) + kidney_no_dialysis_time + kidney_dialysis_years + kidney_diabetes,model_based,stratified_baseline_hazard_by_listing_center,NA
KI,Kidney,no2,NO2 waitlist-period mean per 10 ppb,age_group,Age group,60+,2025,212510,212510,239,59887,1.3566114602423394,1.3277169934863235,1.3861347433901092,1.127732987689201e-169,0.5983189280190374,sex + race_group + listing_year + strata(listing_center) + kidney_no_dialysis_time + kidney_dialysis_years + kidney_diabetes,model_based,stratified_baseline_hazard_by_listing_center,NA
KI,Kidney,no2,NO2 waitlist-period mean per 10 ppb,sex,Sex,F,2025,242374,242374,279,48974,1.4804646738780018,1.4461077389896488,1.5156378681245595,2.947447284734391e-235,0.6754989283188522,age + race_group + listing_year + strata(listing_center) + kidney_no_dialysis_time + kidney_dialysis_years + kidney_diabetes,model_based,stratified_baseline_hazard_by_listing_center,NA
KI,Kidney,no2,NO2 waitlist-period mean per 10 ppb,sex,Sex,M,2025,385381,385381,280,82523,1.4419117547750109,1.416127196664993,1.4681657929137257,0,0.6758401493996313,age + race_group + listing_year + strata(listing_center) + kidney_no_dialysis_time + kidney_dialysis_years + kidney_diabetes,model_based,stratified_baseline_hazard_by_listing_center,NA
KI,Kidney,no2,NO2 waitlist-period mean per 10 ppb,race_group,Race,White,2025,391506,391506,280,80036,1.3022823612511027,1.2789717436580723,1.3260178395928268,1.1902673634926167e-180,0.6735430932921123,age + sex + listing_year + strata(listing_center) + kidney_no_dialysis_time + kidney_dialysis_years + kidney_diabetes,model_based,stratified_baseline_hazard_by_listing_center,NA
KI,Kidney,no2,NO2 waitlist-period mean per 10 ppb,race_group,Race,Black,2025,180032,180032,277,40457,1.8860490303753286,1.8350257247656818,1.9384910505458666,0,0.6665344154741243,age + sex + listing_year + strata(listing_center) + kidney_no_dialysis_time + kidney_dialysis_years + kidney_diabetes,model_based,stratified_baseline_hazard_by_listing_center,NA
KI,Kidney,no2,NO2 waitlist-period mean per 10 ppb,race_group,Race,Asian,2025,42575,42575,271,8305,1.872655379746769,1.7577931397888968,1.9950232435858017,4.702173165179329e-84,0.6894642758008105,age + sex + listing_year + strata(listing_center) + kidney_no_dialysis_time + kidney_dialysis_years + kidney_diabetes,model_based,stratified_baseline_hazard_by_listing_center,NA
KI,Kidney,no2,NO2 waitlist-period mean per 10 ppb,race_group,Race,Other/Unknown,2025,13642,13642,258,2699,1.3600114504704106,1.221510976034577,1.514215739112829,2.0085069329233355e-8,0.6573424909586956,age + sex + listing_year + strata(listing_center) + kidney_no_dialysis_time + kidney_dialysis_years + kidney_diabetes,model_based,stratified_baseline_hazard_by_listing_center,NA
LI,Liver,pm25,PM2.5 waitlist-period mean per 5 ug/m3,age_group,Age group,<18,2023,11949,11949,111,1054,1.674888377252875,1.4004810897564492,2.003062445309145,1.6104305190251195e-8,0.8069989091117873,sex + race_group + listing_year + organ_score + strata(listing_center),model_based,stratified_baseline_hazard_by_listing_center,NA
LI,Liver,pm25,PM2.5 waitlist-period mean per 5 ug/m3,age_group,Age group,18-39,2023,19260,19260,148,2458,1.8468994922538546,1.6120156985313527,2.1160077644375397,9.564494441475348e-19,0.7700958324807312,sex + race_group + listing_year + organ_score + strata(listing_center),model_based,stratified_baseline_hazard_by_listing_center,NA
LI,Liver,pm25,PM2.5 waitlist-period mean per 5 ug/m3,age_group,Age group,40-59,2023,103019,103019,130,21051,1.6162898416938838,1.5442635777743046,1.691675495013613,1.1237628924765893e-94,0.7311777783306307,sex + race_group + listing_year + organ_score + strata(listing_center),model_based,stratified_baseline_hazard_by_listing_center,NA
LI,Liver,pm25,PM2.5 waitlist-period mean per 5 ug/m3,age_group,Age group,60+,2023,70656,70656,127,17382,1.2766340956953195,1.2102788230574661,1.3466273913432096,3.0204771702520163e-19,0.7211219607448398,sex + race_group + listing_year + organ_score + strata(listing_center),model_based,stratified_baseline_hazard_by_listing_center,NA
LI,Liver,pm25,PM2.5 waitlist-period mean per 5 ug/m3,sex,Sex,F,2023,76605,76605,159,16594,1.5124664321547352,1.4362138892987626,1.592767432093128,2.2214810317670692e-55,0.7601367559053371,age + race_group + listing_year + organ_score + strata(listing_center),model_based,stratified_baseline_hazard_by_listing_center,NA
LI,Liver,pm25,PM2.5 waitlist-period mean per 5 ug/m3,sex,Sex,M,2023,128279,128279,159,25351,1.4888937798489046,1.4269379958942496,1.5535396030179338,3.014445499807255e-75,0.721883941153156,age + race_group + listing_year + organ_score + strata(listing_center),model_based,stratified_baseline_hazard_by_listing_center,NA
LI,Liver,pm25,PM2.5 waitlist-period mean per 5 ug/m3,race_group,Race,White,2023,174706,174706,160,36033,1.45712686841726,1.4070337575955516,1.5090033904316638,9.401406137141997e-99,0.7358180260246979,age + sex + listing_year + organ_score + strata(listing_center),model_based,stratified_baseline_hazard_by_listing_center,NA
LI,Liver,pm25,PM2.5 waitlist-period mean per 5 ug/m3,race_group,Race,Black,2023,17900,17900,156,3604,2.9234158885356947,2.5060407700293994,3.4103038384497966,2.0563650892470688e-42,0.7686219759230153,age + sex + listing_year + organ_score + strata(listing_center),model_based,stratified_baseline_hazard_by_listing_center,NA
LI,Liver,pm25,PM2.5 waitlist-period mean per 5 ug/m3,race_group,Race,Asian,2023,8941,8941,147,1678,1.5204330726219133,1.2835857140484261,1.8009835284247309,1.2372776346958e-6,0.727302078267871,age + sex + listing_year + organ_score + strata(listing_center),model_based,stratified_baseline_hazard_by_listing_center,NA
LI,Liver,pm25,PM2.5 waitlist-period mean per 5 ug/m3,race_group,Race,Other/Unknown,2023,3337,3337,148,630,0.9965177634282721,0.780437424620607,1.2724244398080151,0.9776836169467438,0.7160464338604118,age + sex + listing_year + organ_score + strata(listing_center),model_based,stratified_baseline_hazard_by_listing_center,NA
LI,Liver,o3,Ozone waitlist-period mean per 10 ppb,age_group,Age group,<18,2023,11949,11949,111,1054,1.0965641757553504,0.9161080548223677,1.3125667711579778,0.3149738472798723,0.8080658743373332,sex + race_group + listing_year + organ_score + strata(listing_center),model_based,stratified_baseline_hazard_by_listing_center,NA
LI,Liver,o3,Ozone waitlist-period mean per 10 ppb,age_group,Age group,18-39,2023,19260,19260,148,2458,0.990764411078165,0.8618091644030882,1.1390156415184503,0.8962376437875875,0.7715623081645181,sex + race_group + listing_year + organ_score + strata(listing_center),model_based,stratified_baseline_hazard_by_listing_center,NA
LI,Liver,o3,Ozone waitlist-period mean per 10 ppb,age_group,Age group,40-59,2023,103019,103019,130,21051,1.0554423659049565,1.008357243923381,1.1047261220763296,0.020482720271939075,0.729478476747492,sex + race_group + listing_year + organ_score + strata(listing_center),model_based,stratified_baseline_hazard_by_listing_center,NA
LI,Liver,o3,Ozone waitlist-period mean per 10 ppb,age_group,Age group,60+,2023,70656,70656,127,17382,1.0638079587430156,1.0100637233116911,1.1204118581494278,0.019359242853563424,0.7201716863936061,sex + race_group + listing_year + organ_score + strata(listing_center),model_based,stratified_baseline_hazard_by_listing_center,NA
LI,Liver,o3,Ozone waitlist-period mean per 10 ppb,sex,Sex,F,2023,76605,76605,159,16594,1.095900500391114,1.0404141936171225,1.1543459461871461,5.513436726335191e-4,0.7595053188244234,age + race_group + listing_year + organ_score + strata(listing_center),model_based,stratified_baseline_hazard_by_listing_center,NA
LI,Liver,o3,Ozone waitlist-period mean per 10 ppb,sex,Sex,M,2023,128279,128279,159,25351,1.0477136626949963,1.0048125442662623,1.0924464719927773,0.02888676825897741,0.7208125023831811,age + race_group + listing_year + organ_score + strata(listing_center),model_based,stratified_baseline_hazard_by_listing_center,NA
LI,Liver,o3,Ozone waitlist-period mean per 10 ppb,race_group,Race,White,2023,174706,174706,160,36033,1.0668932411458951,1.0298651325930581,1.1052526704509444,3.271161598797811e-4,0.7349676806201441,age + sex + listing_year + organ_score + strata(listing_center),model_based,stratified_baseline_hazard_by_listing_center,NA
LI,Liver,o3,Ozone waitlist-period mean per 10 ppb,race_group,Race,Black,2023,17900,17900,156,3604,1.0689940503857815,0.9356792240363339,1.2213034664065858,0.32624048091471153,0.7608661204877067,age + sex + listing_year + organ_score + strata(listing_center),model_based,stratified_baseline_hazard_by_listing_center,NA
