organ,organ_label,exposure,subgroup,subgroup_label,exposure_data_end_year,n,people,centers,adverse_events,subgroup_levels,interaction_df,interaction_p_value,error
HR,Heart,pm25,age_group,Age group,2023,71308,71308,166,9893,4,3,1.7547759547354292e-7,NA
HR,Heart,pm25,sex,Sex,2023,71308,71308,166,9893,2,1,0.636023016325703,NA
HR,Heart,pm25,race_group,Race,2023,71308,71308,166,9893,4,3,0.020109447798882206,NA
HR,Heart,o3,age_group,Age group,2023,71308,71308,166,9893,4,3,0.40425901223050054,NA
HR,Heart,o3,sex,Sex,2023,71308,71308,166,9893,2,1,0.13723682296328937,NA
HR,Heart,o3,race_group,Race,2023,71308,71308,166,9893,4,3,0.020730843659317405,NA
HR,Heart,no2,age_group,Age group,2025,82140,82140,168,10749,4,3,0.020480415332984666,NA
HR,Heart,no2,sex,Sex,2025,82140,82140,168,10749,2,1,0.07521565377047118,NA
HR,Heart,no2,race_group,Race,2025,82140,82140,168,10749,4,3,0.31379823307308485,NA
KI,Kidney,pm25,age_group,Age group,2023,554775,554775,279,116267,4,3,8.520521313086354e-46,NA
KI,Kidney,pm25,sex,Sex,2023,554775,554775,279,116267,2,1,1.6278539619934747e-5,NA
KI,Kidney,pm25,race_group,Race,2023,554775,554775,279,116267,4,3,4.874780096923722e-138,NA
KI,Kidney,o3,age_group,Age group,2023,554775,554775,279,116267,4,3,0.040922195964664974,NA
KI,Kidney,o3,sex,Sex,2023,554775,554775,279,116267,2,1,0.28236150964913104,NA
KI,Kidney,o3,race_group,Race,2023,554775,554775,279,116267,4,3,0.02017306123607056,NA
KI,Kidney,no2,age_group,Age group,2025,627755,627755,281,131497,4,3,0.4992948073975498,NA
KI,Kidney,no2,sex,Sex,2025,627755,627755,281,131497,2,1,0.04691262998403964,NA
KI,Kidney,no2,race_group,Race,2025,627755,627755,281,131497,4,3,1.2931633636310321e-61,NA
LI,Liver,pm25,age_group,Age group,2023,204884,204884,160,41945,4,3,3.87262685352232e-24,NA
LI,Liver,pm25,sex,Sex,2023,204884,204884,160,41945,2,1,0.2602341602593028,NA
LI,Liver,pm25,race_group,Race,2023,204884,204884,160,41945,4,3,1.1066438040144126e-9,NA
LI,Liver,o3,age_group,Age group,2023,204884,204884,160,41945,4,3,0.03233565513704372,NA
LI,Liver,o3,sex,Sex,2023,204884,204884,160,41945,2,1,0.4740662531515257,NA
LI,Liver,o3,race_group,Race,2023,204884,204884,160,41945,4,3,0.1149602541069719,NA
LI,Liver,no2,age_group,Age group,2025,232782,232782,163,45382,4,3,2.1021125345291662e-5,NA
LI,Liver,no2,sex,Sex,2025,232782,232782,163,45382,2,1,0.5009741764131708,NA
LI,Liver,no2,race_group,Race,2025,232782,232782,163,45382,4,3,0.005467942464743243,NA
LU,Lung,pm25,age_group,Age group,2023,44849,44849,84,5596,4,3,2.0235872969929636e-5,NA
LU,Lung,pm25,sex,Sex,2023,44849,44849,84,5596,2,1,0.5029985879348354,NA
LU,Lung,pm25,race_group,Race,2023,44849,44849,84,5596,4,3,0.04765353030556774,NA
LU,Lung,o3,age_group,Age group,2023,44849,44849,84,5596,4,3,0.1919564402730205,NA
LU,Lung,o3,sex,Sex,2023,44849,44849,84,5596,2,1,0.24667785365164135,NA
LU,Lung,o3,race_group,Race,2023,44849,44849,84,5596,4,3,0.7878922655159143,NA
LU,Lung,no2,age_group,Age group,2025,51958,51958,85,5935,4,3,0.9059215023460575,NA
LU,Lung,no2,sex,Sex,2025,51958,51958,85,5935,2,1,0.8316373588528589,NA
LU,Lung,no2,race_group,Race,2025,51958,51958,85,5935,4,3,0.8223940216396688,NA
