organ,organ_label,outcome,outcome_label,outcome_family,pollutant,exposure,n,term,term_type,coefficient,std_error,conf_low,conf_high,transformed_measure,transformed_estimate,transformed_conf_low,transformed_conf_high,p_value,adjustment_set
KI,Kidney,kidney_dialysis_years,"Dialysis duration at listing, years",gaussian,pm25,Prior-year PM2.5 per 5 ug/m3,565015,(Intercept),intercept,1.0195012164958241,0.21958096341809002,0.5891225281963677,1.4498799047952806,mean_difference,1.0195012164958241,0.5891225281963677,1.4498799047952806,3.4356340216221256e-6,age + sex + race + zcta_svi_proxy + listing_center
KI,Kidney,kidney_dialysis_years,"Dialysis duration at listing, years",gaussian,pm25,Prior-year PM2.5 per 5 ug/m3,565015,pm25_prior_5ug,pollutant,0.07340786250550481,0.00709332982810065,0.059504936042427535,0.08731078896858208,mean_difference,0.07340786250550481,0.059504936042427535,0.08731078896858208,4.257033872620329e-25,age + sex + race + zcta_svi_proxy + listing_center
KI,Kidney,kidney_dialysis_years,"Dialysis duration at listing, years",gaussian,pm25,Prior-year PM2.5 per 5 ug/m3,565015,age,covariate,-7.832507672130602e-4,2.1207625392486462e-4,-0.001198920224905795,-3.6758130952032556e-4,mean_difference,-7.832507672130602e-4,-0.001198920224905795,-3.6758130952032556e-4,2.2142643081183964e-4,age + sex + race + zcta_svi_proxy + listing_center
KI,Kidney,kidney_dialysis_years,"Dialysis duration at listing, years",gaussian,pm25,Prior-year PM2.5 per 5 ug/m3,565015,sexM,covariate,0.06753594919215931,0.005963730989709099,0.05584703645232948,0.07922486193198915,mean_difference,0.06753594919215931,0.05584703645232948,0.07922486193198915,1.0004161735786554e-29,age + sex + race + zcta_svi_proxy + listing_center
KI,Kidney,kidney_dialysis_years,"Dialysis duration at listing, years",gaussian,pm25,Prior-year PM2.5 per 5 ug/m3,565015,raceBLACK,covariate,0.687325602148968,0.013173960812953908,0.6615046389555783,0.7131465653423577,mean_difference,0.687325602148968,0.6615046389555783,0.7131465653423577,0,age + sex + race + zcta_svi_proxy + listing_center
KI,Kidney,kidney_dialysis_years,"Dialysis duration at listing, years",gaussian,pm25,Prior-year PM2.5 per 5 ug/m3,565015,raceMULTI,covariate,0.23645517916297687,0.03838217185100804,0.1612261223350011,0.31168423599095263,mean_difference,0.23645517916297687,0.1612261223350011,0.31168423599095263,7.254267786328771e-10,age + sex + race + zcta_svi_proxy + listing_center
KI,Kidney,kidney_dialysis_years,"Dialysis duration at listing, years",gaussian,pm25,Prior-year PM2.5 per 5 ug/m3,565015,raceMissing,covariate,-0.14009867610060553,0.10047940856999923,-0.33703831689780406,0.05684096469659297,mean_difference,-0.14009867610060553,-0.33703831689780406,0.05684096469659297,0.16322686829554292,age + sex + race + zcta_svi_proxy + listing_center
KI,Kidney,kidney_dialysis_years,"Dialysis duration at listing, years",gaussian,pm25,Prior-year PM2.5 per 5 ug/m3,565015,raceNATIVE,covariate,0.48164091925121627,0.03264477047191974,0.41765716912625356,0.5456246693761789,mean_difference,0.48164091925121627,0.41765716912625356,0.5456246693761789,2.961625917109769e-49,age + sex + race + zcta_svi_proxy + listing_center
KI,Kidney,kidney_dialysis_years,"Dialysis duration at listing, years",gaussian,pm25,Prior-year PM2.5 per 5 ug/m3,565015,racePACIFIC,covariate,0.5193829911756042,0.04756903812749927,0.4261476764457056,0.6126183059055027,mean_difference,0.5193829911756042,0.4261476764457056,0.6126183059055027,9.462950557945552e-28,age + sex + race + zcta_svi_proxy + listing_center
KI,Kidney,kidney_dialysis_years,"Dialysis duration at listing, years",gaussian,pm25,Prior-year PM2.5 per 5 ug/m3,565015,raceWHITE,covariate,-0.017147959268909687,0.012014192875671185,-0.04069577730522521,0.006399858767405835,mean_difference,-0.017147959268909687,-0.04069577730522521,0.006399858767405835,0.1534915527754585,age + sex + race + zcta_svi_proxy + listing_center
