organ_label,outcome_label,pollutant,exposure,n,term,term_type,coefficient_ci,transformed_measure,transformed_ci,p_value_display,adjustment_set
Heart,US-candidate risk score proxy at listing,pm25,Prior-year PM2.5 per 5 ug/m3,74084,zcta_svi_proxy,covariate,0.0646 (0.0108 to 0.1184),mean_difference,0.06 (0.01 to 0.12),0.019,age + sex + race + zcta_svi_proxy + listing_center
Heart,US-candidate risk score proxy at listing,o3,Prior-year O3 per 10 ppb,74084,(Intercept),intercept,-12.9709 (-13.2307 to -12.7110),mean_difference,-12.97 (-13.23 to -12.71),<.001,age + sex + race + zcta_svi_proxy + listing_center
Heart,US-candidate risk score proxy at listing,o3,Prior-year O3 per 10 ppb,74084,o3_prior_10ppb,pollutant,-0.0625 (-0.0943 to -0.0308),mean_difference,-0.06 (-0.09 to -0.03),<.001,age + sex + race + zcta_svi_proxy + listing_center
Heart,US-candidate risk score proxy at listing,o3,Prior-year O3 per 10 ppb,74084,age,covariate,0.0181 (0.0175 to 0.0188),mean_difference,0.02 (0.02 to 0.02),<.001,age + sex + race + zcta_svi_proxy + listing_center
Heart,US-candidate risk score proxy at listing,o3,Prior-year O3 per 10 ppb,74084,sexM,covariate,-0.0706 (-0.0915 to -0.0497),mean_difference,-0.07 (-0.09 to -0.05),<.001,age + sex + race + zcta_svi_proxy + listing_center
Heart,US-candidate risk score proxy at listing,o3,Prior-year O3 per 10 ppb,74084,raceBLACK,covariate,0.0326 (-0.0238 to 0.0890),mean_difference,0.03 (-0.02 to 0.09),0.257,age + sex + race + zcta_svi_proxy + listing_center
Heart,US-candidate risk score proxy at listing,o3,Prior-year O3 per 10 ppb,74084,raceMULTI,covariate,-0.1615 (-0.2816 to -0.0413),mean_difference,-0.16 (-0.28 to -0.04),0.008,age + sex + race + zcta_svi_proxy + listing_center
Heart,US-candidate risk score proxy at listing,o3,Prior-year O3 per 10 ppb,74084,raceMissing,covariate,0.4324 (0.2313 to 0.6335),mean_difference,0.43 (0.23 to 0.63),<.001,age + sex + race + zcta_svi_proxy + listing_center
Heart,US-candidate risk score proxy at listing,o3,Prior-year O3 per 10 ppb,74084,raceNATIVE,covariate,0.0310 (-0.1217 to 0.1837),mean_difference,0.03 (-0.12 to 0.18),0.691,age + sex + race + zcta_svi_proxy + listing_center
Heart,US-candidate risk score proxy at listing,o3,Prior-year O3 per 10 ppb,74084,racePACIFIC,covariate,-0.0379 (-0.2239 to 0.1480),mean_difference,-0.04 (-0.22 to 0.15),0.689,age + sex + race + zcta_svi_proxy + listing_center
Heart,US-candidate risk score proxy at listing,o3,Prior-year O3 per 10 ppb,74084,raceWHITE,covariate,-0.1718 (-0.2250 to -0.1186),mean_difference,-0.17 (-0.23 to -0.12),<.001,age + sex + race + zcta_svi_proxy + listing_center
Heart,US-candidate risk score proxy at listing,o3,Prior-year O3 per 10 ppb,74084,zcta_svi_proxy,covariate,-0.0825 (-0.1372 to -0.0278),mean_difference,-0.08 (-0.14 to -0.03),0.003,age + sex + race + zcta_svi_proxy + listing_center
Heart,US-candidate risk score proxy at listing,no2,Prior-year NO2 per 10 ppb,79446,(Intercept),intercept,-13.0526 (-13.2751 to -12.8301),mean_difference,-13.05 (-13.28 to -12.83),<.001,age + sex + race + zcta_svi_proxy + listing_center
Heart,US-candidate risk score proxy at listing,no2,Prior-year NO2 per 10 ppb,79446,no2_prior_10ppb,pollutant,-0.6658 (-0.6844 to -0.6472),mean_difference,-0.67 (-0.68 to -0.65),<.001,age + sex + race + zcta_svi_proxy + listing_center
Heart,US-candidate risk score proxy at listing,no2,Prior-year NO2 per 10 ppb,79446,age,covariate,0.0179 (0.0173 to 0.0185),mean_difference,0.02 (0.02 to 0.02),<.001,age + sex + race + zcta_svi_proxy + listing_center
Heart,US-candidate risk score proxy at listing,no2,Prior-year NO2 per 10 ppb,79446,sexM,covariate,-0.0620 (-0.0818 to -0.0421),mean_difference,-0.06 (-0.08 to -0.04),<.001,age + sex + race + zcta_svi_proxy + listing_center
Heart,US-candidate risk score proxy at listing,no2,Prior-year NO2 per 10 ppb,79446,raceBLACK,covariate,0.0025 (-0.0506 to 0.0555),mean_difference,0.00 (-0.05 to 0.06),0.928,age + sex + race + zcta_svi_proxy + listing_center
Heart,US-candidate risk score proxy at listing,no2,Prior-year NO2 per 10 ppb,79446,raceMULTI,covariate,-0.3065 (-0.4194 to -0.1936),mean_difference,-0.31 (-0.42 to -0.19),<.001,age + sex + race + zcta_svi_proxy + listing_center
Heart,US-candidate risk score proxy at listing,no2,Prior-year NO2 per 10 ppb,79446,raceMissing,covariate,0.3004 (0.1601 to 0.4407),mean_difference,0.30 (0.16 to 0.44),<.001,age + sex + race + zcta_svi_proxy + listing_center
Heart,US-candidate risk score proxy at listing,no2,Prior-year NO2 per 10 ppb,79446,raceNATIVE,covariate,-0.2066 (-0.3487 to -0.0646),mean_difference,-0.21 (-0.35 to -0.06),0.004,age + sex + race + zcta_svi_proxy + listing_center
Heart,US-candidate risk score proxy at listing,no2,Prior-year NO2 per 10 ppb,79446,racePACIFIC,covariate,0.0376 (-0.1333 to 0.2086),mean_difference,0.04 (-0.13 to 0.21),0.666,age + sex + race + zcta_svi_proxy + listing_center
Heart,US-candidate risk score proxy at listing,no2,Prior-year NO2 per 10 ppb,79446,raceWHITE,covariate,-0.2816 (-0.3316 to -0.2316),mean_difference,-0.28 (-0.33 to -0.23),<.001,age + sex + race + zcta_svi_proxy + listing_center
Heart,US-candidate risk score proxy at listing,no2,Prior-year NO2 per 10 ppb,79446,zcta_svi_proxy,covariate,0.2601 (0.2075 to 0.3126),mean_difference,0.26 (0.21 to 0.31),<.001,age + sex + race + zcta_svi_proxy + listing_center
Lung,Continuous lung waitlist urgency score proxy at listing,pm25,Prior-year PM2.5 per 5 ug/m3,46810,(Intercept),intercept,0.9078 (0.7890 to 1.0266),mean_difference,0.91 (0.79 to 1.03),<.001,age + sex + race + zcta_svi_proxy + listing_center
Lung,Continuous lung waitlist urgency score proxy at listing,pm25,Prior-year PM2.5 per 5 ug/m3,46810,pm25_prior_5ug,pollutant,-0.6743 (-0.6969 to -0.6516),mean_difference,-0.67 (-0.70 to -0.65),<.001,age + sex + race + zcta_svi_proxy + listing_center
