organ_label,outcome_label,pollutant,exposure,n,term,term_type,coefficient_ci,transformed_measure,transformed_ci,p_value_display,adjustment_set
Kidney,Diabetes at listing,o3,Prior-year O3 per 10 ppb,565015,o3_prior_10ppb,pollutant,-0.0281 (-0.0463 to -0.0100),odds_ratio,OR 0.97 (0.95 to 0.99),0.002,age + sex + race + zcta_svi_proxy + listing_center
Kidney,Diabetes at listing,o3,Prior-year O3 per 10 ppb,565015,age,covariate,0.0501 (0.0496 to 0.0505),odds_ratio,OR 1.05 (1.05 to 1.05),<.001,age + sex + race + zcta_svi_proxy + listing_center
Kidney,Diabetes at listing,o3,Prior-year O3 per 10 ppb,565015,sexM,covariate,0.2464 (0.2348 to 0.2581),odds_ratio,OR 1.28 (1.26 to 1.29),<.001,age + sex + race + zcta_svi_proxy + listing_center
Kidney,Diabetes at listing,o3,Prior-year O3 per 10 ppb,565015,raceBLACK,covariate,-0.0350 (-0.0604 to -0.0096),odds_ratio,OR 0.97 (0.94 to 0.99),0.007,age + sex + race + zcta_svi_proxy + listing_center
Kidney,Diabetes at listing,o3,Prior-year O3 per 10 ppb,565015,raceMULTI,covariate,0.0585 (-0.0178 to 0.1348),odds_ratio,OR 1.06 (0.98 to 1.14),0.133,age + sex + race + zcta_svi_proxy + listing_center
Kidney,Diabetes at listing,o3,Prior-year O3 per 10 ppb,565015,raceMissing,covariate,-0.0829 (-0.2853 to 0.1194),odds_ratio,OR 0.92 (0.75 to 1.13),0.422,age + sex + race + zcta_svi_proxy + listing_center
Kidney,Diabetes at listing,o3,Prior-year O3 per 10 ppb,565015,raceNATIVE,covariate,0.7392 (0.6740 to 0.8044),odds_ratio,OR 2.09 (1.96 to 2.24),<.001,age + sex + race + zcta_svi_proxy + listing_center
Kidney,Diabetes at listing,o3,Prior-year O3 per 10 ppb,565015,racePACIFIC,covariate,0.8086 (0.7135 to 0.9037),odds_ratio,OR 2.24 (2.04 to 2.47),<.001,age + sex + race + zcta_svi_proxy + listing_center
Kidney,Diabetes at listing,o3,Prior-year O3 per 10 ppb,565015,raceWHITE,covariate,-0.2131 (-0.2364 to -0.1898),odds_ratio,OR 0.81 (0.79 to 0.83),<.001,age + sex + race + zcta_svi_proxy + listing_center
Kidney,Diabetes at listing,o3,Prior-year O3 per 10 ppb,565015,zcta_svi_proxy,covariate,0.9472 (0.9139 to 0.9804),odds_ratio,OR 2.58 (2.49 to 2.67),<.001,age + sex + race + zcta_svi_proxy + listing_center
