model_type,organ,organ_label,outcome,outcome_label,outcome_family,pollutant,exposure,intervals,candidate_organ_episodes,people,centers,estimate,conf_low,conf_high,p_value,measure,adjustment_set
time_varying,HR,Heart,organ_score_tv,US-CRS proxy,gaussian,pm25,Monthly PM2.5 per 5 ug/m3,923609,76760,76760,167,-0.05222912404498858,-0.05797388685113105,-0.046484361238846104,5.1503286983597865e-71,mean_difference,age + sex + race + listing_year + zcta_svi_proxy + listing_center fixed effects
time_varying,KI,Kidney,kidney_dialysis_years_tv,"Dialysis duration, years",gaussian,pm25,Monthly PM2.5 per 5 ug/m3,20633921,592129,592129,280,-0.6382844078671778,-0.6408904314277591,-0.6356783843065964,0,mean_difference,age + sex + race + listing_year + zcta_svi_proxy + listing_center fixed effects
time_varying,LI,Liver,organ_score_tv,MELD/PELD,gaussian,pm25,Monthly PM2.5 per 5 ug/m3,3245102,218837,218837,160,0.045411882000927675,0.03294394971131634,0.05787981429053901,9.419012918394995e-13,mean_difference,age + sex + race + listing_year + zcta_svi_proxy + listing_center fixed effects
time_varying,LU,Lung,organ_score_tv,Lung urgency proxy,gaussian,pm25,Monthly PM2.5 per 5 ug/m3,424842,48311,48311,85,0.022922800711545323,0.017814332630929176,0.02803126879216147,1.438122745381834e-18,mean_difference,age + sex + race + listing_year + zcta_svi_proxy + listing_center fixed effects
time_varying,HR,Heart,organ_score_tv,US-CRS proxy,gaussian,o3,Monthly O3 per 10 ppb,923609,76760,76760,167,-0.008991291440756452,-0.012251691410277495,-0.00573089147123541,6.480567500535918e-8,mean_difference,age + sex + race + listing_year + zcta_svi_proxy + listing_center fixed effects
time_varying,KI,Kidney,kidney_dialysis_years_tv,"Dialysis duration, years",gaussian,o3,Monthly O3 per 10 ppb,20633921,592129,592129,280,0.004074174310830344,0.002508735042502603,0.005639613579158085,3.379467567967471e-7,mean_difference,age + sex + race + listing_year + zcta_svi_proxy + listing_center fixed effects
time_varying,LI,Liver,organ_score_tv,MELD/PELD,gaussian,o3,Monthly O3 per 10 ppb,3245102,218837,218837,160,-0.012733866552374459,-0.020246445491117253,-0.005221287613631663,8.932700566390283e-4,mean_difference,age + sex + race + listing_year + zcta_svi_proxy + listing_center fixed effects
time_varying,LU,Lung,organ_score_tv,Lung urgency proxy,gaussian,o3,Monthly O3 per 10 ppb,424842,48311,48311,85,0.003756701220141505,7.78334337466781e-4,0.00673506810281623,0.01343006832346935,mean_difference,age + sex + race + listing_year + zcta_svi_proxy + listing_center fixed effects
time_varying,HR,Heart,organ_score_tv,US-CRS proxy,gaussian,no2,Monthly NO2 per 10 ppb,969185,82122,82122,168,-0.0688336252102532,-0.07610201070747323,-0.06156523971303317,6.799387523906497e-77,mean_difference,age + sex + race + listing_year + zcta_svi_proxy + listing_center fixed effects
time_varying,KI,Kidney,kidney_dialysis_years_tv,"Dialysis duration, years",gaussian,no2,Monthly NO2 per 10 ppb,21563296,628132,628132,281,-1.4778303122636207,-1.4813206825423233,-1.4743399419849181,0,mean_difference,age + sex + race + listing_year + zcta_svi_proxy + listing_center fixed effects
time_varying,LI,Liver,organ_score_tv,MELD/PELD,gaussian,no2,Monthly NO2 per 10 ppb,3357717,232844,232844,163,0.18305552417756987,0.16707716510724213,0.19903388324789761,1.1848492041508974e-111,mean_difference,age + sex + race + listing_year + zcta_svi_proxy + listing_center fixed effects
time_varying,LU,Lung,organ_score_tv,Lung urgency proxy,gaussian,no2,Monthly NO2 per 10 ppb,439313,51932,51932,85,0.04991173413115085,0.043482423249840946,0.05634104501246076,2.875982185184194e-52,mean_difference,age + sex + race + listing_year + zcta_svi_proxy + listing_center fixed effects
