organ_label,WL_ORG,registration_rows_before_collapse,person_waitlist_episodes_after_collapse,collapsed_episode_count,collapsed_registration_rows,removed_duplicate_registration_rows,multicenter_collapsed_episode_count,multicenter_collapsed_registration_rows
Heart,HR,89516,83624,5465,11357,5892,2865,6077
Kidney,KI,795695,643225,119224,271694,152470,98438,229384
Liver,LI,264281,238078,23265,49468,26203,13185,28690
Lung,LU,56393,52613,3492,7272,3780,1600,3422
