pollutant,unit_label,organ,quartile,n,adverse_events,competing_events,censored,median_prior_exposure
NO2,ppb,Heart,Q1 lowest,21635,2159,16706,2770,2.881541766927121
NO2,ppb,Heart,Q2,21258,2641,16432,2185,5.200353826761177
NO2,ppb,Heart,Q3,19881,2783,15493,1605,8.672106070819288
NO2,ppb,Heart,Q4 highest,16695,2669,13061,965,15.154615519797968
NO2,ppb,Kidney,Q1 lowest,141719,22380,74756,44583,2.8986273352458904
NO2,ppb,Kidney,Q2,147241,27148,84004,36089,5.223608273015719
NO2,ppb,Kidney,Q3,151439,31723,90643,29073,8.79172576291676
NO2,ppb,Kidney,Q4 highest,160309,42814,94104,23391,15.741255027628062
NO2,ppb,Liver,Q1 lowest,60662,8825,44329,7508,2.8576315890971102
NO2,ppb,Liver,Q2,56169,10242,39885,6042,5.201574162874899
NO2,ppb,Liver,Q3,53994,10826,37837,5331,8.7130119013469
NO2,ppb,Liver,Q4 highest,51941,12990,33753,5198,15.541156950388839
NO2,ppb,Lung,Q1 lowest,14336,1129,12281,926,2.866888193638134
NO2,ppb,Lung,Q2,13681,1358,11588,735,5.215573952975134
NO2,ppb,Lung,Q3,13036,1624,10786,626,8.660714006644412
NO2,ppb,Lung,Q4 highest,9405,1570,7378,457,14.69359724495132
O3,ppb,Heart,Q1 lowest,17313,2453,13516,1344,34.35654033945108
O3,ppb,Heart,Q2,19399,2598,15125,1676,36.938938906597464
O3,ppb,Heart,Q3,19903,2703,15612,1588,38.81061701667942
O3,ppb,Heart,Q4 highest,17499,2266,14109,1124,43.160319997706495
O3,ppb,Kidney,Q1 lowest,147252,35197,86839,25216,34.13547591919171
O3,ppb,Kidney,Q2,139424,28427,84962,26035,36.9280979627525
O3,ppb,Kidney,Q3,136957,27960,81879,27118,38.80015713394039
O3,ppb,Kidney,Q4 highest,141092,31839,81748,27505,43.52049859371144
O3,ppb,Liver,Q1 lowest,49337,10715,34054,4568,34.259804815794624
O3,ppb,Liver,Q2,51927,9931,37451,4545,36.952352801122196
O3,ppb,Liver,Q3,53778,10047,38930,4801,38.80940293964246
O3,ppb,Liver,Q4 highest,53750,11444,36835,5471,43.655115242720946
O3,ppb,Lung,Q1 lowest,9717,1255,7977,485,34.49555606957939
O3,ppb,Lung,Q2,12869,1468,10833,568,36.950466304029504
O3,ppb,Lung,Q3,12979,1512,10952,515,38.787408920289266
O3,ppb,Lung,Q4 highest,11278,1353,9482,443,43.48962206070317
PM2.5,ug/m3,Heart,Q1 lowest,19389,2164,15520,1705,6.5594877903514
PM2.5,ug/m3,Heart,Q2,19661,2533,15446,1682,8.000726442507265
PM2.5,ug/m3,Heart,Q3,18644,2663,14547,1434,9.304204062352387
PM2.5,ug/m3,Heart,Q4 highest,16420,2660,12849,911,11.60103245308725
PM2.5,ug/m3,Kidney,Q1 lowest,137360,24554,82921,29885,6.560941832868387
PM2.5,ug/m3,Kidney,Q2,137830,27184,83823,26823,8.00743639921722
PM2.5,ug/m3,Kidney,Q3,142258,32675,83677,25906,9.323399917533333
PM2.5,ug/m3,Kidney,Q4 highest,147277,39010,85007,23260,11.785518590998045
PM2.5,ug/m3,Liver,Q1 lowest,53727,9783,38789,5155,6.535412810070345
PM2.5,ug/m3,Liver,Q2,53638,9941,38818,4879,8.008904109589043
PM2.5,ug/m3,Liver,Q3,51345,10511,36172,4662,9.312999329437684
PM2.5,ug/m3,Liver,Q4 highest,50082,11902,33491,4689,11.735692568796217
PM2.5,ug/m3,Lung,Q1 lowest,13143,1309,11246,588,6.526940639269407
PM2.5,ug/m3,Lung,Q2,12492,1350,10656,486,7.986805735444253
PM2.5,ug/m3,Lung,Q3,11368,1437,9431,500,9.305811789748345
PM2.5,ug/m3,Lung,Q4 highest,9840,1492,7911,437,11.567545810354028
