time,cif_adverse,cif_transplant_or_improvement,n_risk,strata,quartile,pollutant,unit_label,organ,cif_adverse_percent,cif_transplant_or_improvement_percent
1,0.07890615837189638,0.6916471247415902,4063,quartile=Q1 lowest,Q1 lowest,NO2,ppb,Heart,7.890615837189638,69.16471247415902
3,0.10411111821443844,0.8096021515848087,997,quartile=Q1 lowest,Q1 lowest,NO2,ppb,Heart,10.411111821443845,80.96021515848088
5,0.11550672078341392,0.8434189250990031,312,quartile=Q1 lowest,Q1 lowest,NO2,ppb,Heart,11.550672078341393,84.3418925099003
10,0.12234788380000197,0.8682419218546894,40,quartile=Q1 lowest,Q1 lowest,NO2,ppb,Heart,12.234788380000197,86.82419218546895
1,0.09034562445670229,0.643648288517742,5018,quartile=Q2,Q2,NO2,ppb,Heart,9.034562445670229,64.3648288517742
3,0.12001471541040773,0.7712901046005745,1579,quartile=Q2,Q2,NO2,ppb,Heart,12.001471541040774,77.12901046005744
5,0.1338438689013529,0.8089198706189346,656,quartile=Q2,Q2,NO2,ppb,Heart,13.384386890135291,80.89198706189346
10,0.1422207135766489,0.842623388552373,112,quartile=Q2,Q2,NO2,ppb,Heart,14.22207135766489,84.26233885523729
1,0.09912660051493707,0.622674138244263,5095,quartile=Q3,Q3,NO2,ppb,Heart,9.912660051493708,62.2674138244263
3,0.1301015304116369,0.7530370712244975,1781,quartile=Q3,Q3,NO2,ppb,Heart,13.010153041163692,75.30370712244975
5,0.14478496256972137,0.7937536060016658,790,quartile=Q3,Q3,NO2,ppb,Heart,14.478496256972138,79.37536060016657
10,0.1530873180035095,0.8296252118616473,156,quartile=Q3,Q3,NO2,ppb,Heart,15.30873180035095,82.96252118616472
1,0.10966080230622138,0.6007849518682367,4610,quartile=Q4 highest,Q4 highest,NO2,ppb,Heart,10.966080230622138,60.078495186823666
3,0.14343675891151642,0.730522085113774,1777,quartile=Q4 highest,Q4 highest,NO2,ppb,Heart,14.34367589115164,73.0522085113774
5,0.1579199063423706,0.7710289558714638,909,quartile=Q4 highest,Q4 highest,NO2,ppb,Heart,15.79199063423706,77.10289558714638
10,0.16740244049573752,0.8101254636136711,222,quartile=Q4 highest,Q4 highest,NO2,ppb,Heart,16.740244049573754,81.01254636136711
1,0.09711856176015586,0.6108569745716566,4780,quartile=Q1 lowest,Q1 lowest,O3,ppb,Heart,9.711856176015585,61.08569745716566
3,0.12983556480792371,0.7486001355611505,1649,quartile=Q1 lowest,Q1 lowest,O3,ppb,Heart,12.983556480792371,74.86001355611505
5,0.1444846946197207,0.7902565698659013,713,quartile=Q1 lowest,Q1 lowest,O3,ppb,Heart,14.448469461972069,79.02565698659014
10,0.15415740759133525,0.8274814155657899,138,quartile=Q1 lowest,Q1 lowest,O3,ppb,Heart,15.415740759133525,82.74814155657899
1,0.09347122848118622,0.6217870312124547,5199,quartile=Q2,Q2,O3,ppb,Heart,9.347122848118621,62.17870312124547
3,0.12476876864458576,0.7571602716163618,1687,quartile=Q2,Q2,O3,ppb,Heart,12.476876864458577,75.71602716163618
5,0.14034257439424197,0.7983035933739964,684,quartile=Q2,Q2,O3,ppb,Heart,14.034257439424197,79.83035933739964
10,0.14867530999559758,0.836897124354297,95,quartile=Q2,Q2,O3,ppb,Heart,14.867530999559758,83.6897124354297
1,0.09699960420507904,0.6445810210344859,4809,quartile=Q3,Q3,O3,ppb,Heart,9.699960420507905,64.4581021034486
3,0.12768619653243676,0.7680226333354702,1474,quartile=Q3,Q3,O3,ppb,Heart,12.768619653243677,76.80226333354702
5,0.1424855791434071,0.8041993559931288,623,quartile=Q3,Q3,O3,ppb,Heart,14.24855791434071,80.41993559931288
10,0.15105618670932314,0.8362333257819856,102,quartile=Q3,Q3,O3,ppb,Heart,15.105618670932314,83.62333257819856
1,0.09555506671438314,0.6625385128678212,3998,quartile=Q4 highest,Q4 highest,O3,ppb,Heart,9.555506671438314,66.25385128678212
3,0.12190349749087596,0.7775757939190725,1324,quartile=Q4 highest,Q4 highest,O3,ppb,Heart,12.190349749087597,77.75757939190726
5,0.13162530511208673,0.8124330067906779,647,quartile=Q4 highest,Q4 highest,O3,ppb,Heart,13.162530511208672,81.24330067906779
10,0.13819184045773697,0.8410790811919044,195,quartile=Q4 highest,Q4 highest,O3,ppb,Heart,13.819184045773698,84.10790811919044
1,0.08061772924436676,0.6587844622218942,4712,quartile=Q1 lowest,Q1 lowest,PM2.5,ug/m3,Heart,8.061772924436676,65.87844622218942
3,0.1068390027563458,0.7912527859717704,1401,quartile=Q1 lowest,Q1 lowest,PM2.5,ug/m3,Heart,10.68390027563458,79.12527859717704
5,0.11923926425266644,0.8324319656986087,482,quartile=Q1 lowest,Q1 lowest,PM2.5,ug/m3,Heart,11.923926425266645,83.24319656986087
10,0.1260702498390609,0.8638438585195783,44,quartile=Q1 lowest,Q1 lowest,PM2.5,ug/m3,Heart,12.60702498390609,86.38438585195783
1,0.08963802241789129,0.6352026600592704,5064,quartile=Q2,Q2,PM2.5,ug/m3,Heart,8.963802241789129,63.52026600592704
3,0.12199148559079502,0.7685630370786309,1538,quartile=Q2,Q2,PM2.5,ug/m3,Heart,12.199148559079502,76.85630370786309
5,0.13585004877112467,0.8087178143047107,615,quartile=Q2,Q2,PM2.5,ug/m3,Heart,13.585004877112466,80.87178143047107
10,0.1443070782863313,0.8433844320994196,77,quartile=Q2,Q2,PM2.5,ug/m3,Heart,14.43070782863313,84.33844320994196
1,0.09962288375455083,0.618020406432018,4965,quartile=Q3,Q3,PM2.5,ug/m3,Heart,9.962288375455083,61.802040643201806
3,0.1319860096450284,0.7500854430513197,1640,quartile=Q3,Q3,PM2.5,ug/m3,Heart,13.198600964502841,75.00854430513198
5,0.14762080709627518,0.7902112560390979,728,quartile=Q3,Q3,PM2.5,ug/m3,Heart,14.762080709627517,79.0211256039098
10,0.15591443712576594,0.8272860003096505,154,quartile=Q3,Q3,PM2.5,ug/m3,Heart,15.591443712576595,82.72860003096505
1,0.11651235303622029,0.625893168313006,4045,quartile=Q4 highest,Q4 highest,PM2.5,ug/m3,Heart,11.651235303622029,62.5893168313006
3,0.14666574673720756,0.738191876007125,1555,quartile=Q4 highest,Q4 highest,PM2.5,ug/m3,Heart,14.666574673720756,73.8191876007125
5,0.15969390403998904,0.7710874838195387,842,quartile=Q4 highest,Q4 highest,PM2.5,ug/m3,Heart,15.969390403998904,77.10874838195387
10,0.16924152068751866,0.8052177488243835,255,quartile=Q4 highest,Q4 highest,PM2.5,ug/m3,Heart,16.924152068751866,80.52177488243835
1,0.04253187392498308,0.3022835559380871,79849,quartile=Q1 lowest,Q1 lowest,NO2,ppb,Kidney,4.253187392498308,30.228355593808708
3,0.13222244689553006,0.5073653723438855,30861,quartile=Q1 lowest,Q1 lowest,NO2,ppb,Kidney,13.222244689553007,50.73653723438854
5,0.19829939549050676,0.6207565267498422,10395,quartile=Q1 lowest,Q1 lowest,NO2,ppb,Kidney,19.829939549050675,62.07565267498422
10,0.25369403429973253,0.7060250079783761,1204,quartile=Q1 lowest,Q1 lowest,NO2,ppb,Kidney,25.369403429973254,70.6025007978376
1,0.03910182625465916,0.27379548468325465,92157,quartile=Q2,Q2,NO2,ppb,Kidney,3.910182625465916,27.379548468325467
3,0.12323901304277421,0.4771105938585855,43259,quartile=Q2,Q2,NO2,ppb,Kidney,12.32390130427742,47.71105938585855
5,0.189288308808912,0.5970326495169265,18115,quartile=Q2,Q2,NO2,ppb,Kidney,18.9288308808912,59.703264951692645
10,0.2511984332917259,0.699096140399976,2547,quartile=Q2,Q2,NO2,ppb,Kidney,25.119843329172593,69.9096140399976
1,0.03851309723268893,0.2441066821043859,102593,quartile=Q3,Q3,NO2,ppb,Kidney,3.851309723268893,24.41066821043859
3,0.11982059702869137,0.4385442671219484,55264,quartile=Q3,Q3,NO2,ppb,Kidney,11.982059702869137,43.85442671219484
5,0.18821456428230843,0.5658351144647756,26499,quartile=Q3,Q3,NO2,ppb,Kidney,18.821456428230842,56.583511446477566
10,0.25574524718211156,0.6868391597065666,3899,quartile=Q3,Q3,NO2,ppb,Kidney,25.574524718211155,68.68391597065666
1,0.038726813740944374,0.17749152658487624,123248,quartile=Q4 highest,Q4 highest,NO2,ppb,Kidney,3.8726813740944372,17.749152658487624
3,0.12082100639201263,0.34086717287440466,79321,quartile=Q4 highest,Q4 highest,NO2,ppb,Kidney,12.082100639201263,34.086717287440464
5,0.19553861151577276,0.4662303267520542,45446,quartile=Q4 highest,Q4 highest,NO2,ppb,Kidney,19.553861151577276,46.62303267520542
10,0.288812341436937,0.6208619202661009,8818,quartile=Q4 highest,Q4 highest,NO2,ppb,Kidney,28.881234143693703,62.086192026610085
1,0.0392776782332732,0.21830075441705585,107701,quartile=Q1 lowest,Q1 lowest,O3,ppb,Kidney,3.9277678233273203,21.830075441705585
3,0.12328211645200962,0.39645181898588944,62300,quartile=Q1 lowest,Q1 lowest,O3,ppb,Kidney,12.328211645200962,39.645181898588945
5,0.19506787314212587,0.5199259383211383,31501,quartile=Q1 lowest,Q1 lowest,O3,ppb,Kidney,19.506787314212588,51.99259383211383
10,0.2769291539517548,0.652826007556036,5138,quartile=Q1 lowest,Q1 lowest,O3,ppb,Kidney,27.692915395175483,65.28260075560361
1,0.03921411343687951,0.2612117449855349,95496,quartile=Q2,Q2,O3,ppb,Kidney,3.9214113436879505,26.12117449855349
3,0.12276936517722259,0.4595065220093454,47864,quartile=Q2,Q2,O3,ppb,Kidney,12.276936517722259,45.95065220093454
5,0.1886601231498529,0.5852937479912363,20875,quartile=Q2,Q2,O3,ppb,Kidney,18.86601231498529,58.52937479912364
10,0.2518137980303884,0.6996215853399337,2794,quartile=Q2,Q2,O3,ppb,Kidney,25.18137980303884,69.96215853399337
1,0.04088276769875132,0.2617642016489842,93289,quartile=Q3,Q3,O3,ppb,Kidney,4.088276769875132,26.176420164898417
3,0.1261094667723144,0.46248050670287816,44244,quartile=Q3,Q3,O3,ppb,Kidney,12.610946677231441,46.24805067028782
5,0.19331294475338376,0.5824219342975026,20042,quartile=Q3,Q3,O3,ppb,Kidney,19.331294475338375,58.24219342975026
10,0.25523014455971293,0.6907766335486932,3161,quartile=Q3,Q3,O3,ppb,Kidney,25.523014455971293,69.07766335486933
1,0.03960522997866014,0.22771390493899757,101361,quartile=Q4 highest,Q4 highest,O3,ppb,Kidney,3.960522997866014,22.77139049389976
3,0.12281405667684892,0.4114444646323857,54297,quartile=Q4 highest,Q4 highest,O3,ppb,Kidney,12.281405667684892,41.14444646323857
5,0.19272144336679678,0.5274787764738559,28037,quartile=Q4 highest,Q4 highest,O3,ppb,Kidney,19.272144336679677,52.747877647385586
10,0.27044158885558983,0.6515646847060843,5375,quartile=Q4 highest,Q4 highest,O3,ppb,Kidney,27.044158885558982,65.15646847060843
1,0.036876120454833766,0.27766872252795055,91777,quartile=Q1 lowest,Q1 lowest,PM2.5,ug/m3,Kidney,3.6876120454833767,27.766872252795054
3,0.11669683650598985,0.4887289072235764,41569,quartile=Q1 lowest,Q1 lowest,PM2.5,ug/m3,Kidney,11.669683650598985,48.872890722357646
5,0.18217148056234475,0.6204616972213588,15833,quartile=Q1 lowest,Q1 lowest,PM2.5,ug/m3,Kidney,18.217148056234475,62.04616972213588
10,0.24085506368262335,0.7260874883484028,1178,quartile=Q1 lowest,Q1 lowest,PM2.5,ug/m3,Kidney,24.085506368262337,72.60874883484027
1,0.04009014761678277,0.2765251620998877,92164,quartile=Q2,Q2,PM2.5,ug/m3,Kidney,4.009014761678277,27.65251620998877
3,0.1238069702887072,0.47430891762372485,43689,quartile=Q2,Q2,PM2.5,ug/m3,Kidney,12.38069702887072,47.43089176237248
5,0.18982822865474425,0.5975571834295625,18777,quartile=Q2,Q2,PM2.5,ug/m3,Kidney,18.982822865474425,59.75571834295626
10,0.2510419745220395,0.7098046156775539,2023,quartile=Q2,Q2,PM2.5,ug/m3,Kidney,25.10419745220395,70.9804615677554
1,0.04013584796951698,0.2310772170741102,101853,quartile=Q3,Q3,PM2.5,ug/m3,Kidney,4.013584796951698,23.10772170741102
3,0.12796275271571086,0.41838063728471286,53778,quartile=Q3,Q3,PM2.5,ug/m3,Kidney,12.796275271571087,41.83806372847128
5,0.1994536571740427,0.540201095238715,26344,quartile=Q3,Q3,PM2.5,ug/m3,Kidney,19.945365717404272,54.0201095238715
10,0.27480344592549466,0.662831397454105,4340,quartile=Q3,Q3,PM2.5,ug/m3,Kidney,27.480344592549464,66.28313974541051
1,0.04167701074724494,0.1861634273342615,112053,quartile=Q4 highest,Q4 highest,PM2.5,ug/m3,Kidney,4.167701074724494,18.61634273342615
3,0.1263648299485457,0.3541116867032688,69669,quartile=Q4 highest,Q4 highest,PM2.5,ug/m3,Kidney,12.63648299485457,35.41116867032688
5,0.19900103588744195,0.4684661279369653,39501,quartile=Q4 highest,Q4 highest,PM2.5,ug/m3,Kidney,19.900103588744194,46.84661279369653
10,0.28784523354792807,0.609999981701035,8927,quartile=Q4 highest,Q4 highest,PM2.5,ug/m3,Kidney,28.784523354792807,60.999998170103495
1,0.10837888917823561,0.6389530659372071,12910,quartile=Q1 lowest,Q1 lowest,NO2,ppb,Liver,10.83788891782356,63.89530659372071
3,0.15147219396145525,0.7579450970727502,3250,quartile=Q1 lowest,Q1 lowest,NO2,ppb,Liver,15.147219396145525,75.79450970727501
5,0.16555842791587091,0.7897866023658329,1171,quartile=Q1 lowest,Q1 lowest,NO2,ppb,Liver,16.555842791587093,78.97866023658328
10,0.17493655178610154,0.8148221519915965,163,quartile=Q1 lowest,Q1 lowest,NO2,ppb,Liver,17.493655178610155,81.48221519915964
1,0.12176502035320938,0.572953962172049,15380,quartile=Q2,Q2,NO2,ppb,Liver,12.176502035320938,57.295396217204896
3,0.17267861887276484,0.6981119737113837,5205,quartile=Q2,Q2,NO2,ppb,Liver,17.267861887276485,69.81119737113836
5,0.1927175559274959,0.7371671110717433,2298,quartile=Q2,Q2,NO2,ppb,Liver,19.27175559274959,73.71671110717432
10,0.20943714270408642,0.7736342203228012,348,quartile=Q2,Q2,NO2,ppb,Liver,20.94371427040864,77.36342203228011
