analysis,model,organ,organ_label,exposure,exposure_label,n,people,intervals,centers,adverse_events,adjustment_set,term,hazard_ratio,conf_low,conf_high,p_value
Time-varying cause-specific Cox,Single-pollutant model restricted to single-organ candidates,HR,Heart,pm25_interval_5ug,PM2.5 per 5 ug/m3,67211,67211,790985,167,8817,age + sex + race + zcta_svi_proxy + organ_score_tv + strata(listing_center),pm25_interval_5ug,1.1744448010701036,1.1352287401073926,1.2150155664928917,1.6985381488168546e-20
Time-varying cause-specific Cox,Single-pollutant model additionally adjusted for multi-organ candidate status,HR,Heart,pm25_interval_5ug,PM2.5 per 5 ug/m3,76760,76760,923609,167,10342,multi_organ_candidate + age + sex + race + zcta_svi_proxy + organ_score_tv + strata(listing_center),pm25_interval_5ug,1.1437666481568944,1.1073603496936681,1.181369863746655,3.988261624132925e-16
Time-varying cause-specific Cox,Single-pollutant model without listing center,HR,Heart,pm25_interval_5ug,PM2.5 per 5 ug/m3,76760,76760,923609,167,10342,age + sex + race + zcta_svi_proxy + organ_score_tv,pm25_interval_5ug,1.1315968178463514,1.099424334786487,1.164710765119338,4.427583248735444e-17
Time-varying cause-specific Cox,Single-pollutant model restricted to single-organ candidates,KI,Kidney,pm25_interval_5ug,PM2.5 per 5 ug/m3,558474,558474,20069912,280,115163,age + sex + race + zcta_svi_proxy + kidney_no_dialysis_time + kidney_dialysis_years_tv + kidney_diabetes + strata(listing_center),pm25_interval_5ug,0.9939756491369969,0.9838290120711506,1.0042269326835658,0.24840052553048744
Time-varying cause-specific Cox,Single-pollutant model additionally adjusted for multi-organ candidate status,KI,Kidney,pm25_interval_5ug,PM2.5 per 5 ug/m3,592129,592129,20633921,280,123989,multi_organ_candidate + age + sex + race + zcta_svi_proxy + kidney_no_dialysis_time + kidney_dialysis_years_tv + kidney_diabetes + strata(listing_center),pm25_interval_5ug,0.9944701630416366,0.9847273944945434,1.0043093253109854,0.26962824118365525
Time-varying cause-specific Cox,Single-pollutant model without listing center,KI,Kidney,pm25_interval_5ug,PM2.5 per 5 ug/m3,592129,592129,20633921,280,123989,age + sex + race + zcta_svi_proxy + kidney_no_dialysis_time + kidney_dialysis_years_tv + kidney_diabetes,pm25_interval_5ug,0.9571784098992521,0.9489554108584339,0.9654726638298697,2.735059659721682e-23
Time-varying cause-specific Cox,Single-pollutant model restricted to single-organ candidates,LI,Liver,pm25_interval_5ug,PM2.5 per 5 ug/m3,191873,191873,2864244,160,38028,age + sex + race + zcta_svi_proxy + organ_score_tv + strata(listing_center),pm25_interval_5ug,1.0372357898810523,1.0206162082843595,1.0541260025829606,9.160759020925839e-6
Time-varying cause-specific Cox,Single-pollutant model additionally adjusted for multi-organ candidate status,LI,Liver,pm25_interval_5ug,PM2.5 per 5 ug/m3,218837,218837,3245102,160,43864,multi_organ_candidate + age + sex + race + zcta_svi_proxy + organ_score_tv + strata(listing_center),pm25_interval_5ug,1.0306713635814915,1.015215182125537,1.046362858249271,8.901578247448714e-5
Time-varying cause-specific Cox,Single-pollutant model without listing center,LI,Liver,pm25_interval_5ug,PM2.5 per 5 ug/m3,218837,218837,3245102,160,43864,age + sex + race + zcta_svi_proxy + organ_score_tv,pm25_interval_5ug,1.0114127915285875,0.9980772811745229,1.0249264803060647,0.09378411026171539
Time-varying cause-specific Cox,Single-pollutant model restricted to single-organ candidates,LU,Lung,pm25_interval_5ug,PM2.5 per 5 ug/m3,45717,45717,395407,85,5437,age + sex + race + zcta_svi_proxy + organ_score_tv + strata(listing_center),pm25_interval_5ug,1.141713113073391,1.093508980653606,1.1920421831237342,1.7286383685142442e-9
Time-varying cause-specific Cox,Single-pollutant model additionally adjusted for multi-organ candidate status,LU,Lung,pm25_interval_5ug,PM2.5 per 5 ug/m3,48311,48311,424842,85,5776,multi_organ_candidate + age + sex + race + zcta_svi_proxy + organ_score_tv + strata(listing_center),pm25_interval_5ug,1.141256744208365,1.0942756122475463,1.1902549427432858,7.253310090690986e-10
Time-varying cause-specific Cox,Single-pollutant model without listing center,LU,Lung,pm25_interval_5ug,PM2.5 per 5 ug/m3,48311,48311,424842,85,5776,age + sex + race + zcta_svi_proxy + organ_score_tv,pm25_interval_5ug,1.1237288834207775,1.082821406596948,1.1661817874497742,7.022751976608772e-10
Time-varying cause-specific Cox,Single-pollutant model restricted to single-organ candidates,HR,Heart,o3_interval_10ppb,O3 per 10 ppb,67211,67211,790985,167,8817,age + sex + race + zcta_svi_proxy + organ_score_tv + strata(listing_center),o3_interval_10ppb,1.0070102146475675,0.984144344766104,1.0304073561948353,0.5510986857317497
Time-varying cause-specific Cox,Single-pollutant model additionally adjusted for multi-organ candidate status,HR,Heart,o3_interval_10ppb,O3 per 10 ppb,76760,76760,923609,167,10342,multi_organ_candidate + age + sex + race + zcta_svi_proxy + organ_score_tv + strata(listing_center),o3_interval_10ppb,1.0044600885569712,0.9833352756384421,1.026038721990129,0.6815472158584829
Time-varying cause-specific Cox,Single-pollutant model without listing center,HR,Heart,o3_interval_10ppb,O3 per 10 ppb,76760,76760,923609,167,10342,age + sex + race + zcta_svi_proxy + organ_score_tv,o3_interval_10ppb,1.0076858006345644,0.9878082125816487,1.0279633838502749,0.4513238552436705
Time-varying cause-specific Cox,Single-pollutant model restricted to single-organ candidates,KI,Kidney,o3_interval_10ppb,O3 per 10 ppb,558474,558474,20069912,280,115163,age + sex + race + zcta_svi_proxy + kidney_no_dialysis_time + kidney_dialysis_years_tv + kidney_diabetes + strata(listing_center),o3_interval_10ppb,0.9835374244298848,0.9774333285968216,0.9896796404956524,1.7327934118912522e-7
Time-varying cause-specific Cox,Single-pollutant model additionally adjusted for multi-organ candidate status,KI,Kidney,o3_interval_10ppb,O3 per 10 ppb,592129,592129,20633921,280,123989,multi_organ_candidate + age + sex + race + zcta_svi_proxy + kidney_no_dialysis_time + kidney_dialysis_years_tv + kidney_diabetes + strata(listing_center),o3_interval_10ppb,0.9854218560429263,0.9795294706113247,0.9913496872749007,1.5933729720699495e-6
Time-varying cause-specific Cox,Single-pollutant model without listing center,KI,Kidney,o3_interval_10ppb,O3 per 10 ppb,592129,592129,20633921,280,123989,age + sex + race + zcta_svi_proxy + kidney_no_dialysis_time + kidney_dialysis_years_tv + kidney_diabetes,o3_interval_10ppb,0.9745314248093807,0.9691067486642467,0.979986466145264,1.323334848662002e-19
Time-varying cause-specific Cox,Single-pollutant model restricted to single-organ candidates,LI,Liver,o3_interval_10ppb,O3 per 10 ppb,191873,191873,2864244,160,38028,age + sex + race + zcta_svi_proxy + organ_score_tv + strata(listing_center),o3_interval_10ppb,0.9818343827205922,0.9715747606773019,0.9922023441822488,6.248564740994954e-4
Time-varying cause-specific Cox,Single-pollutant model additionally adjusted for multi-organ candidate status,LI,Liver,o3_interval_10ppb,O3 per 10 ppb,218837,218837,3245102,160,43864,multi_organ_candidate + age + sex + race + zcta_svi_proxy + organ_score_tv + strata(listing_center),o3_interval_10ppb,0.9868995348616725,0.9773015967997164,0.996591732889378,0.0081773179552863
Time-varying cause-specific Cox,Single-pollutant model without listing center,LI,Liver,o3_interval_10ppb,O3 per 10 ppb,218837,218837,3245102,160,43864,age + sex + race + zcta_svi_proxy + organ_score_tv,o3_interval_10ppb,0.9791234295808999,0.9702064017818072,0.9881224125027622,6.191805505599364e-6
Time-varying cause-specific Cox,Single-pollutant model restricted to single-organ candidates,LU,Lung,o3_interval_10ppb,O3 per 10 ppb,45717,45717,395407,85,5437,age + sex + race + zcta_svi_proxy + organ_score_tv + strata(listing_center),o3_interval_10ppb,0.9640020207697179,0.9366289161645258,0.9921751079964108,0.012614876771181583
Time-varying cause-specific Cox,Single-pollutant model additionally adjusted for multi-organ candidate status,LU,Lung,o3_interval_10ppb,O3 per 10 ppb,48311,48311,424842,85,5776,multi_organ_candidate + age + sex + race + zcta_svi_proxy + organ_score_tv + strata(listing_center),o3_interval_10ppb,0.9647404896415511,0.9381045346241998,0.9921327293515998,0.011974842791368208
Time-varying cause-specific Cox,Single-pollutant model without listing center,LU,Lung,o3_interval_10ppb,O3 per 10 ppb,48311,48311,424842,85,5776,age + sex + race + zcta_svi_proxy + organ_score_tv,o3_interval_10ppb,0.9684015668561331,0.9430578375188332,0.9944263833878432,0.017642015663776843
Time-varying cause-specific Cox,Single-pollutant model restricted to single-organ candidates,HR,Heart,no2_interval_10ppb,NO2 per 10 ppb,71818,71818,830458,168,9137,age + sex + race + zcta_svi_proxy + organ_score_tv + strata(listing_center),no2_interval_10ppb,1.3440122916190118,1.2879873267933042,1.4024742343702215,3.5070434333145556e-42
Time-varying cause-specific Cox,Single-pollutant model additionally adjusted for multi-organ candidate status,HR,Heart,no2_interval_10ppb,NO2 per 10 ppb,82122,82122,969185,168,10772,multi_organ_candidate + age + sex + race + zcta_svi_proxy + organ_score_tv + strata(listing_center),no2_interval_10ppb,1.284346190041732,1.2345825973448898,1.3361156551390299,2.2514714703660233e-35
Time-varying cause-specific Cox,Single-pollutant model without listing center,HR,Heart,no2_interval_10ppb,NO2 per 10 ppb,82122,82122,969185,168,10772,age + sex + race + zcta_svi_proxy + organ_score_tv,no2_interval_10ppb,1.1303251420317735,1.0931126499125607,1.168804447383669,7.365652698566662e-13
Time-varying cause-specific Cox,Single-pollutant model restricted to single-organ candidates,KI,Kidney,no2_interval_10ppb,NO2 per 10 ppb,591554,591554,20959050,281,122019,age + sex + race + zcta_svi_proxy + kidney_no_dialysis_time + kidney_dialysis_years_tv + kidney_diabetes + strata(listing_center),no2_interval_10ppb,0.9069574173873461,0.8950956479543253,0.9189763784840776,6.82153005060154e-48
Time-varying cause-specific Cox,Single-pollutant model additionally adjusted for multi-organ candidate status,KI,Kidney,no2_interval_10ppb,NO2 per 10 ppb,628132,628132,21563296,281,131452,multi_organ_candidate + age + sex + race + zcta_svi_proxy + kidney_no_dialysis_time + kidney_dialysis_years_tv + kidney_diabetes + strata(listing_center),no2_interval_10ppb,0.9168409218260942,0.9054000123490396,0.9284264021092864,7.77415543934255e-42
Time-varying cause-specific Cox,Single-pollutant model without listing center,KI,Kidney,no2_interval_10ppb,NO2 per 10 ppb,628132,628132,21563296,281,131452,age + sex + race + zcta_svi_proxy + kidney_no_dialysis_time + kidney_dialysis_years_tv + kidney_diabetes,no2_interval_10ppb,0.8601897495485727,0.851507658150354,0.8689603647672475,3.915240426554413e-186
Time-varying cause-specific Cox,Single-pollutant model restricted to single-organ candidates,LI,Liver,no2_interval_10ppb,NO2 per 10 ppb,204524,204524,2964741,163,39371,age + sex + race + zcta_svi_proxy + organ_score_tv + strata(listing_center),no2_interval_10ppb,1.0201449980321609,1.0010191307590395,1.0396362916869655,0.038880455815541066
Time-varying cause-specific Cox,Single-pollutant model additionally adjusted for multi-organ candidate status,LI,Liver,no2_interval_10ppb,NO2 per 10 ppb,232844,232844,3357717,163,45481,multi_organ_candidate + age + sex + race + zcta_svi_proxy + organ_score_tv + strata(listing_center),no2_interval_10ppb,1.0053531931878186,0.9876562696199124,1.0233672119976644,0.555719292804516
Time-varying cause-specific Cox,Single-pollutant model without listing center,LI,Liver,no2_interval_10ppb,NO2 per 10 ppb,232844,232844,3357717,163,45481,age + sex + race + zcta_svi_proxy + organ_score_tv,no2_interval_10ppb,1.0242649742626324,1.008864976167959,1.0399000483555003,0.0019233050250299587
Time-varying cause-specific Cox,Single-pollutant model restricted to single-organ candidates,LU,Lung,no2_interval_10ppb,NO2 per 10 ppb,49197,49197,408927,85,5578,age + sex + race + zcta_svi_proxy + organ_score_tv + strata(listing_center),no2_interval_10ppb,1.3793851341168775,1.3086444000040713,1.4539498646207605,4.846245765303478e-33
Time-varying cause-specific Cox,Single-pollutant model additionally adjusted for multi-organ candidate status,LU,Lung,no2_interval_10ppb,NO2 per 10 ppb,51932,51932,439313,85,5939,multi_organ_candidate + age + sex + race + zcta_svi_proxy + organ_score_tv + strata(listing_center),no2_interval_10ppb,1.3494846651165986,1.2818846264071975,1.4206495841119273,2.9334660056924963e-30
Time-varying cause-specific Cox,Single-pollutant model without listing center,LU,Lung,no2_interval_10ppb,NO2 per 10 ppb,51932,51932,439313,85,5939,age + sex + race + zcta_svi_proxy + organ_score_tv,no2_interval_10ppb,1.313946281934444,1.2546440470730178,1.376051507068501,4.778393816789851e-31
Time-varying cause-specific Cox,Multipollutant model: PM2.5 + NO2,HR,Heart,pm25_interval_5ug,PM2.5 per 5 ug/m3,76760,76760,923609,167,10342,age + sex + race + zcta_svi_proxy + organ_score_tv + strata(listing_center),pm25_interval_5ug,1.0813569178471056,1.043658465273298,1.12041709302821,1.5584227711140236e-5
Time-varying cause-specific Cox,Multipollutant model: PM2.5 + NO2,HR,Heart,no2_interval_10ppb,NO2 per 10 ppb,76760,76760,923609,167,10342,age + sex + race + zcta_svi_proxy + organ_score_tv + strata(listing_center),no2_interval_10ppb,1.2310344427826307,1.1793903511640484,1.2849399673495798,1.9868275558648086e-21
Time-varying cause-specific Cox,Multipollutant model: PM2.5 + NO2 + O3,HR,Heart,pm25_interval_5ug,PM2.5 per 5 ug/m3,76760,76760,923609,167,10342,age + sex + race + zcta_svi_proxy + organ_score_tv + strata(listing_center),pm25_interval_5ug,1.0784624720871145,1.0399659647068042,1.118384007911409,4.640288986997942e-5
Time-varying cause-specific Cox,Multipollutant model: PM2.5 + NO2 + O3,HR,Heart,no2_interval_10ppb,NO2 per 10 ppb,76760,76760,923609,167,10342,age + sex + race + zcta_svi_proxy + organ_score_tv + strata(listing_center),no2_interval_10ppb,1.234151774127555,1.1816622829427919,1.288972850846193,2.365611692092891e-21
Time-varying cause-specific Cox,Multipollutant model: PM2.5 + NO2 + O3,HR,Heart,o3_interval_10ppb,O3 per 10 ppb,76760,76760,923609,167,10342,age + sex + race + zcta_svi_proxy + organ_score_tv + strata(listing_center),o3_interval_10ppb,1.007497033007437,0.9861517571594958,1.0293043278070428,0.49421500567692844
Time-varying cause-specific Cox,Multipollutant model: PM2.5 + NO2,KI,Kidney,pm25_interval_5ug,PM2.5 per 5 ug/m3,592129,592129,20633921,280,123989,age + sex + race + zcta_svi_proxy + kidney_no_dialysis_time + kidney_dialysis_years_tv + kidney_diabetes + strata(listing_center),pm25_interval_5ug,1.0085201443087701,0.9982617223804,1.0188839847041629,0.10385669585688904
Time-varying cause-specific Cox,Multipollutant model: PM2.5 + NO2,KI,Kidney,no2_interval_10ppb,NO2 per 10 ppb,592129,592129,20633921,280,123989,age + sex + race + zcta_svi_proxy + kidney_no_dialysis_time + kidney_dialysis_years_tv + kidney_diabetes + strata(listing_center),no2_interval_10ppb,0.904341488546514,0.8922821870630233,0.9165637729454749,8.680897815994814e-49
Time-varying cause-specific Cox,Multipollutant model: PM2.5 + NO2 + O3,KI,Kidney,pm25_interval_5ug,PM2.5 per 5 ug/m3,592129,592129,20633921,280,123989,age + sex + race + zcta_svi_proxy + kidney_no_dialysis_time + kidney_dialysis_years_tv + kidney_diabetes + strata(listing_center),pm25_interval_5ug,1.0131530597445242,1.0027961693918963,1.0236169161796427,0.012681557483440234
Time-varying cause-specific Cox,Multipollutant model: PM2.5 + NO2 + O3,KI,Kidney,no2_interval_10ppb,NO2 per 10 ppb,592129,592129,20633921,280,123989,age + sex + race + zcta_svi_proxy + kidney_no_dialysis_time + kidney_dialysis_years_tv + kidney_diabetes + strata(listing_center),no2_interval_10ppb,0.8962268923386634,0.8840730752632255,0.9085477943232974,9.85226025003429e-56
Time-varying cause-specific Cox,Multipollutant model: PM2.5 + NO2 + O3,KI,Kidney,o3_interval_10ppb,O3 per 10 ppb,592129,592129,20633921,280,123989,age + sex + race + zcta_svi_proxy + kidney_no_dialysis_time + kidney_dialysis_years_tv + kidney_diabetes + strata(listing_center),o3_interval_10ppb,0.9776903197036112,0.9717215163877,0.9836957864178554,5.148561751335592e-13
Time-varying cause-specific Cox,Multipollutant model: PM2.5 + NO2,LI,Liver,pm25_interval_5ug,PM2.5 per 5 ug/m3,218837,218837,3245102,160,43864,age + sex + race + zcta_svi_proxy + organ_score_tv + strata(listing_center),pm25_interval_5ug,1.0384279428656777,1.021740653971544,1.055387772163831,5.06597273445081e-6
