analysis,model,organ,organ_label,exposure,exposure_label,n,people,intervals,centers,adverse_events,adjustment_set,term,hazard_ratio,conf_low,conf_high,p_value
Baseline cause-specific Cox,Single-pollutant model restricted to single-organ candidates,HR,Heart,pm25_prior_5ug,PM2.5 per 5 ug/m3,64718,64718,NA,167,8485,age + sex + race + zcta_svi_proxy + strata(listing_center),pm25_prior_5ug,1.369568920019781,1.2959653351830664,1.4473527769314813,6.503647132706987e-29
Baseline cause-specific Cox,Single-pollutant model additionally adjusted for multi-organ candidate status,HR,Heart,pm25_prior_5ug,PM2.5 per 5 ug/m3,74028,74028,NA,167,10010,age + sex + race + zcta_svi_proxy + multi_organ_candidate + strata(listing_center),pm25_prior_5ug,1.2624580644741539,1.199170488872256,1.3290857132872702,6.585440072738841e-19
Baseline cause-specific Cox,Single-pollutant model without listing center,HR,Heart,pm25_prior_5ug,PM2.5 per 5 ug/m3,74028,74028,NA,167,10010,age + sex + race + zcta_svi_proxy,pm25_prior_5ug,1.1763809152596687,1.130333606615764,1.2243040901265507,1.542149095249953e-15
Baseline cause-specific Cox,Single-pollutant model restricted to single-organ candidates,HR,Heart,o3_prior_10ppb,O3 per 10 ppb,64718,64718,NA,167,8485,age + sex + race + zcta_svi_proxy + strata(listing_center),o3_prior_10ppb,0.9915937231172561,0.9178909141023973,1.0712145600515792,0.8303716880572918
Baseline cause-specific Cox,Single-pollutant model additionally adjusted for multi-organ candidate status,HR,Heart,o3_prior_10ppb,O3 per 10 ppb,74028,74028,NA,167,10010,age + sex + race + zcta_svi_proxy + multi_organ_candidate + strata(listing_center),o3_prior_10ppb,0.9926352377227442,0.9259782120443775,1.0640906042416334,0.834897919908966
Baseline cause-specific Cox,Single-pollutant model without listing center,HR,Heart,o3_prior_10ppb,O3 per 10 ppb,74028,74028,NA,167,10010,age + sex + race + zcta_svi_proxy,o3_prior_10ppb,1.0175783330100825,0.9712730611332117,1.0660912005563825,0.4633568574605435
Baseline cause-specific Cox,Single-pollutant model restricted to single-organ candidates,HR,Heart,no2_prior_10ppb,NO2 per 10 ppb,69316,69316,NA,168,8653,age + sex + race + zcta_svi_proxy + strata(listing_center),no2_prior_10ppb,1.241921712548348,1.1900131688613265,1.2960945142941989,2.6280149208143838e-23
Baseline cause-specific Cox,Single-pollutant model additionally adjusted for multi-organ candidate status,HR,Heart,no2_prior_10ppb,NO2 per 10 ppb,79381,79381,NA,168,10242,age + sex + race + zcta_svi_proxy + multi_organ_candidate + strata(listing_center),no2_prior_10ppb,1.1778109964278305,1.1322012103552503,1.2252581348778506,4.591887525317155e-16
Baseline cause-specific Cox,Single-pollutant model without listing center,HR,Heart,no2_prior_10ppb,NO2 per 10 ppb,79381,79381,NA,168,10242,age + sex + race + zcta_svi_proxy,no2_prior_10ppb,1.0673514476516823,1.0323045844855383,1.1035881559819822,1.3001825002569392e-4
Baseline cause-specific Cox,Multipollutant model: PM2.5 + NO2,HR,Heart,pm25_prior_5ug,PM2.5 per 5 ug/m3,74028,74028,NA,167,10010,age + sex + race + zcta_svi_proxy + strata(listing_center),pm25_prior_5ug,1.191399145447489,1.1207008015269762,1.266557427137559,2.0121657986189247e-8
Baseline cause-specific Cox,Multipollutant model: PM2.5 + NO2,HR,Heart,no2_prior_10ppb,NO2 per 10 ppb,74028,74028,NA,167,10010,age + sex + race + zcta_svi_proxy + strata(listing_center),no2_prior_10ppb,1.0838453303630546,1.033636145005364,1.1364934419390906,8.779060056895024e-4
Baseline cause-specific Cox,Multipollutant model: PM2.5 + NO2 + O3,HR,Heart,pm25_prior_5ug,PM2.5 per 5 ug/m3,74028,74028,NA,167,10010,age + sex + race + zcta_svi_proxy + strata(listing_center),pm25_prior_5ug,1.1881476357694802,1.115457532309671,1.265574675408345,8.689008922434517e-8
Baseline cause-specific Cox,Multipollutant model: PM2.5 + NO2 + O3,HR,Heart,no2_prior_10ppb,NO2 per 10 ppb,74028,74028,NA,167,10010,age + sex + race + zcta_svi_proxy + strata(listing_center),no2_prior_10ppb,1.0871269985998528,1.0336037248290515,1.1434218769675883,0.00118253082258441
Baseline cause-specific Cox,Multipollutant model: PM2.5 + NO2 + O3,HR,Heart,o3_prior_10ppb,O3 per 10 ppb,74028,74028,NA,167,10010,age + sex + race + zcta_svi_proxy + strata(listing_center),o3_prior_10ppb,1.0129421209874174,0.941112243071685,1.0902543751014966,0.7318538913775493
Baseline cause-specific Cox,Single-pollutant model restricted to single-organ candidates,KI,Kidney,pm25_prior_5ug,PM2.5 per 5 ug/m3,531379,531379,NA,277,114317,age + sex + race + zcta_svi_proxy + strata(listing_center),pm25_prior_5ug,0.94500798258172,0.9313851479876101,0.958830070538179,2.263820071218963e-14
Baseline cause-specific Cox,Single-pollutant model additionally adjusted for multi-organ candidate status,KI,Kidney,pm25_prior_5ug,PM2.5 per 5 ug/m3,564179,564179,NA,277,123299,age + sex + race + zcta_svi_proxy + multi_organ_candidate + strata(listing_center),pm25_prior_5ug,0.9505252972939002,0.9373428678833797,0.9638931193191379,1.0713372479145991e-12
Baseline cause-specific Cox,Single-pollutant model without listing center,KI,Kidney,pm25_prior_5ug,PM2.5 per 5 ug/m3,564179,564179,NA,277,123299,age + sex + race + zcta_svi_proxy,pm25_prior_5ug,0.9360549755169452,0.9262905693686825,0.9459223122472314,4.805039193900831e-35
Baseline cause-specific Cox,Single-pollutant model restricted to single-organ candidates,KI,Kidney,o3_prior_10ppb,O3 per 10 ppb,531379,531379,NA,277,114317,age + sex + race + zcta_svi_proxy + strata(listing_center),o3_prior_10ppb,1.0480968720414452,1.0302291484741442,1.0662744835069389,8.574003862613471e-8
Baseline cause-specific Cox,Single-pollutant model additionally adjusted for multi-organ candidate status,KI,Kidney,o3_prior_10ppb,O3 per 10 ppb,564179,564179,NA,277,123299,age + sex + race + zcta_svi_proxy + multi_organ_candidate + strata(listing_center),o3_prior_10ppb,1.049589786230008,1.032292192548066,1.0671772268655022,1.1400645026564085e-8
Baseline cause-specific Cox,Single-pollutant model without listing center,KI,Kidney,o3_prior_10ppb,O3 per 10 ppb,564179,564179,NA,277,123299,age + sex + race + zcta_svi_proxy,o3_prior_10ppb,1.0104363255989965,0.9988818410726443,1.022124465686177,0.07684303503055041
Baseline cause-specific Cox,Single-pollutant model restricted to single-organ candidates,KI,Kidney,no2_prior_10ppb,NO2 per 10 ppb,564425,564425,NA,278,114764,age + sex + race + zcta_svi_proxy + strata(listing_center),no2_prior_10ppb,0.9115103608899956,0.9010841943224005,0.9220571654068301,3.944172860204433e-56
Baseline cause-specific Cox,Single-pollutant model additionally adjusted for multi-organ candidate status,KI,Kidney,no2_prior_10ppb,NO2 per 10 ppb,600141,600141,NA,278,123941,age + sex + race + zcta_svi_proxy + multi_organ_candidate + strata(listing_center),no2_prior_10ppb,0.920091215165039,0.9099744352922275,0.9303204698844235,2.5157263341106398e-49
Baseline cause-specific Cox,Single-pollutant model without listing center,KI,Kidney,no2_prior_10ppb,NO2 per 10 ppb,600141,600141,NA,278,123941,age + sex + race + zcta_svi_proxy,no2_prior_10ppb,0.8786938636836973,0.8710787867551981,0.8863755125428976,2.0329492081804696e-186
Baseline cause-specific Cox,Multipollutant model: PM2.5 + NO2,KI,Kidney,pm25_prior_5ug,PM2.5 per 5 ug/m3,564179,564179,NA,277,123299,age + sex + race + zcta_svi_proxy + strata(listing_center),pm25_prior_5ug,0.9901739602751373,0.9742406100935149,1.0063678945931422,0.23285304884845057
Baseline cause-specific Cox,Multipollutant model: PM2.5 + NO2,KI,Kidney,no2_prior_10ppb,NO2 per 10 ppb,564179,564179,NA,277,123299,age + sex + race + zcta_svi_proxy + strata(listing_center),no2_prior_10ppb,0.907395267917615,0.8957496759886489,0.9191922635422917,3.3125242032422907e-49
Baseline cause-specific Cox,Multipollutant model: PM2.5 + NO2 + O3,KI,Kidney,pm25_prior_5ug,PM2.5 per 5 ug/m3,564179,564179,NA,277,123299,age + sex + race + zcta_svi_proxy + strata(listing_center),pm25_prior_5ug,0.9897680472860576,0.9730852597230654,1.0067368482256691,0.23569556268651834
Baseline cause-specific Cox,Multipollutant model: PM2.5 + NO2 + O3,KI,Kidney,no2_prior_10ppb,NO2 per 10 ppb,564179,564179,NA,277,123299,age + sex + race + zcta_svi_proxy + strata(listing_center),no2_prior_10ppb,0.9078455931109002,0.8949508376509426,0.9209261405846499,4.758035890154523e-40
Baseline cause-specific Cox,Multipollutant model: PM2.5 + NO2 + O3,KI,Kidney,o3_prior_10ppb,O3 per 10 ppb,564179,564179,NA,277,123299,age + sex + race + zcta_svi_proxy + strata(listing_center),o3_prior_10ppb,1.0014965512975789,0.9831100561498584,1.020226917613845,0.8743159910354856
Baseline cause-specific Cox,Single-pollutant model restricted to single-organ candidates,LI,Liver,pm25_prior_5ug,PM2.5 per 5 ug/m3,182640,182640,NA,158,36336,age + sex + race + zcta_svi_proxy + strata(listing_center),pm25_prior_5ug,1.0445102594633469,1.0194454113989355,1.0701913706463788,4.414164392713467e-4
Baseline cause-specific Cox,Single-pollutant model additionally adjusted for multi-organ candidate status,LI,Liver,pm25_prior_5ug,PM2.5 per 5 ug/m3,208592,208592,NA,158,42101,age + sex + race + zcta_svi_proxy + multi_organ_candidate + strata(listing_center),pm25_prior_5ug,1.0265630112074184,1.0036409900142866,1.0500085453507049,0.022881719647057434
Baseline cause-specific Cox,Single-pollutant model without listing center,LI,Liver,pm25_prior_5ug,PM2.5 per 5 ug/m3,208592,208592,NA,158,42101,age + sex + race + zcta_svi_proxy,pm25_prior_5ug,1.0401671304310343,1.0219920802666835,1.058665404673981,1.193925916868923e-5
Baseline cause-specific Cox,Single-pollutant model restricted to single-organ candidates,LI,Liver,o3_prior_10ppb,O3 per 10 ppb,182640,182640,NA,158,36336,age + sex + race + zcta_svi_proxy + strata(listing_center),o3_prior_10ppb,1.032108879562573,1.001141149403368,1.064034516917766,0.04201807156631915
Baseline cause-specific Cox,Single-pollutant model additionally adjusted for multi-organ candidate status,LI,Liver,o3_prior_10ppb,O3 per 10 ppb,208592,208592,NA,158,42101,age + sex + race + zcta_svi_proxy + multi_organ_candidate + strata(listing_center),o3_prior_10ppb,1.0355978759753182,1.0066749104207768,1.0653518326748752,0.015508383085683048
Baseline cause-specific Cox,Single-pollutant model without listing center,LI,Liver,o3_prior_10ppb,O3 per 10 ppb,208592,208592,NA,158,42101,age + sex + race + zcta_svi_proxy,o3_prior_10ppb,0.9838547217870707,0.9642817440490277,1.0038249915612827,0.112376721621074
Baseline cause-specific Cox,Single-pollutant model restricted to single-organ candidates,LI,Liver,no2_prior_10ppb,NO2 per 10 ppb,195254,195254,NA,161,36974,age + sex + race + zcta_svi_proxy + strata(listing_center),no2_prior_10ppb,1.0092054807226123,0.9903307208090522,1.0284399755755305,0.3414624592425042
Baseline cause-specific Cox,Single-pollutant model additionally adjusted for multi-organ candidate status,LI,Liver,no2_prior_10ppb,NO2 per 10 ppb,222559,222559,NA,161,42847,age + sex + race + zcta_svi_proxy + multi_organ_candidate + strata(listing_center),no2_prior_10ppb,0.997361485064552,0.9799356339884976,1.01509721392767,0.7689282445395262
Baseline cause-specific Cox,Single-pollutant model without listing center,LI,Liver,no2_prior_10ppb,NO2 per 10 ppb,222559,222559,NA,161,42847,age + sex + race + zcta_svi_proxy,no2_prior_10ppb,1.024467528632052,1.0093623856454497,1.0397987206055104,0.0014249116285604672
Baseline cause-specific Cox,Multipollutant model: PM2.5 + NO2,LI,Liver,pm25_prior_5ug,PM2.5 per 5 ug/m3,208592,208592,NA,158,42101,age + sex + race + zcta_svi_proxy + strata(listing_center),pm25_prior_5ug,1.044468641570454,1.0167156190746258,1.0729792311216155,0.001543209652129775
Baseline cause-specific Cox,Multipollutant model: PM2.5 + NO2,LI,Liver,no2_prior_10ppb,NO2 per 10 ppb,208592,208592,NA,158,42101,age + sex + race + zcta_svi_proxy + strata(listing_center),no2_prior_10ppb,0.9736934792519352,0.953262779020188,0.9945620582314382,0.013741972345708542
Baseline cause-specific Cox,Multipollutant model: PM2.5 + NO2 + O3,LI,Liver,pm25_prior_5ug,PM2.5 per 5 ug/m3,208592,208592,NA,158,42101,age + sex + race + zcta_svi_proxy + strata(listing_center),pm25_prior_5ug,1.040044020184507,1.011901753661813,1.0689689587029438,0.005026747599271783
Baseline cause-specific Cox,Multipollutant model: PM2.5 + NO2 + O3,LI,Liver,no2_prior_10ppb,NO2 per 10 ppb,208592,208592,NA,158,42101,age + sex + race + zcta_svi_proxy + strata(listing_center),no2_prior_10ppb,0.9804523716537115,0.9582817631504086,1.003135914765924,0.09071045005421768
Baseline cause-specific Cox,Multipollutant model: PM2.5 + NO2 + O3,LI,Liver,o3_prior_10ppb,O3 per 10 ppb,208592,208592,NA,158,42101,age + sex + race + zcta_svi_proxy + strata(listing_center),o3_prior_10ppb,1.0249525787819398,0.9941084506852493,1.056753705320188,0.11389306766834213
Baseline cause-specific Cox,Single-pollutant model restricted to single-organ candidates,LU,Lung,pm25_prior_5ug,PM2.5 per 5 ug/m3,44268,44268,NA,84,5238,age + sex + race + zcta_svi_proxy + strata(listing_center),pm25_prior_5ug,1.1823335664005667,1.104528104834535,1.2656198209160998,1.4179280519967382e-6
Baseline cause-specific Cox,Single-pollutant model additionally adjusted for multi-organ candidate status,LU,Lung,pm25_prior_5ug,PM2.5 per 5 ug/m3,46788,46788,NA,84,5582,age + sex + race + zcta_svi_proxy + multi_organ_candidate + strata(listing_center),pm25_prior_5ug,1.1492334660880483,1.0754382294645146,1.2280924402644442,3.994607261858039e-5
Baseline cause-specific Cox,Single-pollutant model without listing center,LU,Lung,pm25_prior_5ug,PM2.5 per 5 ug/m3,46788,46788,NA,84,5582,age + sex + race + zcta_svi_proxy,pm25_prior_5ug,1.1046701405372676,1.0496734676544694,1.162548313354456,1.3313735864345008e-4
Baseline cause-specific Cox,Single-pollutant model restricted to single-organ candidates,LU,Lung,o3_prior_10ppb,O3 per 10 ppb,44268,44268,NA,84,5238,age + sex + race + zcta_svi_proxy + strata(listing_center),o3_prior_10ppb,0.9600416504681916,0.8800173840178622,1.0473429131883847,0.358459670786253
