analysis,model,organ,organ_label,exposure,exposure_label,n,people,intervals,centers,adverse_events,hazard_ratio,conf_low,conf_high,p_value,adjustment_set
Baseline cause-specific Cox,Single-pollutant model restricted to single-organ candidates,HR,Heart,pm25_prior_5ug,PM2.5 per 5 ug/m3,64718,64718,NA,167,8485,1.369568920019781,1.2959653351830664,1.4473527769314813,6.503647132706987e-29,age + sex + race + zcta_svi_proxy + strata(listing_center)
Baseline cause-specific Cox,Single-pollutant model additionally adjusted for multi-organ candidate status,HR,Heart,pm25_prior_5ug,PM2.5 per 5 ug/m3,74028,74028,NA,167,10010,1.2624580644741539,1.199170488872256,1.3290857132872702,6.585440072738841e-19,age + sex + race + zcta_svi_proxy + multi_organ_candidate + strata(listing_center)
Baseline cause-specific Cox,Single-pollutant model without listing center,HR,Heart,pm25_prior_5ug,PM2.5 per 5 ug/m3,74028,74028,NA,167,10010,1.1763809152596687,1.130333606615764,1.2243040901265507,1.542149095249953e-15,age + sex + race + zcta_svi_proxy
Baseline cause-specific Cox,Single-pollutant model restricted to single-organ candidates,HR,Heart,o3_prior_10ppb,O3 per 10 ppb,64718,64718,NA,167,8485,0.9915937231172561,0.9178909141023973,1.0712145600515792,0.8303716880572918,age + sex + race + zcta_svi_proxy + strata(listing_center)
Baseline cause-specific Cox,Single-pollutant model additionally adjusted for multi-organ candidate status,HR,Heart,o3_prior_10ppb,O3 per 10 ppb,74028,74028,NA,167,10010,0.9926352377227442,0.9259782120443775,1.0640906042416334,0.834897919908966,age + sex + race + zcta_svi_proxy + multi_organ_candidate + strata(listing_center)
Baseline cause-specific Cox,Single-pollutant model without listing center,HR,Heart,o3_prior_10ppb,O3 per 10 ppb,74028,74028,NA,167,10010,1.0175783330100825,0.9712730611332117,1.0660912005563825,0.4633568574605435,age + sex + race + zcta_svi_proxy
Baseline cause-specific Cox,Single-pollutant model restricted to single-organ candidates,HR,Heart,no2_prior_10ppb,NO2 per 10 ppb,69316,69316,NA,168,8653,1.241921712548348,1.1900131688613265,1.2960945142941989,2.6280149208143838e-23,age + sex + race + zcta_svi_proxy + strata(listing_center)
Baseline cause-specific Cox,Single-pollutant model additionally adjusted for multi-organ candidate status,HR,Heart,no2_prior_10ppb,NO2 per 10 ppb,79381,79381,NA,168,10242,1.1778109964278305,1.1322012103552503,1.2252581348778506,4.591887525317155e-16,age + sex + race + zcta_svi_proxy + multi_organ_candidate + strata(listing_center)
Baseline cause-specific Cox,Single-pollutant model without listing center,HR,Heart,no2_prior_10ppb,NO2 per 10 ppb,79381,79381,NA,168,10242,1.0673514476516823,1.0323045844855383,1.1035881559819822,1.3001825002569392e-4,age + sex + race + zcta_svi_proxy
Baseline cause-specific Cox,Multipollutant model: PM2.5 + NO2,HR,Heart,pm25_prior_5ug,PM2.5 per 5 ug/m3,74028,74028,NA,167,10010,1.191399145447489,1.1207008015269762,1.266557427137559,2.0121657986189247e-8,age + sex + race + zcta_svi_proxy + strata(listing_center)
