organ,model,exposure_window,exposure_form,pollutant,n_intervals,n_registrations,adverse_events,concordance,term,estimate,std.error,robust.se,statistic,p.value,conf.low,conf.high
LI,combined_pollutants_lagged_annual_linear,lagged_annual,linear,PM2.5,421374,216497,41324,0.794100071680746,pm25_waitlist_5ug,0.9988504358688834,0.022600972247141624,0.02416729768355098,-0.04759429050953934,0.9620395823881324,0.9526408980584629,1.0473014493381851
LI,combined_pollutants_lagged_annual_linear,lagged_annual,linear,Ozone,421374,216497,41324,0.794100071680746,o3_waitlist_10ppb,1.0326111226665633,0.020020679641274703,0.022019021238947143,1.457406511049019,0.1450042008499727,0.9889951773281476,1.0781505866746082
LI,combined_pollutants_lagged_annual_linear,lagged_annual,linear,NO2,421374,216497,41324,0.794100071680746,no2_waitlist_10unit,0.98283707622178,0.018641757352324314,0.019775971651497297,-0.8754014345479465,0.3813555195171966,0.9454709591620969,1.0216799458888146
