organ,model,exposure_window,exposure_form,status,error,started_at,finished_at,elapsed_seconds,n_intervals,n_registrations,adverse_events,concordance
LI,single_pollutant_pm25_cumulative_linear,cumulative,linear,done,NA,2026-05-28 20:56:14.253696,2026-05-28 21:00:40.479519,266.22244215011597,421374,216497,41324,0.7940927026320902
LI,single_pollutant_pm25_cumulative_spline,cumulative,spline,done,NA,2026-05-28 21:00:40.487099,2026-05-28 21:05:10.298805,269.80706214904785,421374,216497,41324,0.7941231836969846
LI,single_pollutant_ozone_cumulative_linear,cumulative,linear,done,NA,2026-05-28 21:05:10.30671,2026-05-28 21:09:35.794866,265.48680090904236,421374,216497,41324,0.7941037562050739
LI,single_pollutant_ozone_cumulative_spline,cumulative,spline,done,NA,2026-05-28 21:09:35.802394,2026-05-28 21:14:07.819556,272.01199102401733,421374,216497,41324,0.7940846636699201
LI,single_pollutant_no2_cumulative_linear,cumulative,linear,done,NA,2026-05-28 21:14:07.827814,2026-05-28 21:18:34.698277,266.86524200439453,421374,216497,41324,0.7940903579347907
LI,single_pollutant_no2_cumulative_spline,cumulative,spline,done,NA,2026-05-28 21:18:34.70756,2026-05-28 21:23:03.387368,268.67474389076233,421374,216497,41324,0.7941422762321384
LI,combined_pollutants_cumulative_linear,cumulative,linear,done,NA,2026-05-28 21:23:03.396112,2026-05-28 21:27:35.111277,271.7143819332123,421374,216497,41324,0.7941134699510293
LI,combined_pollutants_cumulative_spline,cumulative,spline,done,NA,2026-05-28 21:27:35.120351,2026-05-28 21:32:20.233789,285.1084339618683,421374,216497,41324,0.7941188292591426
LI,single_pollutant_pm25_lagged_annual_linear,lagged_annual,linear,done,NA,2026-05-28 21:32:20.240167,2026-05-28 21:36:45.347454,265.102126121521,421374,216497,41324,0.7940772946212644
LI,single_pollutant_pm25_lagged_annual_spline,lagged_annual,spline,done,NA,2026-05-28 21:36:45.355483,2026-05-28 21:41:15.59878,270.24119997024536,421374,216497,41324,0.7940893530645194
LI,single_pollutant_ozone_lagged_annual_linear,lagged_annual,linear,done,NA,2026-05-28 21:41:15.606619,2026-05-28 21:45:42.293429,266.68213510513306,421374,216497,41324,0.7941014115077744
LI,single_pollutant_ozone_lagged_annual_spline,lagged_annual,spline,done,NA,2026-05-28 21:45:42.299558,2026-05-28 21:50:13.352461,271.0476441383362,421374,216497,41324,0.7941024163780456
