organ,model,exposure_window,exposure_form,pollutant,n_intervals,n_registrations,adverse_events,concordance,term,estimate,std.error,robust.se,statistic,p.value,conf.low,conf.high
LU,combined_pollutants_lagged_annual_linear,lagged_annual,linear,PM2.5,60514,41045,4635,0.797417559052074,pm25_waitlist_5ug,1.0401778740793537,0.07546918942098473,0.07205209912086796,0.5467117790888256,0.5845767604725279,0.9031850775944296,1.1979493866373383
LU,combined_pollutants_lagged_annual_linear,lagged_annual,linear,Ozone,60514,41045,4635,0.797417559052074,o3_waitlist_10ppb,0.9511523850064028,0.06873828846700022,0.06561690570117937,-0.7632330744387233,0.445324407095106,0.8363670019969042,1.0816912400218257
LU,combined_pollutants_lagged_annual_linear,lagged_annual,linear,NO2,60514,41045,4635,0.797417559052074,no2_waitlist_10unit,0.8951161319775843,0.05992829564587778,0.05936775656944126,-1.8663634795729056,0.061990528994968076,0.7967929047405936,1.0055723199334512
