organ,pollutant,model,exposure_window,exposure_form,contrast,p25,p75,hazard_ratio,conf_low,conf_high,n_intervals,n_registrations,adverse_events,concordance,wald_chisq,df,p_value
LI,PM2.5,combined_pollutants_lagged_annual_linear,lagged_annual,linear,p75_vs_p25,1.3979009508151585,1.9507275202335443,0.9993643269711293,0.850305923773638,1.1745526287646237,421374,216497,41324,0.794100071680746,0.0022652164891064264,1,0.9620395823881324
LI,Ozone,combined_pollutants_lagged_annual_linear,lagged_annual,linear,p75_vs_p25,3.637355819465481,4.083297200472483,1.0144134416308734,0.7537580139612556,1.365205558682508,421374,216497,41324,0.794100071680746,2.124033738448074,1,0.1450042008499729
LI,NO2,combined_pollutants_lagged_annual_linear,lagged_annual,linear,p75_vs_p25,0.49071150749528625,1.24663695335388,0.9869987398730726,0.6844962164338269,1.4231875781379286,421374,216497,41324,0.794100071680746,0.7663276716086026,1,0.3813555195171966
