WL_ORG,organ_score_name,n,people,centers,adverse_events,transplant_or_improvement,other_exit,median_followup_days,complete_heat_humidity,complete_pm25,complete_o3,complete_no2,mean_tmax_c,mean_rmax_pct,mean_pm25,mean_o3,mean_no2
HR,US-CRS proxy baseline,74906,70070,169,9974,55946,5619,90,73630,73630,73630,73630,20.549858845857205,84.37993551797433,8.436978948715485,38.73973458377689,8.515619734471734
KI,Dialysis + age baseline,693752,563989,281,120198,357606,84952,955,678254,678254,678254,678254,20.790554107311237,83.81041185503861,8.539602646559059,38.538232644333405,8.95081171173885
LI,"Initial MELD, last if initial missing",222408,200480,160,42572,149315,20403,126,217649,217649,217649,217649,20.60143983541925,83.7232911946185,8.51266731726541,38.87074715051985,8.786479565482317
LU,LAS/CAS component proxy baseline,47285,44070,83,5712,38198,2457,57,46695,46695,46695,46695,20.4481596468798,84.40706051636471,8.361020221628063,38.92493751672225,8.164226717786713
