zip,pm25_ug_m3,pm25_days,pm25_missing_values,pm25_nearest_fill_days,o3_ppb,o3_days,o3_missing_values,o3_nearest_fill_days
46307,8.71828711437799,365,0,0,37.819649115095,365,0,0
46311,9.18208640674394,365,0,0,37.7174739258089,365,0,0
46312,9.71965753424658,365,0,0,37.3334252138456,365,0,0
46319,9.45164890918316,365,0,0,37.7356981777294,365,0,0
46320,9.64598825831703,365,0,0,37.3073135169339,365,0,0
46321,9.82276080084299,365,0,0,37.505799645638,365,0,0
46322,9.63039791258969,365,0,0,37.7661192842202,365,0,0
46323,9.4817591925018,365,0,0,37.7871238507433,365,0,0
46324,9.35616438356164,365,0,0,37.5651473308015,365,0,0
46327,9.61350293542074,365,0,0,37.9679686022965,365,0,0
46373,9.31860362350862,365,0,0,37.6915600980021,365,0,0
46375,9.58519067012218,365,0,0,37.3396007044967,365,0,0
46394,9.67448630136986,365,0,0,37.6190142591971,365,0,0
46402,9.43867228661749,365,0,0,37.9771554657983,365,0,0
46404,9.61826484018265,365,0,0,37.5095090198539,365,0,0
46406,9.57245464642725,365,0,0,38.3032578005956,365,0,0
46407,9.30219178082192,365,0,0,37.5438361758851,365,0,0
46408,9.02749510763209,365,0,0,37.6717392336393,365,0,0
46410,9.13965577801194,365,0,0,37.5561832080326,365,0,0
60004,10.1772319319792,365,0,0,38.7988133635355,365,0,0
60005,10.1362252663623,365,0,0,38.2722641058524,365,0,0
60007,9.99327084835376,365,0,0,38.0409030648391,365,0,0
60008,10.1606653620352,365,0,0,37.9282829677044,365,0,0
60015,9.02328767123288,365,0,0,38.9211307169563,365,0,0
60016,9.92425463336019,365,0,0,38.4644194861119,365,0,0
60018,10.246691926552,365,0,0,36.9777560831506,365,0,0
60022,9.0527397260274,365,0,0,39.7354604746877,365,0,0
60025,9.7185640056684,365,0,0,39.0161744122791,365,0,0
60026,9.97534246575342,365,0,0,39.1303202177904,365,0,0
60029,9.4027397260274,365,0,365,38.6547950965493,365,0,0
60043,9.20547945205479,365,0,0,39.989863609594,365,0,0
60053,9.64527757750541,365,0,0,39.1218762415494,365,0,0
60056,10.1403446752099,365,0,0,38.8463814891523,365,0,0
60062,9.54488315874295,365,0,0,38.9567029466271,365,0,0
60067,9.62184931506849,365,0,0,38.5728544560589,365,0,0
60068,9.98878016960209,365,0,0,38.7669542632565,365,0,0
60070,10.2212328767123,365,0,0,39.2064264870855,365,0,0
60074,9.8393655371305,365,0,0,38.2960934831042,365,0,0
60076,9.54207436399217,365,0,0,38.7481284312734,365,0,0
60077,9.70502283105023,365,0,0,38.313614901792,365,0,0
60089,9.68454011741683,365,0,0,38.7378087964164,365,0,0
60090,9.80208219178082,365,0,0,38.6203049894904,365,0,0
60091,9.52876712328767,365,0,0,39.8974834712312,365,0,0
60093,9.15578649031649,365,0,0,39.3533299491262,365,0,0
60101,10.2223596995139,365,0,0,37.7831886078453,365,0,0
60104,10.2315068493151,365,0,0,37.7189829495322,365,0,0
60106,10.185095890411,365,0,0,38.0905544687251,365,0,0
60108,10.3023661270237,365,0,0,38.2772836753988,365,0,0
60126,10.4464897260274,365,0,0,37.928995998976,365,0,0
60130,9.77290715372907,365,0,0,37.5332686610505,365,0,0
60131,10.3618264840183,365,0,0,37.0103201861999,365,0,0
60137,10.46,365,0,0,38.4893498886045,365,0,0
60139,10.2514677103718,365,0,0,38.2498464603781,365,0,0
60141,9.55342465753425,365,0,0,36.9904115101042,365,0,0
60143,10.2541095890411,365,0,0,37.8705734161212,365,0,0
60148,10.3484797861677,365,0,0,38.0958772800016,365,0,0
60153,9.75768645357686,365,0,0,37.9603919550864,365,0,0
60154,10.2381454162276,365,0,0,38.1858127020854,365,0,0
60155,9.90867579908676,365,0,0,37.786027960316,365,0,0
60157,10.0595890410959,365,0,0,38.1634937193653,365,0,0
60160,10.1669125395153,365,0,0,37.2065302347858,365,0,0
60162,10.1301369863014,365,0,0,37.8246580978779,365,0,0
60163,9.96917808219178,365,0,0,37.761370425702,365,0,0
60164,10.0280821917808,365,0,0,37.5227707265606,365,0,0
60165,10.8,365,0,0,37.5115074082801,365,0,0
60171,10.0471232876712,365,0,0,38.0363932608504,365,0,0
60172,10.3064167267484,365,0,0,38.2092579594128,365,0,0
60173,9.93643835616438,365,0,0,37.5562938714777,365,0,0
60176,10.2219178082192,365,0,0,37.3413019262918,365,0,0
60181,10.2806697108067,365,0,0,37.9584252231589,365,0,0
60191,10.3334035827187,365,0,0,38.0654252247533,365,0,0
60193,10.2580821917808,365,0,0,38.6756289265202,365,0,0
60201,9.42681017612524,365,0,0,39.6091786724145,365,0,0
60202,9.60219178082192,365,0,0,39.3700005866587,365,0,0
60203,9.72511415525114,365,0,0,40.3954800539944,365,0,0
60208,9.67945205479452,365,0,0,39.9295896360931,365,0,365
60301,9.67671232876712,365,0,365,37.8943841263142,365,0,0
60302,9.59482496194825,365,0,0,38.8175804871028,365,0,0
60304,9.44566210045662,365,0,0,37.9473978257343,365,0,0
60305,9.79041095890411,365,0,0,38.6432425849616,365,0,0
60402,9.58923679060665,365,0,0,37.5145066873442,365,0,0
60406,9.87397260273973,365,0,0,37.7654995842762,365,0,0
60409,9.49106327462492,365,0,0,37.8901001910075,365,0,0
60411,9.77348215795704,365,0,0,37.5819975892281,365,0,0
60415,9.82648401826484,365,0,0,37.4716248245155,365,0,0
60417,8.81087671232877,365,0,0,37.9135582188994,365,0,0
60418,9.95525114155251,365,0,0,37.471507407684,365,0,0
60419,9.52351598173516,365,0,0,37.4379457633483,365,0,0
60421,9.21531605875557,365,0,0,37.888908775564,365,0,0
60422,10.0709589041096,365,0,0,37.5380827511418,365,0,0
60423,9.50796648490491,365,0,0,37.9935434079422,365,0,0
60425,9.41802451333814,365,0,0,37.559675217217,365,0,0
60426,9.64383561643836,365,0,0,37.086301922492,365,0,0
60428,10.1479452054795,365,0,0,37.5557265870212,365,0,0
60429,10.1749510763209,365,0,0,37.7382197404255,365,0,0
60430,10.2427074939565,365,0,0,37.6353169339345,365,0,0
60432,9.62013103037522,365,0,0,37.1845389698165,365,0,0
60433,10.0338860850757,365,0,0,37.6245563336437,365,0,0
60438,9.67354001441961,365,0,0,37.5943716685435,365,0,0
60439,9.55673641427066,365,0,0,37.7637404537947,365,0,0
60440,10.4129680365297,365,0,0,37.3201141545093,365,0,0
60441,9.76773211567732,365,0,0,38.11491008935,365,0,0
60442,9.22041816870945,365,0,0,37.6550705432365,365,0,0
60443,10.1052511415525,365,0,0,37.4405308274611,365,0,0
60445,9.85922023182297,365,0,0,37.6429644463535,365,0,0
60446,10.2664744051911,365,0,0,37.7046196437941,365,0,0
60448,9.72836123795028,365,0,0,37.7126808411046,365,0,0
60449,9.00092610457264,365,0,0,37.9959754348627,365,0,0
60451,9.72948183442525,365,0,0,37.6336090683548,365,0,0
60452,9.96518264840183,365,0,0,37.6788336411134,365,0,0
60453,9.62625570776256,365,0,0,37.6850538340016,365,0,0
60455,10.1280199252802,365,0,0,37.2528544363893,365,0,0
60456,9.5972602739726,365,0,365,37.369863570553,365,0,0
60457,10.1554794520548,365,0,0,37.8786854959432,365,0,0
60458,10.3284246575342,365,0,0,37.9085850397678,365,0,0
60459,10.0109589041096,365,0,0,37.7176170003925,365,0,0
60461,9.8572602739726,365,0,0,37.1942471295799,365,0,0
60462,10.0544831880448,365,0,0,37.6477009398927,365,0,0
60463,10.5218124341412,365,0,0,37.7839046726131,365,0,0
60464,9.0209822920147,365,0,0,37.4615037052025,365,0,0
60465,10.218335089568,365,0,0,38.1364617554922,365,0,0
60466,10.0354642313546,365,0,0,37.5764965945405,365,0,0
60467,9.98516538590044,365,0,0,37.8895043697727,365,0,0
60469,9.67579908675799,365,0,0,37.3636535247984,365,0,0
60471,10.3531506849315,365,0,0,37.2579562980741,365,0,0
60472,10.1746575342466,365,0,0,37.5727676831655,365,0,0
60473,9.61704718417047,365,0,0,37.2673029789299,365,0,0
60475,9.62915851272016,365,0,0,37.2718009467825,365,0,0
60476,9.59117199391172,365,0,0,38.3530599322357,365,0,0
60477,10.2929285449833,365,0,0,37.7570870978734,365,0,0
60478,9.83845401174168,365,0,0,37.7972517047755,365,0,0
60480,9.49159817351598,365,0,0,37.324971201978,365,0,0
60482,10.3027397260274,365,0,0,37.426849872772,365,0,0
60484,9.53237858032379,365,0,0,37.6287154987416,365,0,0
60487,10.4512328767123,365,0,0,37.611536248992,365,0,0
60491,9.35001956947163,365,0,0,38.2842967785408,365,0,0
60501,10.4311154598826,365,0,0,36.8930765148804,365,0,0
60513,10.1906066536203,365,0,0,38.3044526255753,365,0,0
60514,10.5009132420091,365,0,0,38.4974956812895,365,0,0
60515,10.4529965753425,365,0,0,37.8263332446739,365,0,0
60516,10.6595363540569,365,0,0,38.2830795006646,365,0,0
60517,10.4649863013699,365,0,0,37.5757539845799,365,0,0
60521,10.4679452054795,365,0,0,38.3116444065044,365,0,0
60523,10.3156773211568,365,0,0,37.5097519541697,365,0,0
60525,10.3281657200134,365,0,0,37.6946097478337,365,0,0
60526,9.88931506849315,365,0,0,38.5283442852005,365,0,0
60527,10.3386893743058,365,0,0,37.4128955346645,365,0,0
60534,10.0208219178082,365,0,0,37.8191395067976,365,0,0
60546,10.1869863013699,365,0,0,38.1295896092711,365,0,0
60558,10.5757338551859,365,0,0,38.6004457806709,365,0,0
