organ_label,exposure,exposure_label,n,adverse_events,hazard_ratio_ci,p_value_display,adjustment_set
Heart,pm25,Prior-year PM2.5 per 5 ug/m3,74028,10010,1.26 (1.20-1.33),<.001,age + sex + race + zcta_svi_proxy + strata(listing_center)
Heart,o3,Prior-year O3 per 10 ppb,74028,10010,0.99 (0.93-1.06),0.830,age + sex + race + zcta_svi_proxy + strata(listing_center)
Heart,no2,Prior-year NO2 per 10 ppb,79381,10242,1.18 (1.13-1.22),<.001,age + sex + race + zcta_svi_proxy + strata(listing_center)
Kidney,pm25,Prior-year PM2.5 per 5 ug/m3,564179,123299,0.93 (0.92-0.94),<.001,age + sex + race + zcta_svi_proxy + strata(listing_center)
Kidney,o3,Prior-year O3 per 10 ppb,564179,123299,1.05 (1.03-1.07),<.001,age + sex + race + zcta_svi_proxy + strata(listing_center)
Kidney,no2,Prior-year NO2 per 10 ppb,600141,123941,0.90 (0.89-0.91),<.001,age + sex + race + zcta_svi_proxy + strata(listing_center)
Liver,pm25,Prior-year PM2.5 per 5 ug/m3,208592,42101,1.03 (1.00-1.05),0.030,age + sex + race + zcta_svi_proxy + strata(listing_center)
Liver,o3,Prior-year O3 per 10 ppb,208592,42101,1.03 (1.01-1.06),0.020,age + sex + race + zcta_svi_proxy + strata(listing_center)
Liver,no2,Prior-year NO2 per 10 ppb,222559,42847,1.00 (0.98-1.01),0.728,age + sex + race + zcta_svi_proxy + strata(listing_center)
Lung,pm25,Prior-year PM2.5 per 5 ug/m3,46788,5582,1.15 (1.08-1.23),<.001,age + sex + race + zcta_svi_proxy + strata(listing_center)
Lung,o3,Prior-year O3 per 10 ppb,46788,5582,0.97 (0.89-1.06),0.483,age + sex + race + zcta_svi_proxy + strata(listing_center)
Lung,no2,Prior-year NO2 per 10 ppb,50401,5675,1.13 (1.08-1.19),<.001,age + sex + race + zcta_svi_proxy + strata(listing_center)
