organ,pollutant,quartile,horizon,time,n_risk
Liver,O3,Q2,5,3,4790
Liver,O3,Q2,5,4,3119
Liver,O3,Q2,5,5,2093
Liver,O3,Q2,10,0,51927
Liver,O3,Q2,10,2,7762
Liver,O3,Q2,10,4,3119
Liver,O3,Q2,10,6,1435
Liver,O3,Q2,10,8,683
Liver,O3,Q2,10,10,324
Liver,O3,Q3,1,0,53778
Liver,O3,Q3,1,0.5,23897
Liver,O3,Q3,1,1,15200
Liver,O3,Q3,3,0,53778
Liver,O3,Q3,3,1,15200
Liver,O3,Q3,3,2,8035
Liver,O3,Q3,3,3,5117
Liver,O3,Q3,5,0,53778
Liver,O3,Q3,5,1,15200
Liver,O3,Q3,5,2,8035
Liver,O3,Q3,5,3,5117
Liver,O3,Q3,5,4,3454
Liver,O3,Q3,5,5,2408
Liver,O3,Q3,10,0,53778
Liver,O3,Q3,10,2,8035
Liver,O3,Q3,10,4,3454
Liver,O3,Q3,10,6,1688
Liver,O3,Q3,10,8,833
Liver,O3,Q3,10,10,404
Liver,O3,Q4 highest,1,0,53750
Liver,O3,Q4 highest,1,0.5,26033
Liver,O3,Q4 highest,1,1,17932
Liver,O3,Q4 highest,3,0,53750
Liver,O3,Q4 highest,3,1,17932
Liver,O3,Q4 highest,3,2,10402
Liver,O3,Q4 highest,3,3,6946
Liver,O3,Q4 highest,5,0,53750
Liver,O3,Q4 highest,5,1,17932
Liver,O3,Q4 highest,5,2,10402
Liver,O3,Q4 highest,5,3,6946
Liver,O3,Q4 highest,5,4,4831
Liver,O3,Q4 highest,5,5,3412
Liver,O3,Q4 highest,10,0,53750
Liver,O3,Q4 highest,10,2,10402
Liver,O3,Q4 highest,10,4,4831
Liver,O3,Q4 highest,10,6,2424
Liver,O3,Q4 highest,10,8,1295
Liver,O3,Q4 highest,10,10,675
Lung,O3,Q1 lowest,1,0,9717
Lung,O3,Q1 lowest,1,0.5,3005
Lung,O3,Q1 lowest,1,1,1805
Lung,O3,Q1 lowest,3,0,9717
Lung,O3,Q1 lowest,3,1,1805
Lung,O3,Q1 lowest,3,2,893
Lung,O3,Q1 lowest,3,3,507
Lung,O3,Q1 lowest,5,0,9717
Lung,O3,Q1 lowest,5,1,1805
Lung,O3,Q1 lowest,5,2,893
Lung,O3,Q1 lowest,5,3,507
Lung,O3,Q1 lowest,5,4,330
Lung,O3,Q1 lowest,5,5,220
Lung,O3,Q1 lowest,10,0,9717
Lung,O3,Q1 lowest,10,2,893
Lung,O3,Q1 lowest,10,4,330
Lung,O3,Q1 lowest,10,6,146
Lung,O3,Q1 lowest,10,8,58
Lung,O3,Q1 lowest,10,10,20
Lung,O3,Q2,1,0,12869
Lung,O3,Q2,1,0.5,3596
Lung,O3,Q2,1,1,2100
Lung,O3,Q2,3,0,12869
Lung,O3,Q2,3,1,2100
Lung,O3,Q2,3,2,1010
Lung,O3,Q2,3,3,568
Lung,O3,Q2,5,0,12869
Lung,O3,Q2,5,1,2100
Lung,O3,Q2,5,2,1010
Lung,O3,Q2,5,3,568
Lung,O3,Q2,5,4,347
Lung,O3,Q2,5,5,224
Lung,O3,Q2,10,0,12869
Lung,O3,Q2,10,2,1010
Lung,O3,Q2,10,4,347
Lung,O3,Q2,10,6,130
Lung,O3,Q2,10,8,51
Lung,O3,Q2,10,10,22
Lung,O3,Q3,1,0,12979
Lung,O3,Q3,1,0.5,3488
Lung,O3,Q3,1,1,2017
Lung,O3,Q3,3,0,12979
Lung,O3,Q3,3,1,2017
Lung,O3,Q3,3,2,967
Lung,O3,Q3,3,3,563
Lung,O3,Q3,5,0,12979
Lung,O3,Q3,5,1,2017
Lung,O3,Q3,5,2,967
Lung,O3,Q3,5,3,563
Lung,O3,Q3,5,4,351
Lung,O3,Q3,5,5,242
Lung,O3,Q3,10,0,12979
Lung,O3,Q3,10,2,967
Lung,O3,Q3,10,4,351
Lung,O3,Q3,10,6,173
Lung,O3,Q3,10,8,79
Lung,O3,Q3,10,10,45
Lung,O3,Q4 highest,1,0,11278
Lung,O3,Q4 highest,1,0.5,3147
Lung,O3,Q4 highest,1,1,1914
Lung,O3,Q4 highest,3,0,11278
Lung,O3,Q4 highest,3,1,1914
Lung,O3,Q4 highest,3,2,1020
Lung,O3,Q4 highest,3,3,597
Lung,O3,Q4 highest,5,0,11278
Lung,O3,Q4 highest,5,1,1914
Lung,O3,Q4 highest,5,2,1020
Lung,O3,Q4 highest,5,3,597
Lung,O3,Q4 highest,5,4,378
Lung,O3,Q4 highest,5,5,250
Lung,O3,Q4 highest,10,0,11278
Lung,O3,Q4 highest,10,2,1020
Lung,O3,Q4 highest,10,4,378
Lung,O3,Q4 highest,10,6,168
Lung,O3,Q4 highest,10,8,87
Lung,O3,Q4 highest,10,10,38
