organ,pollutant,pollutant_term,stage,fold,n_train,n_test,adverse_test,cv_concordance
LU,PM2.5 per 5 ug/m3,pm25_prior_1y_5ug,community,2,37291,9323,1146,0.6875813383791631
LU,PM2.5 per 5 ug/m3,pm25_prior_1y_5ug,community,3,37299,9315,1179,0.6911313791503044
LU,PM2.5 per 5 ug/m3,pm25_prior_1y_5ug,community,4,37306,9308,1082,0.6678588216291166
LU,PM2.5 per 5 ug/m3,pm25_prior_1y_5ug,community,5,37291,9323,1135,0.6824143234822433
LU,Ozone per 10 ppb,o3_prior_1y_10ppb,pollutant_only,1,37269,9345,1166,0.5044130581500887
LU,Ozone per 10 ppb,o3_prior_1y_10ppb,pollutant_only,2,37291,9323,1146,0.4896679731014595
LU,Ozone per 10 ppb,o3_prior_1y_10ppb,pollutant_only,3,37299,9315,1179,0.505192788174626
LU,Ozone per 10 ppb,o3_prior_1y_10ppb,pollutant_only,4,37306,9308,1082,0.49810639058580974
LU,Ozone per 10 ppb,o3_prior_1y_10ppb,pollutant_only,5,37291,9323,1135,0.4847314618791304
LU,Ozone per 10 ppb,o3_prior_1y_10ppb,demographics_year,1,37269,9345,1166,0.5435141597444192
LU,Ozone per 10 ppb,o3_prior_1y_10ppb,demographics_year,2,37291,9323,1146,0.563429553458705
LU,Ozone per 10 ppb,o3_prior_1y_10ppb,demographics_year,3,37299,9315,1179,0.5384934505611645
LU,Ozone per 10 ppb,o3_prior_1y_10ppb,demographics_year,4,37306,9308,1082,0.53382952388211935
LU,Ozone per 10 ppb,o3_prior_1y_10ppb,demographics_year,5,37291,9323,1135,0.5592941258598899
LU,Ozone per 10 ppb,o3_prior_1y_10ppb,clinical_score,1,37269,9345,1166,0.6888679146105899
LU,Ozone per 10 ppb,o3_prior_1y_10ppb,clinical_score,2,37291,9323,1146,0.6788457978090806
LU,Ozone per 10 ppb,o3_prior_1y_10ppb,clinical_score,3,37299,9315,1179,0.6856126943796153
LU,Ozone per 10 ppb,o3_prior_1y_10ppb,clinical_score,4,37306,9308,1082,0.6694466223107888
LU,Ozone per 10 ppb,o3_prior_1y_10ppb,clinical_score,5,37291,9323,1135,0.6770275300612669
LU,Ozone per 10 ppb,o3_prior_1y_10ppb,optn_region,1,37269,9345,1166,0.693106629227279
LU,Ozone per 10 ppb,o3_prior_1y_10ppb,optn_region,2,37291,9323,1146,0.6880656292591186
LU,Ozone per 10 ppb,o3_prior_1y_10ppb,optn_region,3,37299,9315,1179,0.6908412814320488
LU,Ozone per 10 ppb,o3_prior_1y_10ppb,optn_region,4,37306,9308,1082,0.6655641218298434
LU,Ozone per 10 ppb,o3_prior_1y_10ppb,optn_region,5,37291,9323,1135,0.680322977695168
LU,Ozone per 10 ppb,o3_prior_1y_10ppb,community,1,37269,9345,1166,0.6921887677021883
LU,Ozone per 10 ppb,o3_prior_1y_10ppb,community,2,37291,9323,1146,0.6878070618605765
LU,Ozone per 10 ppb,o3_prior_1y_10ppb,community,3,37299,9315,1179,0.6913202255465865
LU,Ozone per 10 ppb,o3_prior_1y_10ppb,community,4,37306,9308,1082,0.6678325057441225
LU,Ozone per 10 ppb,o3_prior_1y_10ppb,community,5,37291,9323,1135,0.6819499050993849
LU,NO2 per 10-unit increase,no2_prior_1y_10unit,pollutant_only,1,37269,9345,1166,0.524015169693035
LU,NO2 per 10-unit increase,no2_prior_1y_10unit,pollutant_only,2,37291,9323,1146,0.5347848461931912
LU,NO2 per 10-unit increase,no2_prior_1y_10unit,pollutant_only,3,37299,9315,1179,0.5217715703845931
LU,NO2 per 10-unit increase,no2_prior_1y_10unit,pollutant_only,4,37306,9308,1082,0.522271859425987
LU,NO2 per 10-unit increase,no2_prior_1y_10unit,pollutant_only,5,37291,9323,1135,0.5187626489739008
LU,NO2 per 10-unit increase,no2_prior_1y_10unit,demographics_year,1,37269,9345,1166,0.5463253238295711
LU,NO2 per 10-unit increase,no2_prior_1y_10unit,demographics_year,2,37291,9323,1146,0.5690563231339373
LU,NO2 per 10-unit increase,no2_prior_1y_10unit,demographics_year,3,37299,9315,1179,0.5395896570701613
LU,NO2 per 10-unit increase,no2_prior_1y_10unit,demographics_year,4,37306,9308,1082,0.5372303982954566
LU,NO2 per 10-unit increase,no2_prior_1y_10unit,demographics_year,5,37291,9323,1135,0.5607939756867989
LU,NO2 per 10-unit increase,no2_prior_1y_10unit,clinical_score,1,37269,9345,1166,0.6886897591932609
LU,NO2 per 10-unit increase,no2_prior_1y_10unit,clinical_score,2,37291,9323,1146,0.6790242427855826
LU,NO2 per 10-unit increase,no2_prior_1y_10unit,clinical_score,3,37299,9315,1179,0.6860018974380684
LU,NO2 per 10-unit increase,no2_prior_1y_10unit,clinical_score,4,37306,9308,1082,0.6694420850892381
LU,NO2 per 10-unit increase,no2_prior_1y_10unit,clinical_score,5,37291,9323,1135,0.6775498439851027
LU,NO2 per 10-unit increase,no2_prior_1y_10unit,optn_region,1,37269,9345,1166,0.6927922491158436
LU,NO2 per 10-unit increase,no2_prior_1y_10unit,optn_region,2,37291,9323,1146,0.6878304919161078
LU,NO2 per 10-unit increase,no2_prior_1y_10unit,optn_region,3,37299,9315,1179,0.6906456069119342
LU,NO2 per 10-unit increase,no2_prior_1y_10unit,optn_region,4,37306,9308,1082,0.6662442513402953
LU,NO2 per 10-unit increase,no2_prior_1y_10unit,optn_region,5,37291,9323,1135,0.6812869280019831
LU,NO2 per 10-unit increase,no2_prior_1y_10unit,community,1,37269,9345,1166,0.6916635302218195
LU,NO2 per 10-unit increase,no2_prior_1y_10unit,community,2,37291,9323,1146,0.6875662762006073
LU,NO2 per 10-unit increase,no2_prior_1y_10unit,community,3,37299,9315,1179,0.6911668853942334
LU,NO2 per 10-unit increase,no2_prior_1y_10unit,community,4,37306,9308,1082,0.6683803752463711
LU,NO2 per 10-unit increase,no2_prior_1y_10unit,community,5,37291,9323,1135,0.6825541506191165
