organ,pollutant,pollutant_term,stage,fold,n_train,n_test,adverse_test,cv_concordance
HR,Ozone per 10 ppb,o3_prior_1y_10ppb,community,5,58757,14740,1974,0.651964668984196
HR,NO2 per 10-unit increase,no2_prior_1y_10unit,pollutant_only,1,58816,14681,2032,0.5138053580306201
HR,NO2 per 10-unit increase,no2_prior_1y_10unit,pollutant_only,2,58820,14677,2021,0.5070453472370202
HR,NO2 per 10-unit increase,no2_prior_1y_10unit,pollutant_only,3,58806,14691,1989,0.5053758662314558
HR,NO2 per 10-unit increase,no2_prior_1y_10unit,pollutant_only,4,58789,14708,2013,0.51847111628892
HR,NO2 per 10-unit increase,no2_prior_1y_10unit,pollutant_only,5,58757,14740,1974,0.5093375359986163
HR,NO2 per 10-unit increase,no2_prior_1y_10unit,demographics_year,1,58816,14681,2032,0.5656267133310702
HR,NO2 per 10-unit increase,no2_prior_1y_10unit,demographics_year,2,58820,14677,2021,0.5431855205917664
HR,NO2 per 10-unit increase,no2_prior_1y_10unit,demographics_year,3,58806,14691,1989,0.5608642575060916
HR,NO2 per 10-unit increase,no2_prior_1y_10unit,demographics_year,4,58789,14708,2013,0.5461760307285474
HR,NO2 per 10-unit increase,no2_prior_1y_10unit,demographics_year,5,58757,14740,1974,0.5668386300285305
HR,NO2 per 10-unit increase,no2_prior_1y_10unit,clinical_score,1,58816,14681,2032,0.6560783541509996
HR,NO2 per 10-unit increase,no2_prior_1y_10unit,clinical_score,2,58820,14677,2021,0.6218534006321583
HR,NO2 per 10-unit increase,no2_prior_1y_10unit,clinical_score,3,58806,14691,1989,0.6470304845508984
HR,NO2 per 10-unit increase,no2_prior_1y_10unit,clinical_score,4,58789,14708,2013,0.6361164652822544
HR,NO2 per 10-unit increase,no2_prior_1y_10unit,clinical_score,5,58757,14740,1974,0.653389703519757
HR,NO2 per 10-unit increase,no2_prior_1y_10unit,optn_region,1,58816,14681,2032,0.6584737327334927
HR,NO2 per 10-unit increase,no2_prior_1y_10unit,optn_region,2,58820,14677,2021,0.6259526252057305
HR,NO2 per 10-unit increase,no2_prior_1y_10unit,optn_region,3,58806,14691,1989,0.6481123954281871
HR,NO2 per 10-unit increase,no2_prior_1y_10unit,optn_region,4,58789,14708,2013,0.639337290137982
HR,NO2 per 10-unit increase,no2_prior_1y_10unit,optn_region,5,58757,14740,1974,0.6512699320322267
HR,NO2 per 10-unit increase,no2_prior_1y_10unit,community,1,58816,14681,2032,0.6580991983365546
HR,NO2 per 10-unit increase,no2_prior_1y_10unit,community,2,58820,14677,2021,0.6255450911475526
HR,NO2 per 10-unit increase,no2_prior_1y_10unit,community,3,58806,14691,1989,0.6483651666826056
HR,NO2 per 10-unit increase,no2_prior_1y_10unit,community,4,58789,14708,2013,0.640406350260675
HR,NO2 per 10-unit increase,no2_prior_1y_10unit,community,5,58757,14740,1974,0.6517421354718419
KI,PM2.5 per 5 ug/m3,pm25_prior_1y_5ug,pollutant_only,1,541342,135859,25494,0.49129892737415515
KI,PM2.5 per 5 ug/m3,pm25_prior_1y_5ug,pollutant_only,2,541996,135205,25634,0.49453574114008714
KI,PM2.5 per 5 ug/m3,pm25_prior_1y_5ug,pollutant_only,3,541517,135684,25847,0.49286454145225544
KI,PM2.5 per 5 ug/m3,pm25_prior_1y_5ug,pollutant_only,4,542034,135167,25392,0.49500260605364194
KI,PM2.5 per 5 ug/m3,pm25_prior_1y_5ug,pollutant_only,5,541915,135286,25467,0.49457530201515815
KI,PM2.5 per 5 ug/m3,pm25_prior_1y_5ug,demographics_year,1,541342,135859,25494,0.6488673504860356
KI,PM2.5 per 5 ug/m3,pm25_prior_1y_5ug,demographics_year,2,541996,135205,25634,0.6492592002787823
KI,PM2.5 per 5 ug/m3,pm25_prior_1y_5ug,demographics_year,3,541517,135684,25847,0.650678702463678
KI,PM2.5 per 5 ug/m3,pm25_prior_1y_5ug,demographics_year,4,542034,135167,25392,0.6501276708328956
KI,PM2.5 per 5 ug/m3,pm25_prior_1y_5ug,demographics_year,5,541915,135286,25467,0.6511824734119707
KI,PM2.5 per 5 ug/m3,pm25_prior_1y_5ug,clinical_score,1,541342,135859,25494,0.6483099209030418
