organ,pollutant,pollutant_term,stage,mean_cv_concordance,sd_cv_concordance,total_test_adverse
HR,NO2 per 10-unit increase,no2_prior_1y_10unit,clinical_score,0.6428936816272135,0.01405115021354925,10029
HR,NO2 per 10-unit increase,no2_prior_1y_10unit,community,0.644831588379846,0.012528198380038559,10029
HR,NO2 per 10-unit increase,no2_prior_1y_10unit,demographics_year,0.5565382304372012,0.011102739597418915,10029
HR,NO2 per 10-unit increase,no2_prior_1y_10unit,optn_region,0.6446291951075238,0.012497217839954269,10029
HR,NO2 per 10-unit increase,no2_prior_1y_10unit,pollutant_only,0.5108070447573265,0.005327649559896776,10029
HR,Ozone per 10 ppb,o3_prior_1y_10ppb,clinical_score,0.6430619919158419,0.013820185599745015,10029
HR,Ozone per 10 ppb,o3_prior_1y_10ppb,community,0.6447989428271612,0.01259032789535804,10029
HR,Ozone per 10 ppb,o3_prior_1y_10ppb,demographics_year,0.5569026256918421,0.010779621270814716,10029
HR,Ozone per 10 ppb,o3_prior_1y_10ppb,optn_region,0.6446155455125564,0.012702340225418033,10029
HR,Ozone per 10 ppb,o3_prior_1y_10ppb,pollutant_only,0.5255940324735232,0.008412316807715293,10029
HR,PM2.5 per 5 ug/m3,pm25_prior_1y_5ug,clinical_score,0.6434743829731377,0.013785987924115436,10029
HR,PM2.5 per 5 ug/m3,pm25_prior_1y_5ug,community,0.6453573319575434,0.012626043131485456,10029
HR,PM2.5 per 5 ug/m3,pm25_prior_1y_5ug,demographics_year,0.5573725920425963,0.010459496857200335,10029
HR,PM2.5 per 5 ug/m3,pm25_prior_1y_5ug,optn_region,0.6452699907463101,0.01257533591560873,10029
HR,PM2.5 per 5 ug/m3,pm25_prior_1y_5ug,pollutant_only,0.5402501677661167,0.007141952233776034,10029
KI,NO2 per 10-unit increase,no2_prior_1y_10unit,clinical_score,0.6497936197295467,7.067996066986199e-4,127834
KI,NO2 per 10-unit increase,no2_prior_1y_10unit,community,0.6536666526808587,0.0010019178884704142,127834
KI,NO2 per 10-unit increase,no2_prior_1y_10unit,demographics_year,0.6507246291495253,9.41933052759639e-4,127834
KI,NO2 per 10-unit increase,no2_prior_1y_10unit,optn_region,0.652146981839937,0.0012221733525308804,127834
KI,NO2 per 10-unit increase,no2_prior_1y_10unit,pollutant_only,0.5165414617759013,0.0017370850116601795,127834
KI,Ozone per 10 ppb,o3_prior_1y_10ppb,clinical_score,0.6491365997300773,8.342162238550121e-4,127834
KI,Ozone per 10 ppb,o3_prior_1y_10ppb,community,0.6535345357318962,9.532994115824725e-4,127834
KI,Ozone per 10 ppb,o3_prior_1y_10ppb,demographics_year,0.6500341432067273,0.0011171249284272935,127834
KI,Ozone per 10 ppb,o3_prior_1y_10ppb,optn_region,0.6516583266047995,0.0012240360658801643,127834
KI,Ozone per 10 ppb,o3_prior_1y_10ppb,pollutant_only,0.4934267204978827,0.0035184252455857695,127834
KI,PM2.5 per 5 ug/m3,pm25_prior_1y_5ug,clinical_score,0.6490796421518462,6.718222405535625e-4,127834
KI,PM2.5 per 5 ug/m3,pm25_prior_1y_5ug,community,0.6535046383915512,9.936010967226093e-4,127834
KI,PM2.5 per 5 ug/m3,pm25_prior_1y_5ug,demographics_year,0.6500230794946724,9.623144079328675e-4,127834
KI,PM2.5 per 5 ug/m3,pm25_prior_1y_5ug,optn_region,0.6515954793354353,0.0012404372303055078,127834
KI,PM2.5 per 5 ug/m3,pm25_prior_1y_5ug,pollutant_only,0.49365542360705955,0.0015503713158064516,127834
LI,NO2 per 10-unit increase,no2_prior_1y_10unit,clinical_score,0.755676660922227,0.0022922260043396108,42684
LI,NO2 per 10-unit increase,no2_prior_1y_10unit,community,0.7566904050343756,0.002167478384416422,42684
LI,NO2 per 10-unit increase,no2_prior_1y_10unit,demographics_year,0.5461857022419627,0.004330685347502395,42684
LI,NO2 per 10-unit increase,no2_prior_1y_10unit,optn_region,0.7559653220569454,0.0021538731901882616,42684
LI,NO2 per 10-unit increase,no2_prior_1y_10unit,pollutant_only,0.5143668843413497,0.003281337147107338,42684
LI,Ozone per 10 ppb,o3_prior_1y_10ppb,clinical_score,0.7556799875373826,0.002301249265872625,42684
LI,Ozone per 10 ppb,o3_prior_1y_10ppb,community,0.7566626030667553,0.0021785836651760505,42684
LI,Ozone per 10 ppb,o3_prior_1y_10ppb,demographics_year,0.5459319193899762,0.004275428281218644,42684
LI,Ozone per 10 ppb,o3_prior_1y_10ppb,optn_region,0.7559482301728514,0.0021819979103210804,42684
LI,Ozone per 10 ppb,o3_prior_1y_10ppb,pollutant_only,0.5049047873200754,0.0029933836453822373,42684
LI,PM2.5 per 5 ug/m3,pm25_prior_1y_5ug,clinical_score,0.755668034279512,0.0023413253747489597,42684
LI,PM2.5 per 5 ug/m3,pm25_prior_1y_5ug,community,0.7566697026246556,0.002203942980687337,42684
LI,PM2.5 per 5 ug/m3,pm25_prior_1y_5ug,demographics_year,0.5462389667031964,0.004354892523485317,42684
LI,PM2.5 per 5 ug/m3,pm25_prior_1y_5ug,optn_region,0.7559465654614422,0.0021841733350083476,42684
LI,PM2.5 per 5 ug/m3,pm25_prior_1y_5ug,pollutant_only,0.5167101154812882,0.00472118649978696,42684
LU,NO2 per 10-unit increase,no2_prior_1y_10unit,clinical_score,0.6801415656982506,0.007580557653646974,5708
LU,NO2 per 10-unit increase,no2_prior_1y_10unit,community,0.6842662435364295,0.009598450362255897,5708
LU,NO2 per 10-unit increase,no2_prior_1y_10unit,demographics_year,0.5505991356031851,0.01380941488373293,5708
LU,NO2 per 10-unit increase,no2_prior_1y_10unit,optn_region,0.6837599054572328,0.010706067756745038,5708
LU,NO2 per 10-unit increase,no2_prior_1y_10unit,pollutant_only,0.5243212189341414,0.006147752509598088,5708
LU,Ozone per 10 ppb,o3_prior_1y_10ppb,clinical_score,0.6799601118342683,0.007610450599277748,5708
LU,Ozone per 10 ppb,o3_prior_1y_10ppb,community,0.6842196931905717,0.010006057823501207,5708
LU,Ozone per 10 ppb,o3_prior_1y_10ppb,demographics_year,0.5477121627012596,0.013004939309358378,5708
LU,Ozone per 10 ppb,o3_prior_1y_10ppb,optn_region,0.6835801278886916,0.011166734110451063,5708
LU,Ozone per 10 ppb,o3_prior_1y_10ppb,pollutant_only,0.49642233437822286,0.009026439878912577,5708
LU,PM2.5 per 5 ug/m3,pm25_prior_1y_5ug,clinical_score,0.6800170944236212,0.007765776586506183,5708
LU,PM2.5 per 5 ug/m3,pm25_prior_1y_5ug,community,0.684184087574514,0.009868163523724065,5708
LU,PM2.5 per 5 ug/m3,pm25_prior_1y_5ug,demographics_year,0.5487645709145464,0.01599051525514736,5708
LU,PM2.5 per 5 ug/m3,pm25_prior_1y_5ug,optn_region,0.6836650790287635,0.011077911589780722,5708
LU,PM2.5 per 5 ug/m3,pm25_prior_1y_5ug,pollutant_only,0.5236033032537158,0.014033723028366672,5708
