organ,organ_score_name,pollutant,pollutant_term,stage,n,adverse_events,hazard_ratio,conf_low,conf_high,p_value,concordance,aic,mean_cv_concordance,sd_cv_concordance,total_test_adverse
HR,US-CRS proxy,NO2 per 10-unit increase,no2_prior_1y_10unit,pollutant_only,73497,10029,1.072299999467178,1.0367023279327958,1.1091200027978017,5.067067955971459e-5,0.5107681136087199,202538.38126177544,0.5108070447573265,0.005327649559896776,10029
HR,US-CRS proxy,NO2 per 10-unit increase,no2_prior_1y_10unit,demographics_year,73497,10029,0.966252372384066,0.9317505555999093,1.0020317578847138,0.06423371888597579,0.5582211708601459,202287.40291386325,0.5565382304372012,0.011102739597418915,10029
HR,US-CRS proxy,NO2 per 10-unit increase,no2_prior_1y_10unit,clinical_score,73497,10029,0.96428989873711,0.9291972671638181,1.0007078600700314,0.05453631325209883,0.6435718851147474,200651.1211219558,0.6428936816272135,0.01405115021354925,10029
HR,US-CRS proxy,NO2 per 10-unit increase,no2_prior_1y_10unit,optn_region,73497,10029,1.0135873684183137,0.9731856867411536,1.055666320841007,0.5155035376823898,0.646156780839558,200590.2276897189,0.6446291951075238,0.012497217839954269,10029
HR,US-CRS proxy,NO2 per 10-unit increase,no2_prior_1y_10unit,community,73497,10029,1.0161050310387845,0.9628604482983115,1.0722939507246763,0.5607104392368838,0.6466835173529143,200576.91310052108,0.644831588379846,0.012528198380038559,10029
HR,US-CRS proxy,NO2 per 10-unit increase,no2_prior_1y_10unit,center_frailty_sensitivity,73497,10029,1.025935754428656,0.970529695742901,1.084504860419975,0.3660289404938284,0.6595799292691581,200465.53782002753,NA,NA,NA
HR,US-CRS proxy,Ozone per 10 ppb,o3_prior_1y_10ppb,pollutant_only,73497,10029,1.1295774360740163,1.0763233071670273,1.1854664630889975,7.613116128295442e-7,0.5255630263878642,202531.57661133737,0.5255940324735232,0.008412316807715293,10029
HR,US-CRS proxy,Ozone per 10 ppb,o3_prior_1y_10ppb,demographics_year,73497,10029,1.0772365935772652,1.0260236393847408,1.1310057916772869,0.002755884577138499,0.5587867201202433,202282.24666642264,0.5569026256918421,0.010779621270814716,10029
HR,US-CRS proxy,Ozone per 10 ppb,o3_prior_1y_10ppb,clinical_score,73497,10029,1.0791457609707713,1.027191377961299,1.133727948274369,0.0024810145545311932,0.6438472971496754,200645.96494730044,0.6430619919158419,0.013820185599745015,10029
HR,US-CRS proxy,Ozone per 10 ppb,o3_prior_1y_10ppb,optn_region,73497,10029,1.0270044085993124,0.9641101904950227,1.0940015629757713,0.40857238314522293,0.6461640866312741,200589.97041165314,0.6446155455125564,0.012702340225418033,10029
HR,US-CRS proxy,Ozone per 10 ppb,o3_prior_1y_10ppb,community,73497,10029,1.0343236898072397,0.9680739103561844,1.1051072483740845,0.31767760965179187,0.6467124929151954,200576.2432008904,0.6447989428271612,0.01259032789535804,10029
HR,US-CRS proxy,Ozone per 10 ppb,o3_prior_1y_10ppb,center_frailty_sensitivity,73497,10029,1.0193202744088365,0.9464123401851136,1.0978447529727686,0.6132905200714928,0.6618784834014174,200206.51817034328,NA,NA,NA
HR,US-CRS proxy,PM2.5 per 5 ug/m3,pm25_prior_1y_5ug,pollutant_only,73497,10029,1.3056758155885602,1.250504000981476,1.3632817920413074,9.550245186880936e-34,0.5402152111459885,202411.5626194884,0.5402501677661167,0.007141952233776034,10029
HR,US-CRS proxy,PM2.5 per 5 ug/m3,pm25_prior_1y_5ug,demographics_year,73497,10029,1.0912332885814078,1.034306874062575,1.151292831914556,0.0014034687766753026,0.559030899021686,202280.81191432706,0.5573725920425963,0.010459496857200335,10029
HR,US-CRS proxy,PM2.5 per 5 ug/m3,pm25_prior_1y_5ug,clinical_score,73497,10029,1.0888696073161128,1.0309856515506128,1.1500034165883255,0.0022516044127870367,0.6441140401111793,200645.5450397247,0.6434743829731377,0.013785987924115436,10029
HR,US-CRS proxy,PM2.5 per 5 ug/m3,pm25_prior_1y_5ug,optn_region,73497,10029,1.070958154950658,1.0084155678735944,1.1373796738123032,0.025553660559625522,0.6467012371021207,200585.46263206992,0.6452699907463101,0.01257533591560873,10029
HR,US-CRS proxy,PM2.5 per 5 ug/m3,pm25_prior_1y_5ug,community,73497,10029,1.0698489449681312,1.0047234082959695,1.1391958777895383,0.03511579683072429,0.6471817880781323,200572.63588675906,0.6453573319575434,0.012626043131485456,10029
HR,US-CRS proxy,PM2.5 per 5 ug/m3,pm25_prior_1y_5ug,center_frailty_sensitivity,73497,10029,1.018594755549565,0.9505978942020786,1.091455474876655,0.6012032686574458,0.6619506412030929,200206.69242626333,NA,NA,NA
KI,Dialysis + age,NO2 per 10-unit increase,no2_prior_1y_10unit,pollutant_only,677201,127834,0.9038776966361985,0.8962948624393517,0.9115246831303154,3.1020132123014226e-122,0.5165464762235276,3130483.406860858,0.5165414617759013,0.0017370850116601795,127834
