section,table,variable,old_2506,new_2603,variable_status
pubsaf,cand_kipa,CAN_FRAC_PASTYR,TRUE,TRUE,present_in_both
pubsaf,cand_kipa,CAN_FRAC_SPINE,TRUE,TRUE,present_in_both
pubsaf,cand_kipa,CAN_FRAC_SPINE_NUM,TRUE,TRUE,present_in_both
pubsaf,cand_kipa,CAN_FUNCTN_STAT,TRUE,TRUE,present_in_both
pubsaf,cand_kipa,CAN_GENDER,TRUE,TRUE,present_in_both
pubsaf,cand_kipa,CAN_GFR,TRUE,TRUE,present_in_both
pubsaf,cand_kipa,CAN_GFR_DT,TRUE,TRUE,present_in_both
pubsaf,cand_kipa,CAN_GROWTH_HORMONE,TRUE,TRUE,present_in_both
pubsaf,cand_kipa,CAN_HGT_CM,TRUE,TRUE,present_in_both
pubsaf,cand_kipa,CAN_HGT_WGT_DT,TRUE,TRUE,present_in_both
pubsaf,cand_kipa,CAN_IABP,TRUE,TRUE,present_in_both
pubsaf,cand_kipa,CAN_INIT_ACT_STAT_CD,TRUE,TRUE,present_in_both
pubsaf,cand_kipa,CAN_INIT_ACT_STAT_DT,TRUE,TRUE,present_in_both
pubsaf,cand_kipa,CAN_INIT_ALLOC_PRA,TRUE,TRUE,present_in_both
pubsaf,cand_kipa,CAN_INIT_CUR_PRA,TRUE,TRUE,present_in_both
pubsaf,cand_kipa,CAN_INIT_INACT_STAT_DT,TRUE,TRUE,present_in_both
pubsaf,cand_kipa,CAN_INIT_ISOLATED_ORG_KI,TRUE,TRUE,present_in_both
pubsaf,cand_kipa,CAN_INIT_ISOLATED_ORG_PA,TRUE,TRUE,present_in_both
pubsaf,cand_kipa,CAN_INIT_SRTR_PEAK_PRA,TRUE,TRUE,present_in_both
pubsaf,cand_kipa,CAN_INIT_STAT,TRUE,TRUE,present_in_both
pubsaf,cand_kipa,CAN_IV_INOTROP,TRUE,TRUE,present_in_both
pubsaf,cand_kipa,CAN_LAST_ACT_STAT_DT,TRUE,TRUE,present_in_both
pubsaf,cand_kipa,CAN_LAST_INACT_STAT_DT,TRUE,TRUE,present_in_both
pubsaf,cand_kipa,CAN_LAST_STAT,TRUE,TRUE,present_in_both
pubsaf,cand_kipa,CAN_LATEST_SRTR_PEAK_PRA,TRUE,TRUE,present_in_both
pubsaf,cand_kipa,CAN_LIFE_SUPPORT,TRUE,TRUE,present_in_both
pubsaf,cand_kipa,CAN_LIFE_SUPPORT_OTHER,TRUE,TRUE,present_in_both
pubsaf,cand_kipa,CAN_LISTING_CTR_CD,TRUE,TRUE,present_in_both
pubsaf,cand_kipa,CAN_LISTING_CTR_TY,TRUE,TRUE,present_in_both
pubsaf,cand_kipa,CAN_LISTING_DT,TRUE,TRUE,present_in_both
pubsaf,cand_kipa,CAN_MALIG,TRUE,TRUE,present_in_both
pubsaf,cand_kipa,CAN_MALIG_TY,TRUE,TRUE,present_in_both
pubsaf,cand_kipa,CAN_MALIG_TY_BREAST,TRUE,TRUE,present_in_both
pubsaf,cand_kipa,CAN_MALIG_TY_CNS_TUMOR,TRUE,TRUE,present_in_both
pubsaf,cand_kipa,CAN_MALIG_TY_GENITOURINARY,TRUE,TRUE,present_in_both
pubsaf,cand_kipa,CAN_MALIG_TY_HEPBLAST,TRUE,TRUE,present_in_both
pubsaf,cand_kipa,CAN_MALIG_TY_HEPCARCINOMA,TRUE,TRUE,present_in_both
pubsaf,cand_kipa,CAN_MALIG_TY_LEUK_LYMPH,TRUE,TRUE,present_in_both
pubsaf,cand_kipa,CAN_MALIG_TY_LIVER,TRUE,TRUE,present_in_both
pubsaf,cand_kipa,CAN_MALIG_TY_LU,TRUE,TRUE,present_in_both
pubsaf,cand_kipa,CAN_MALIG_TY_OTHER,TRUE,TRUE,present_in_both
pubsaf,cand_kipa,CAN_MALIG_TY_SKIN_MEL,TRUE,TRUE,present_in_both
pubsaf,cand_kipa,CAN_MALIG_TY_SKIN_NON_MEL,TRUE,TRUE,present_in_both
pubsaf,cand_kipa,CAN_MALIG_TY_THROAT,TRUE,TRUE,present_in_both
pubsaf,cand_kipa,CAN_MALIG_TY_THYROID,TRUE,TRUE,present_in_both
pubsaf,cand_kipa,CAN_MALIG_TY_UNK,TRUE,TRUE,present_in_both
