year,pollutant,tract_geoid,value,days,missing_values,nearest_fill_days
2015,o3,17031822400,35.3218270103545,365,0,0
2015,o3,17031740100,34.6798635304689,365,0,0
2015,o3,17031530501,35.253699155458,365,0,365
2015,o3,17031830300,35.9757996228392,365,0,0
2015,o3,17031750300,35.1747950446932,365,0,365
2015,o3,17031826303,36.6953430125566,365,0,0
2015,o3,17031826500,34.0479457128334,365,0,0
2015,o3,17031827801,34.9024662735119,365,0,0
2015,o3,17031825900,35.558904639458,365,0,0
2015,o3,17031822601,36.5010964343197,365,0,0
2015,o3,17031819900,36.2575347868547,365,0,0
2015,o3,17031500200,34.7758909291601,365,0,0
2015,o3,17031491400,34.7375347642049,365,0,0
2015,o3,17031817900,34.5249868158323,365,0,0
2015,o3,17031815800,36.2776717734561,365,0,0
2015,o3,17031720300,34.7342470929231,365,0,0
2015,o3,17031691400,34.3430142103809,365,0,365
2015,o3,17031812801,34.572603254898,365,0,0
2015,o3,17031811000,35.8169868350846,365,0,0
2015,o3,17031670100,35.1194525781151,365,0,365
2015,o3,17031640800,33.7641100921655,365,0,365
2015,o3,17031690400,35.0249320287615,365,0,0
2015,o3,17031671200,34.9846580555586,365,0,365
2015,o3,17031580200,34.6263018858351,365,0,0
2015,o3,17031560400,33.5115073486754,365,0,365
2015,o3,17031630300,33.7761648868657,365,0,0
2015,o3,17031610400,33.9512333826251,365,0,365
2015,o3,17031440700,34.8901375062049,365,0,365
2015,o3,17031491200,35.1580827156771,365,0,0
2015,o3,17031460200,34.6394525709626,365,0,0
2015,o3,17031350400,34.6008224334007,365,0,365
2015,o3,17031841200,30.7630141570348,365,0,365
2015,o3,17031310400,34.0049320135623,365,0,365
2015,o3,17031840800,34.6526032560901,365,0,365
2015,o3,17031420300,34.9446580549626,365,0,365
2015,o3,17031400500,35.3317813484024,365,0,365
2015,o3,17031381500,34.7536991480075,365,0,0
2015,o3,17031260900,34.4964388702014,365,0,365
2015,o3,17031300800,32.8586306266181,365,0,0
2015,o3,17031291200,34.8449320260793,365,0,365
2015,o3,17031807900,36.2195439187087,365,0,0
2015,o3,17031811600,34.6003658123893,365,0,0
2015,o3,17031810000,38.2780827621687,365,0,0
2015,o3,17031806201,34.6030142142552,365,0,365
2015,o3,17031805801,35.6354799830648,365,0,0
2015,o3,17031805111,34.876164903257,365,0,0
2015,o3,17031803400,36.151123826365,365,0,0
2015,o3,17031770901,35.2689046351367,365,0,0
2015,o3,17031360200,35.4238361442946,365,0,0
