year,pollutant,tract_geoid,value,days,missing_values,nearest_fill_days
2008,pm25,17031240800,11.7377049180328,366,0,366
2008,pm25,17031062300,11.4016393442623,366,0,366
2008,pm25,17031061500,11.4016393442623,366,0,366
2008,pm25,17031832100,23.6284153005464,366,0,366
2008,pm25,17031050900,11.8579234972678,366,0,0
2008,pm25,17031050600,11.827868852459,366,0,366
2008,pm25,17031040202,12.327868852459,366,0,366
2008,pm25,17031031900,12.3060109289617,366,0,366
2008,pm25,17031031502,12.7732240437158,366,0,366
2008,pm25,17031030300,12.7377049180328,366,0,366
2008,pm25,17031020901,12.6393442622951,366,0,0
2008,pm25,17031020302,11.9808743169399,366,0,0
2008,pm25,17031200402,12.0273224043716,366,0,366
2008,pm25,17031190900,11.9234972677596,366,0,0
2008,pm25,17031190402,12.1256830601093,366,0,0
2008,pm25,17031190100,12.1010928961749,366,0,0
2008,pm25,17031170600,12.8060109289617,366,0,366
2008,pm25,17031160601,11.8306010928962,366,0,366
2008,pm25,17031160100,12.4972677595628,366,0,0
2008,pm25,17031150800,12.5191256830601,366,0,366
2008,pm25,17031140400,12.7581967213115,366,0,0
2008,pm25,17031100300,12.625,366,0,0
2008,pm25,17031071100,11.6612021857924,366,0,366
2008,pm25,17031070300,11.6612021857924,366,0,366
2008,pm25,17031818100,13.0409836065574,366,0,0
2008,pm25,17031817102,13.6530054644809,366,0,0
2008,pm25,17031816402,12.8565573770492,366,0,0
2008,pm25,17031815900,12.4289617486339,366,0,0
2008,pm25,17031730100,11.896174863388,366,0,0
2008,pm25,17031720100,12.2622950819672,366,0,0
2008,pm25,17031710400,12.3688524590164,366,0,0
2008,pm25,17031812600,12.1475409836066,366,0,0
2008,pm25,17031811100,13.4863387978142,366,0,0
2008,pm25,17031730300,12.207650273224,366,0,0
2008,pm25,17031660600,12.0710382513661,366,0,366
2008,pm25,17031650400,12.4453551912568,366,0,0
2008,pm25,17031490800,12.4289617486339,366,0,366
2008,pm25,17031480200,11.8415300546448,366,0,366
2008,pm25,17031301701,12,366,0,366
2008,pm25,17031301600,12,366,0,366
2008,pm25,17031430400,11.7786885245902,366,0,366
2008,pm25,17031411100,11.7049180327869,366,0,366
2008,pm25,17031410200,12.4672131147541,366,0,366
2008,pm25,17031390400,11.9672131147541,366,0,0
2008,pm25,17031381800,12.5300546448087,366,0,0
2008,pm25,17031280900,12.5792349726776,366,0,366
2008,pm25,17031260700,12.4617486338798,366,0,366
2008,pm25,17031251800,12.8237704918033,366,0,0
2008,pm25,17031301200,12.4781420765027,366,0,366
2008,pm25,17031292500,12.3606557377049,366,0,0
2008,pm25,17031824113,13.0389965226031,366,0,0
2008,pm25,17031823500,12.8224043715847,366,0,0
2008,pm25,17031825505,12.728825136612,366,0,0
2008,pm25,17031820502,13.3763661202186,366,0,0
2008,pm25,17031823703,12.8255919854281,366,0,0
2008,pm25,17031823805,13.4098360655738,366,0,0
2008,pm25,17031829800,12.3579234972678,366,0,0
2008,pm25,17031828401,12.8401639344262,366,0,0
2008,pm25,17031829000,12.5368852459016,366,0,0
2008,pm25,17031828802,12.4631147540984,366,0,0
2008,pm25,17031691000,12.1939890710383,366,0,366
2008,pm25,17031681300,12.0846994535519,366,0,0
2008,pm25,17031672000,12.4098360655738,366,0,366
2008,pm25,17031590600,13.0901639344262,366,0,0
2008,pm25,17031580300,13.6284153005464,366,0,0
2008,pm25,17031570100,13.6639344262295,366,0,0
2008,pm25,17031560200,13.4207650273224,366,0,0
2008,pm25,17031630400,11.7595628415301,366,0,0
2008,pm25,17031620300,12.2404371584699,366,0,366
2008,pm25,17031843800,12.7581967213115,366,0,0
2008,pm25,17031839800,12.1366120218579,366,0,0
2008,pm25,17031440900,11.9234972677596,366,0,0
2008,pm25,17031431301,12.2841530054645,366,0,0
2008,pm25,17031843000,12.4726775956284,366,0,366
2008,pm25,17031809200,12.9207650273224,366,0,0
2008,pm25,17031808200,12.7012750455373,366,0,0
2008,pm25,17031807500,12.5300546448087,366,0,0
2008,pm25,17031806802,12.3306010928962,366,0,0
2008,pm25,17031806400,13.2650273224044,366,0,0
2008,pm25,17031811402,13.1666666666667,366,0,0
2008,pm25,17031810200,11.827868852459,366,0,0
2008,pm25,17031805106,13.4125683060109,366,0,0
2008,pm25,17031805302,12.448087431694,366,0,0
2008,pm25,17031805110,13.3387978142076,366,0,0
2008,pm25,17031827000,12.4699453551913,366,0,0
2008,pm25,17031826304,11.7622950819672,366,0,0
2008,pm25,17031827500,11.8628415300546,366,0,0
2008,pm25,17031821700,12.6092896174863,366,0,0
2008,pm25,17031823602,12.5293715846995,366,0,0
2008,pm25,17031820300,13.4549180327869,366,0,0
2008,pm25,17031819200,12.6338797814208,366,0,0
2008,pm25,17031530200,11.6010928961749,366,0,0
2008,pm25,17031720400,12.1639344262295,366,0,366
2008,pm25,17031491300,11.5901639344262,366,0,366
2008,pm25,17031814500,13.0669398907104,366,0,0
2008,pm25,17031010100,12.792349726776,366,0,0
2008,pm25,17031010501,12.6475409836066,366,0,366
2008,pm25,17031081401,13.2377049180328,366,0,366
2008,pm25,17031252201,12.7021857923497,366,0,366
2008,pm25,17031980100,14.0887978142077,366,0,0
2008,pm25,17031430101,13.3825136612022,366,0,366
2008,pm25,17031530502,12.1092896174863,366,0,0
2008,pm25,17031063301,12.6174863387978,366,0,366
2008,pm25,17031080201,12.9617486338798,366,0,366
2008,pm25,17031803014,13.3606557377049,366,0,0
2008,pm25,17031803012,13.3114754098361,366,0,0
