year,pollutant,tract_geoid,value,days,missing_values,nearest_fill_days
2013,o3,17031822400,31.3491328872298,365,0,0
2013,o3,17031740100,30.7506853897278,365,0,0
2013,o3,17031530501,31.8739730776989,365,0,365
2013,o3,17031830300,33.0420096247844,365,0,0
2013,o3,17031750300,31.436164851997,365,0,365
2013,o3,17031826303,32.810959393031,365,0,0
2013,o3,17031826500,30.9242470361497,365,0,0
2013,o3,17031827801,31.4860278664387,365,0,0
2013,o3,17031825900,31.1657538890635,365,0,0
2013,o3,17031822601,32.6824662404314,365,0,0
2013,o3,17031819900,33.4731511837203,365,0,0
2013,o3,17031500200,31.6830141707438,365,0,0
2013,o3,17031491400,32.114247053882,365,0,0
2013,o3,17031817900,30.8025210069385,365,0,0
2013,o3,17031815800,32.9380826825965,365,0,0
2013,o3,17031720300,32.2312333569951,365,0,0
2013,o3,17031691400,29.6473977020546,365,0,365
2013,o3,17031812801,31.5501374564351,365,0,0
2013,o3,17031811000,32.044247052839,365,0,0
2013,o3,17031670100,31.9356169142339,365,0,365
2013,o3,17031640800,30.5942470312323,365,0,365
2013,o3,17031690400,31.6063018408336,365,0,0
2013,o3,17031671200,31.3334251244387,365,0,365
2013,o3,17031580200,31.1704114233794,365,0,0
2013,o3,17031560400,30.4673977142736,365,0,365
2013,o3,17031630300,30.2484936014226,365,0,0
2013,o3,17031610400,29.9794525015232,365,0,365
2013,o3,17031440700,31.6068497860473,365,0,365
2013,o3,17031491200,31.7142470479216,365,0,0
2013,o3,17031460200,29.9917812688302,365,0,0
2013,o3,17031350400,31.468493619602,365,0,365
2013,o3,17031841200,27.9164387721517,365,0,365
2013,o3,17031310400,30.3630141510743,365,0,365
2013,o3,17031840800,30.9838360781335,365,0,365
2013,o3,17031420300,30.3287675752215,365,0,365
2013,o3,17031400500,31.9180826673973,365,0,365
2013,o3,17031381500,31.5356169082735,365,0,0
2013,o3,17031260900,31.6841100611711,365,0,365
2013,o3,17031300800,28.7457538530026,365,0,0
2013,o3,17031291200,31.3978086870419,365,0,365
2013,o3,17031807900,32.9945210396019,365,0,0
2013,o3,17031811600,31.2721465847128,365,0,0
2013,o3,17031810000,35.8575347808943,365,0,0
2013,o3,17031806201,31.0232881335159,365,0,365
2013,o3,17031805801,33.2743840574708,365,0,0
2013,o3,17031805111,31.2204114241245,365,0,0
2013,o3,17031803400,32.9980278889692,365,0,0
2013,o3,17031770901,31.5126032093004,365,0,0
2013,o3,17031360200,31.7482196511675,365,0,0
2013,o3,17031801300,35.5818270142288,365,0,0
2013,o3,17031230800,30.8857538848911,365,0,365
2013,o3,17031222900,30.2260278476632,365,0,365
2013,o3,17031222800,30.8857538848911,365,0,365
2013,o3,17031221600,31.4243840299037,365,0,365
2013,o3,17031210800,30.2750689442844,365,0,365
2013,o3,17031242400,29.1386305711857,365,0,365
2013,o3,17031241100,31.1013703264602,365,0,0
2013,o3,17031061200,29.8084935948661,365,0,0
2013,o3,17031050300,31.9364388320544,365,0,0
2013,o3,17031040300,29.5691785228069,365,0,0
2013,o3,17031030400,31.9547949967115,365,0,0
2013,o3,17031020400,31.0742470383848,365,0,0
2013,o3,17031191000,31.2706853974764,365,0,365
2013,o3,17031161000,30.4441100426937,365,0,0
2013,o3,17031160800,30.1843840114262,365,0,0
2013,o3,17031150600,29.546575782744,365,0,0
2013,o3,17031130300,32.3613703452357,365,0,0
2013,o3,17031110200,32.0638360942268,365,0,0
2013,o3,17031081500,28.0797264458178,365,0,365
2013,o3,17031080400,30.5665757979432,365,0,0
2013,o3,17031070700,31.0924662167385,365,0,0
2013,o3,17031030702,31.9030141740221,365,0,365
2013,o3,17031063400,28.860822347868,365,0,365
2013,o3,17031071800,30.2331511354406,365,0,365
2013,o3,17031220701,30.1284935996345,365,0,365
2013,o3,17031838200,29.8260278417027,365,0,0
