model_type,organ,organ_label,outcome,outcome_label,outcome_family,pollutant,exposure,intervals,candidate_organ_episodes,people,centers,estimate,conf_low,conf_high,p_value,measure,adjustment_set
time_varying,HR,Heart,organ_score_tv,US-CRS proxy,gaussian,pm25,Monthly PM2.5 per 5 ug/m3,775904,61449,61449,162,-0.1453039186278943,-0.15140644991802796,-0.13920138733776063,0,mean_difference,age + sex + race + zcta_svi_proxy + listing_center fixed effects
time_varying,KI,Kidney,kidney_dialysis_years_tv,"Dialysis duration, years",gaussian,pm25,Monthly PM2.5 per 5 ug/m3,17405373,486543,486543,277,-0.22473784416545792,-0.2275381226925554,-0.22193756563836042,0,mean_difference,age + sex + race + zcta_svi_proxy + listing_center fixed effects
time_varying,LI,Liver,organ_score_tv,MELD/PELD,gaussian,pm25,Monthly PM2.5 per 5 ug/m3,2815706,179632,179632,157,-0.03835307009256373,-0.051116141178809416,-0.025589999006318045,3.869394332649042e-9,mean_difference,age + sex + race + zcta_svi_proxy + listing_center fixed effects
time_varying,LU,Lung,organ_score_tv,Lung urgency proxy,gaussian,pm25,Monthly PM2.5 per 5 ug/m3,371147,38786,38786,82,-0.29478709780409734,-0.30121280867348743,-0.28836138693470725,0,mean_difference,age + sex + race + zcta_svi_proxy + listing_center fixed effects
time_varying,HR,Heart,organ_score_tv,US-CRS proxy,gaussian,o3,Monthly O3 per 10 ppb,923609,76760,76760,167,-0.013092288074032763,-0.016368053024064112,-0.009816523124001412,4.752701818058939e-15,mean_difference,age + sex + race + zcta_svi_proxy + listing_center fixed effects
time_varying,KI,Kidney,kidney_dialysis_years_tv,"Dialysis duration, years",gaussian,o3,Monthly O3 per 10 ppb,20633921,592129,592129,280,-0.007911286976919382,-0.009524243641428766,-0.006298330312409998,7.026684238454204e-22,mean_difference,age + sex + race + zcta_svi_proxy + listing_center fixed effects
time_varying,LI,Liver,organ_score_tv,MELD/PELD,gaussian,o3,Monthly O3 per 10 ppb,3245102,218837,218837,160,-0.005955824971716959,-0.013471657071965418,0.0015600071285314992,0.12038764961189564,mean_difference,age + sex + race + zcta_svi_proxy + listing_center fixed effects
time_varying,LU,Lung,organ_score_tv,Lung urgency proxy,gaussian,o3,Monthly O3 per 10 ppb,424842,48311,48311,85,-0.003378056591661343,-0.007000447344470291,2.4433416114760407e-4,0.06758515250651986,mean_difference,age + sex + race + zcta_svi_proxy + listing_center fixed effects
time_varying,HR,Heart,organ_score_tv,US-CRS proxy,gaussian,no2,Monthly NO2 per 10 ppb,969185,82122,82122,168,-0.1423989163961383,-0.14878955394468563,-0.13600827884759098,0,mean_difference,age + sex + race + zcta_svi_proxy + listing_center fixed effects
time_varying,KI,Kidney,kidney_dialysis_years_tv,"Dialysis duration, years",gaussian,no2,Monthly NO2 per 10 ppb,21563296,628132,628132,281,-0.18036374284529166,-0.18351654494356281,-0.1772109407470205,0,mean_difference,age + sex + race + zcta_svi_proxy + listing_center fixed effects
time_varying,LI,Liver,organ_score_tv,MELD/PELD,gaussian,no2,Monthly NO2 per 10 ppb,3357717,232844,232844,163,-0.04803447198976839,-0.0621115971171381,-0.03395734686239867,2.264898791241611e-11,mean_difference,age + sex + race + zcta_svi_proxy + listing_center fixed effects
time_varying,LU,Lung,organ_score_tv,Lung urgency proxy,gaussian,no2,Monthly NO2 per 10 ppb,439313,51932,51932,85,-0.5468984873208188,-0.5536314502965566,-0.540165524345081,0,mean_difference,age + sex + race + zcta_svi_proxy + listing_center fixed effects
