pollutant,WL_ORG,intervals,candidate_organ_episodes,people,complete_exposure_intervals,min_year,max_year
pm25,HR,790066,62677,62677,776701,2005,2021
pm25,KI,17882360,499256,499256,17422261,2005,2021
pm25,LI,2879670,184076,184076,2819055,2005,2021
pm25,LU,376697,39379,39379,371597,2005,2021
o3,HR,939683,78195,78195,924475,2005,2024
o3,KI,21178754,606544,606544,20652874,2005,2024
o3,LI,3316017,223834,223834,3248619,2005,2024
o3,LU,430726,48971,48971,425323,2005,2024
no2,HR,985814,83624,83624,970078,2005,2025
no2,KI,22126836,643225,643225,21582738,2005,2025
no2,LI,3430496,238078,238078,3361286,2005,2025
no2,LU,445278,52613,52613,439799,2005,2025
