year,pollutant,p25,median,p75
2005,NO2,4.417687568636167,6.773576002298585,11.379387980551101
2005,Ozone,39.00498388117929,40.814111022100676,42.60471213892508
2005,PM2.5,8.636165609963243,11.385181704329119,13.316902444097739
2006,NO2,4.241557832581613,6.449508492634585,10.610424668001425
2006,Ozone,37.48359536419966,40.08584563870009,43.63783520655418
2006,PM2.5,7.671365798764471,9.886898532633362,11.746062439794727
2007,NO2,3.963332464492658,5.974985610160295,9.752648165822032
2007,Ozone,38.74712246062508,40.76134814257344,43.207272971408415
2007,PM2.5,8.362399589038949,10.679652250210086,12.371832463030373
2008,NO2,3.6968982950387876,5.46912898430749,8.803135911107583
2008,Ozone,37.52485695053113,39.232154698689,41.28835796151348
2008,PM2.5,8.105813113116191,9.555658744719395,10.939958193945508
2009,NO2,3.529796533654375,5.17218913311886,8.244143632806725
2009,Ozone,36.21268158112674,37.59303389213703,38.85807644502513
2009,PM2.5,6.903180504330023,8.436786815317141,9.373820662562398
2010,NO2,3.5324608858168727,5.0964586790437,7.891317984432847
2010,Ozone,38.745692626260535,40.87301404767567,42.411640313104236
2010,PM2.5,6.868488668898738,8.913898959368828,9.933874336358468
2011,NO2,3.5911448726439725,5.148002638896195,7.81744976653294
2011,Ozone,38.06636435223244,40.129683339330626,42.183678616210265
2011,PM2.5,7.017084170888745,8.782620340280548,9.77515849126013
2012,NO2,3.60031634907262,5.1688295953414,7.871241426214257
2012,Ozone,38.432511960466705,40.287045742167884,42.25627362430916
2012,PM2.5,7.078942040104836,8.246507951166944,9.045018048900541
2013,NO2,3.50814928920329,5.0201143511233255,7.637857479269465
2013,Ozone,37.22038753383842,38.367660818099985,39.503142640936325
2013,PM2.5,6.563089840536318,7.495796141537227,8.267122035215278
2014,NO2,3.43535222075878,4.871272612002585,7.32057560896262
2014,Ozone,36.95884563462896,38.03872516264862,39.12702472372952
2014,PM2.5,6.312816455258685,7.433876883776377,8.340516313737355
2015,NO2,3.4020873345337925,4.78544975392094,7.129910131427071
2015,Ozone,36.91433127663561,38.00247444372068,39.18595418157426
2015,PM2.5,6.216489816621443,7.045397226757318,7.856201947521383
2016,NO2,3.4041233911998274,4.787033968767981,7.078685923985078
2016,Ozone,37.26264645159246,38.653602511275054,39.75479001771123
2016,PM2.5,5.368856210484465,6.500673029224943,7.226681645970117
2017,NO2,3.329493644819505,4.688968221329105,6.9000876072435355
2017,Ozone,37.21816052073747,38.24821909946974,39.341498402718244
2017,PM2.5,6.259315011063233,6.822791043485118,7.476817569386574
2018,NO2,3.2546655739131154,4.5866370092738755,6.699280240505552
2018,Ozone,36.49675891934835,37.3190012195945,38.190586353691536
2018,PM2.5,6.246347947109243,6.848353440971936,7.519320391497954
2019,NO2,3.2153420608765377,4.5108607316034,6.5568667696194485
2019,Ozone,36.99773807223762,38.1134293109948,39.40458913135271
2019,PM2.5,5.394406216817062,6.372392771875157,7.019316645212545
2020,NO2,3.0335011767616025,4.229045240591599,6.166096170982015
2020,Ozone,35.359496879282304,36.1847157721858,37.14273949763254
2020,PM2.5,5.6107338627736265,6.184285913635814,6.914281785668128
2021,NO2,1.84832938437428,2.481979625661835,4.054577093396593
2021,Ozone,36.69768387481796,37.763692387331965,38.83104792237282
2021,PM2.5,6.536438147428346,7.04531313136538,7.764887008737048
2022,NO2,1.8220440335476025,2.47451353585681,4.090284440280307
2022,Ozone,37.322781795369735,38.19918708926102,39.44665336203413
2022,PM2.5,5.6415976796844785,6.360460714729512,7.097255230168284
2023,NO2,1.7810867977468825,2.376828806389385,3.90696314607508
2023,Ozone,38.74261575079521,40.11222364375412,41.56555498791888
2023,PM2.5,7.691780119215446,8.354412225067103,9.146194589497973
