quartile,n,min_value,median_value,max_value,pollutant,unit,quartile_label
1,274094,2.3380005158047887,6.49403422822555,7.191999382847783,PM2.5,ug/m3,Q1 (2.3-7.2 ug/m3)
2,274094,7.191999382847783,7.821301897366839,8.462419752214776,PM2.5,ug/m3,Q2 (7.2-8.5 ug/m3)
3,274093,8.462419752214776,9.164176966065181,10.031420548756918,PM2.5,ug/m3,Q3 (8.5-10 ug/m3)
4,274093,10.031420548756918,11.522853839781979,59.22594014879982,PM2.5,ug/m3,Q4 (10-59.2 ug/m3)
1,274094,22.862168815400857,34.53525082270305,36.311653399,Ozone,ppb,Q1 (22.9-36.3 ppb)
2,274094,36.311653399,37.352544090964585,38.18574184979194,Ozone,ppb,Q2 (36.3-38.2 ppb)
3,274093,38.18574184979194,39.1295750960139,40.62401747703552,Ozone,ppb,Q3 (38.2-40.6 ppb)
4,274093,40.62401747703552,43.41829427793265,58.61286728522359,Ozone,ppb,Q4 (40.6-58.6 ppb)
1,274094,0.188898659078404,3.58157792132849,4.95300652463692,NO2,units,Q1 (0.2-5 units)
2,274094,4.95300652463692,6.42969728543841,8.1429646500444,NO2,units,Q2 (5-8.1 units)
3,274093,8.1429646500444,10.2178439614061,12.8520483299538,NO2,units,Q3 (8.1-12.9 units)
4,274093,12.8520483299538,16.7800342119657,51.1509027481079,NO2,units,Q4 (12.9-51.2 units)
