time_days,years_since_listing,cumulative_incidence,quartile,event,pollutant,quartile_group,quartile_label,WL_ORG,organ
0,0,0,1,Waitlist death,PM2.5,Q1,Q1 (3.6-7.2 ug/m3),HL,Heart-lung
30.4375,0.08333333333333333,0.05305535292669157,1,Waitlist death,PM2.5,Q1,Q1 (3.6-7.2 ug/m3),HL,Heart-lung
60.875,0.16666666666666666,0.06911350432370017,1,Waitlist death,PM2.5,Q1,Q1 (3.6-7.2 ug/m3),HL,Heart-lung
91.3125,0.25,0.08156983997119882,1,Waitlist death,PM2.5,Q1,Q1 (3.6-7.2 ug/m3),HL,Heart-lung
121.75,0.3333333333333333,0.08574832757958176,1,Waitlist death,PM2.5,Q1,Q1 (3.6-7.2 ug/m3),HL,Heart-lung
152.1875,0.4166666666666667,0.10266537082703514,1,Waitlist death,PM2.5,Q1,Q1 (3.6-7.2 ug/m3),HL,Heart-lung
182.625,0.5,0.10266537082703514,1,Waitlist death,PM2.5,Q1,Q1 (3.6-7.2 ug/m3),HL,Heart-lung
213.0625,0.5833333333333334,0.11151572577609578,1,Waitlist death,PM2.5,Q1,Q1 (3.6-7.2 ug/m3),HL,Heart-lung
243.5,0.6666666666666666,0.12524447053465795,1,Waitlist death,PM2.5,Q1,Q1 (3.6-7.2 ug/m3),HL,Heart-lung
273.9375,0.75,0.13000801661346484,1,Waitlist death,PM2.5,Q1,Q1 (3.6-7.2 ug/m3),HL,Heart-lung
304.375,0.8333333333333334,0.13000801661346484,1,Waitlist death,PM2.5,Q1,Q1 (3.6-7.2 ug/m3),HL,Heart-lung
334.8125,0.9166666666666666,0.13000801661346484,1,Waitlist death,PM2.5,Q1,Q1 (3.6-7.2 ug/m3),HL,Heart-lung
365.25,1,0.13000801661346484,1,Waitlist death,PM2.5,Q1,Q1 (3.6-7.2 ug/m3),HL,Heart-lung
395.6875,1.0833333333333333,0.13517981358049352,1,Waitlist death,PM2.5,Q1,Q1 (3.6-7.2 ug/m3),HL,Heart-lung
426.125,1.1666666666666667,0.1406927426082792,1,Waitlist death,PM2.5,Q1,Q1 (3.6-7.2 ug/m3),HL,Heart-lung
456.5625,1.25,0.14627821017590414,1,Waitlist death,PM2.5,Q1,Q1 (3.6-7.2 ug/m3),HL,Heart-lung
487,1.3333333333333333,0.14627821017590414,1,Waitlist death,PM2.5,Q1,Q1 (3.6-7.2 ug/m3),HL,Heart-lung
517.4375,1.4166666666666667,0.1522898416650849,1,Waitlist death,PM2.5,Q1,Q1 (3.6-7.2 ug/m3),HL,Heart-lung
547.875,1.5,0.1522898416650849,1,Waitlist death,PM2.5,Q1,Q1 (3.6-7.2 ug/m3),HL,Heart-lung
578.3125,1.5833333333333333,0.16534959283123624,1,Waitlist death,PM2.5,Q1,Q1 (3.6-7.2 ug/m3),HL,Heart-lung
608.75,1.6666666666666667,0.16534959283123624,1,Waitlist death,PM2.5,Q1,Q1 (3.6-7.2 ug/m3),HL,Heart-lung
639.1875,1.75,0.16534959283123624,1,Waitlist death,PM2.5,Q1,Q1 (3.6-7.2 ug/m3),HL,Heart-lung
669.625,1.8333333333333333,0.16534959283123624,1,Waitlist death,PM2.5,Q1,Q1 (3.6-7.2 ug/m3),HL,Heart-lung
700.0625,1.9166666666666667,0.16534959283123624,1,Waitlist death,PM2.5,Q1,Q1 (3.6-7.2 ug/m3),HL,Heart-lung
730.5,2,0.16534959283123624,1,Waitlist death,PM2.5,Q1,Q1 (3.6-7.2 ug/m3),HL,Heart-lung
760.9375,2.0833333333333335,0.16534959283123624,1,Waitlist death,PM2.5,Q1,Q1 (3.6-7.2 ug/m3),HL,Heart-lung
791.375,2.1666666666666665,0.17236531425803414,1,Waitlist death,PM2.5,Q1,Q1 (3.6-7.2 ug/m3),HL,Heart-lung
821.8125,2.25,0.17236531425803414,1,Waitlist death,PM2.5,Q1,Q1 (3.6-7.2 ug/m3),HL,Heart-lung
852.25,2.3333333333333335,0.17236531425803414,1,Waitlist death,PM2.5,Q1,Q1 (3.6-7.2 ug/m3),HL,Heart-lung
882.6875,2.4166666666666665,0.17236531425803414,1,Waitlist death,PM2.5,Q1,Q1 (3.6-7.2 ug/m3),HL,Heart-lung
913.125,2.5,0.17236531425803414,1,Waitlist death,PM2.5,Q1,Q1 (3.6-7.2 ug/m3),HL,Heart-lung
943.5625,2.5833333333333335,0.17236531425803414,1,Waitlist death,PM2.5,Q1,Q1 (3.6-7.2 ug/m3),HL,Heart-lung
974,2.6666666666666665,0.17236531425803414,1,Waitlist death,PM2.5,Q1,Q1 (3.6-7.2 ug/m3),HL,Heart-lung
1004.4375,2.75,0.18048427964368918,1,Waitlist death,PM2.5,Q1,Q1 (3.6-7.2 ug/m3),HL,Heart-lung
1034.875,2.8333333333333335,0.18927551604853865,1,Waitlist death,PM2.5,Q1,Q1 (3.6-7.2 ug/m3),HL,Heart-lung
1065.3125,2.9166666666666665,0.18927551604853865,1,Waitlist death,PM2.5,Q1,Q1 (3.6-7.2 ug/m3),HL,Heart-lung
1095.75,3,0.18927551604853865,1,Waitlist death,PM2.5,Q1,Q1 (3.6-7.2 ug/m3),HL,Heart-lung
1126.1875,3.0833333333333335,0.18927551604853865,1,Waitlist death,PM2.5,Q1,Q1 (3.6-7.2 ug/m3),HL,Heart-lung
1156.625,3.1666666666666665,0.18927551604853865,1,Waitlist death,PM2.5,Q1,Q1 (3.6-7.2 ug/m3),HL,Heart-lung
1187.0625,3.25,0.18927551604853865,1,Waitlist death,PM2.5,Q1,Q1 (3.6-7.2 ug/m3),HL,Heart-lung
1217.5,3.3333333333333335,0.18927551604853865,1,Waitlist death,PM2.5,Q1,Q1 (3.6-7.2 ug/m3),HL,Heart-lung
1247.9375,3.4166666666666665,0.18927551604853865,1,Waitlist death,PM2.5,Q1,Q1 (3.6-7.2 ug/m3),HL,Heart-lung
1278.375,3.5,0.18927551604853865,1,Waitlist death,PM2.5,Q1,Q1 (3.6-7.2 ug/m3),HL,Heart-lung
1308.8125,3.5833333333333335,0.18927551604853865,1,Waitlist death,PM2.5,Q1,Q1 (3.6-7.2 ug/m3),HL,Heart-lung
1339.25,3.6666666666666665,0.18927551604853865,1,Waitlist death,PM2.5,Q1,Q1 (3.6-7.2 ug/m3),HL,Heart-lung
1369.6875,3.75,0.18927551604853865,1,Waitlist death,PM2.5,Q1,Q1 (3.6-7.2 ug/m3),HL,Heart-lung
1400.125,3.8333333333333335,0.18927551604853865,1,Waitlist death,PM2.5,Q1,Q1 (3.6-7.2 ug/m3),HL,Heart-lung
1430.5625,3.9166666666666665,0.18927551604853865,1,Waitlist death,PM2.5,Q1,Q1 (3.6-7.2 ug/m3),HL,Heart-lung
1461,4,0.18927551604853865,1,Waitlist death,PM2.5,Q1,Q1 (3.6-7.2 ug/m3),HL,Heart-lung
1491.4375,4.083333333333333,0.18927551604853865,1,Waitlist death,PM2.5,Q1,Q1 (3.6-7.2 ug/m3),HL,Heart-lung
1521.875,4.166666666666667,0.19890924594218615,1,Waitlist death,PM2.5,Q1,Q1 (3.6-7.2 ug/m3),HL,Heart-lung
1552.3125,4.25,0.19890924594218615,1,Waitlist death,PM2.5,Q1,Q1 (3.6-7.2 ug/m3),HL,Heart-lung
1582.75,4.333333333333333,0.19890924594218615,1,Waitlist death,PM2.5,Q1,Q1 (3.6-7.2 ug/m3),HL,Heart-lung
1613.1875,4.416666666666667,0.19890924594218615,1,Waitlist death,PM2.5,Q1,Q1 (3.6-7.2 ug/m3),HL,Heart-lung
1643.625,4.5,0.19890924594218615,1,Waitlist death,PM2.5,Q1,Q1 (3.6-7.2 ug/m3),HL,Heart-lung
1674.0625,4.583333333333333,0.19890924594218615,1,Waitlist death,PM2.5,Q1,Q1 (3.6-7.2 ug/m3),HL,Heart-lung
