time_days,years_since_listing,stratum,n_risk,cumulative_death,standard_error,quartile,pollutant,quartile_group,quartile_label
1247.9375,3.4166666666666665,exposure_quartile=1,72637,0.1052121372560133,8.400391656139375e-4,1,PM2.5,Q1,Q1 (2.3-7.2 ug/m3)
1278.375,3.5,exposure_quartile=1,70240,0.10815098399941803,8.588791051083148e-4,1,PM2.5,Q1,Q1 (2.3-7.2 ug/m3)
1308.8125,3.5833333333333335,exposure_quartile=1,68030,0.11129157104573406,8.790743681899058e-4,1,PM2.5,Q1,Q1 (2.3-7.2 ug/m3)
1339.25,3.6666666666666665,exposure_quartile=1,65641,0.1144504355570013,8.994829142087041e-4,1,PM2.5,Q1,Q1 (2.3-7.2 ug/m3)
1369.6875,3.75,exposure_quartile=1,63385,0.117724847818925,9.207591173111021e-4,1,PM2.5,Q1,Q1 (2.3-7.2 ug/m3)
1400.125,3.8333333333333335,exposure_quartile=1,61158,0.12096290262131393,9.419175514098412e-4,1,PM2.5,Q1,Q1 (2.3-7.2 ug/m3)
1430.5625,3.9166666666666665,exposure_quartile=1,59077,0.12381019529124604,9.606843965230225e-4,1,PM2.5,Q1,Q1 (2.3-7.2 ug/m3)
1461,4,exposure_quartile=1,56948,0.1269118957961921,9.812918147988894e-4,1,PM2.5,Q1,Q1 (2.3-7.2 ug/m3)
1491.4375,4.083333333333333,exposure_quartile=1,54881,0.12974467202007456,0.0010003236955552098,1,PM2.5,Q1,Q1 (2.3-7.2 ug/m3)
1521.875,4.166666666666667,exposure_quartile=1,52820,0.1332754530167517,0.001024326147707086,1,PM2.5,Q1,Q1 (2.3-7.2 ug/m3)
1552.3125,4.25,exposure_quartile=1,50707,0.1366166951588662,0.0010472735033955514,1,PM2.5,Q1,Q1 (2.3-7.2 ug/m3)
1582.75,4.333333333333333,exposure_quartile=1,48677,0.13992914776713605,0.0010703347793355436,1,PM2.5,Q1,Q1 (2.3-7.2 ug/m3)
1613.1875,4.416666666666667,exposure_quartile=1,46588,0.14297412559159017,0.0010918774336299752,1,PM2.5,Q1,Q1 (2.3-7.2 ug/m3)
1643.625,4.5,exposure_quartile=1,44670,0.14608383998260532,0.001114276876999558,1,PM2.5,Q1,Q1 (2.3-7.2 ug/m3)
1674.0625,4.583333333333333,exposure_quartile=1,42845,0.1495705922193994,0.0011398007187115805,1,PM2.5,Q1,Q1 (2.3-7.2 ug/m3)
1704.5,4.666666666666667,exposure_quartile=1,41092,0.15248666406678235,0.0011615118790816825,1,PM2.5,Q1,Q1 (2.3-7.2 ug/m3)
1734.9375,4.75,exposure_quartile=1,39415,0.15561528709844752,0.0011851703470582295,1,PM2.5,Q1,Q1 (2.3-7.2 ug/m3)
1765.375,4.833333333333333,exposure_quartile=1,37795,0.15884356695565116,0.001209986768997149,1,PM2.5,Q1,Q1 (2.3-7.2 ug/m3)
1795.8125,4.916666666666667,exposure_quartile=1,36294,0.1621989604800177,0.0012361996330757115,1,PM2.5,Q1,Q1 (2.3-7.2 ug/m3)
1826.25,5,exposure_quartile=1,34709,0.16565631730973363,0.001263564695451441,1,PM2.5,Q1,Q1 (2.3-7.2 ug/m3)
0,0,exposure_quartile=2,274094,0,0,2,PM2.5,Q2,Q2 (7.2-8.5 ug/m3)
30.4375,0.08333333333333333,exposure_quartile=2,240147,0.008392692641555954,1.8016355940319619e-4,2,PM2.5,Q2,Q2 (7.2-8.5 ug/m3)
60.875,0.16666666666666666,exposure_quartile=2,227558,0.012627855599273041,2.2363166124730345e-4,2,PM2.5,Q2,Q2 (7.2-8.5 ug/m3)
91.3125,0.25,exposure_quartile=2,217968,0.015857516852915587,2.5280261447800266e-4,2,PM2.5,Q2,Q2 (7.2-8.5 ug/m3)
121.75,0.3333333333333333,exposure_quartile=2,210273,0.018376448704288117,2.740647626802241e-4,2,PM2.5,Q2,Q2 (7.2-8.5 ug/m3)
152.1875,0.4166666666666667,exposure_quartile=2,203561,0.02095352704768827,2.947795244796589e-4,2,PM2.5,Q2,Q2 (7.2-8.5 ug/m3)
182.625,0.5,exposure_quartile=2,197631,0.023200654664655596,3.1213098572307053e-4,2,PM2.5,Q2,Q2 (7.2-8.5 ug/m3)
213.0625,0.5833333333333334,exposure_quartile=2,191545,0.025585095095499555,3.299498807968745e-4,2,PM2.5,Q2,Q2 (7.2-8.5 ug/m3)
243.5,0.6666666666666666,exposure_quartile=2,186201,0.02773961716791884,3.4564061262563775e-4,2,PM2.5,Q2,Q2 (7.2-8.5 ug/m3)
273.9375,0.75,exposure_quartile=2,181272,0.029700130219567522,3.59619268688088e-4,2,PM2.5,Q2,Q2 (7.2-8.5 ug/m3)
304.375,0.8333333333333334,exposure_quartile=2,176501,0.03178056275529173,3.741923615741144e-4,2,PM2.5,Q2,Q2 (7.2-8.5 ug/m3)
334.8125,0.9166666666666666,exposure_quartile=2,172355,0.03343964176992131,3.856565519398058e-4,2,PM2.5,Q2,Q2 (7.2-8.5 ug/m3)
365.25,1,exposure_quartile=2,168164,0.0355541291249335,4.0005260336626003e-4,2,PM2.5,Q2,Q2 (7.2-8.5 ug/m3)
395.6875,1.0833333333333333,exposure_quartile=2,164353,0.037425512602140665,4.1260561308049547e-4,2,PM2.5,Q2,Q2 (7.2-8.5 ug/m3)
426.125,1.1666666666666667,exposure_quartile=2,160560,0.03927828857518112,4.2489451427395734e-4,2,PM2.5,Q2,Q2 (7.2-8.5 ug/m3)
456.5625,1.25,exposure_quartile=2,156560,0.04108295209494883,4.367684230791037e-4,2,PM2.5,Q2,Q2 (7.2-8.5 ug/m3)
487,1.3333333333333333,exposure_quartile=2,152633,0.043084278792931974,4.498293147645581e-4,2,PM2.5,Q2,Q2 (7.2-8.5 ug/m3)
517.4375,1.4166666666666667,exposure_quartile=2,148913,0.044949968368445115,4.6192540562535646e-4,2,PM2.5,Q2,Q2 (7.2-8.5 ug/m3)
547.875,1.5,exposure_quartile=2,145312,0.04656478954411447,4.723446189686923e-4,2,PM2.5,Q2,Q2 (7.2-8.5 ug/m3)
578.3125,1.5833333333333333,exposure_quartile=2,141755,0.04830223734597161,4.835270967467576e-4,2,PM2.5,Q2,Q2 (7.2-8.5 ug/m3)
608.75,1.6666666666666667,exposure_quartile=2,138403,0.05028477310352786,4.962443047933247e-4,2,PM2.5,Q2,Q2 (7.2-8.5 ug/m3)
639.1875,1.75,exposure_quartile=2,134953,0.05209507223577503,5.077927461596052e-4,2,PM2.5,Q2,Q2 (7.2-8.5 ug/m3)
669.625,1.8333333333333333,exposure_quartile=2,131738,0.053820521702056756,5.187924665048246e-4,2,PM2.5,Q2,Q2 (7.2-8.5 ug/m3)
700.0625,1.9166666666666667,exposure_quartile=2,128557,0.055963025688378965,5.324040641350621e-4,2,PM2.5,Q2,Q2 (7.2-8.5 ug/m3)
730.5,2,exposure_quartile=2,125453,0.05792332654845511,5.447977085633727e-4,2,PM2.5,Q2,Q2 (7.2-8.5 ug/m3)
760.9375,2.0833333333333335,exposure_quartile=2,122377,0.06001729429067226,5.579773211055723e-4,2,PM2.5,Q2,Q2 (7.2-8.5 ug/m3)
791.375,2.1666666666666665,exposure_quartile=2,119282,0.06233295421016882,5.725010664910217e-4,2,PM2.5,Q2,Q2 (7.2-8.5 ug/m3)
821.8125,2.25,exposure_quartile=2,116326,0.0646061909145178,5.866820773066528e-4,2,PM2.5,Q2,Q2 (7.2-8.5 ug/m3)
