model,term,estimate,conf_low,conf_high
Primary Cox: waitlist death,PM2.5 per 5 ug/m3,1.0891043052935554,1.068455772304978,1.110151883264276
Primary Cox: waitlist death,O3 per 10 ppb,0.9587582853737966,0.9433295422861278,0.9744393751786988
Primary Cox: waitlist death,NO2 per 10 units,0.9593923880829895,0.946441449357184,0.9725205451818844
Cause-specific Cox: waitlist death,PM2.5 per 5 ug/m3,1.0542152840306556,1.0345631978038334,1.0742406722402722
Cause-specific Cox: waitlist death,O3 per 10 ppb,0.9551751944218292,0.9399562074689196,0.9706405945182794
Cause-specific Cox: waitlist death,NO2 per 10 units,0.9653239280639327,0.9523341104013656,0.9784909265720286
Cause-specific Cox: transplant,PM2.5 per 5 ug/m3,0.9333905805356204,0.925623762294517,0.9412225693871245
Cause-specific Cox: transplant,O3 per 10 ppb,0.985453335141036,0.97872968660252,0.992223173603377
Cause-specific Cox: transplant,NO2 per 10 units,0.9813378896254922,0.9754595585267752,0.9872516448237568
Time-varying Cox: waitlist death,PM2.5 per 5 ug/m3,1.120009768879521,1.099648269619247,1.1407482892869925
Time-varying Cox: waitlist death,O3 per 10 ppb,1.0404766357942992,1.0237824053349585,1.0574430894615965
Time-varying Cox: waitlist death,NO2 per 10 units,0.9643034670838184,0.9516976040755808,0.9770763030690834
Fine-Gray waitlist death: HL (monitored run),PM2.5 per 5 ug/m3,1.0883029238839477,0.7474531735158471,1.5845852236645006
Fine-Gray waitlist death: HL (monitored run),O3 per 10 ppb,1.0538270184279543,0.7416483294102227,1.4974096761626767
Fine-Gray waitlist death: HL (monitored run),NO2 per 10 units,1.089035348594867,0.8084191966138128,1.4670581740969002
Fine-Gray waitlist death: HR (monitored run),PM2.5 per 5 ug/m3,1.2854999995484238,1.0289069943432758,1.6060832105566076
Fine-Gray waitlist death: HR (monitored run),O3 per 10 ppb,0.8326781596362977,0.6866286134036778,1.0097932186342786
Fine-Gray waitlist death: HR (monitored run),NO2 per 10 units,0.9948778127805232,0.8432742300654378,1.173736641147152
Fine-Gray waitlist death: IN (monitored run),PM2.5 per 5 ug/m3,1.2079873212939507,0.9380642199538708,1.555579391439418
Fine-Gray waitlist death: IN (monitored run),O3 per 10 ppb,1.2515445397086808,0.9369745940409864,1.6717248736907546
Fine-Gray waitlist death: IN (monitored run),NO2 per 10 units,1.1906101246583178,0.9779466464293212,1.4495192290036092
Fine-Gray waitlist death: KI (monitored run),PM2.5 per 5 ug/m3,1.5858556118760605,1.3458633641070346,1.8686429014935164
Fine-Gray waitlist death: KI (monitored run),O3 per 10 ppb,0.9684687378849066,0.8217727688479303,1.141351638574372
Fine-Gray waitlist death: KI (monitored run),NO2 per 10 units,1.0264028706481083,0.9034895113195672,1.1660377233776764
Fine-Gray waitlist death: KP (monitored run),PM2.5 per 5 ug/m3,1.3481389353596702,1.1241781585854111,1.616717577327508
Fine-Gray waitlist death: KP (monitored run),O3 per 10 ppb,0.8453420486302307,0.6976447651347419,1.0243080933092616
Fine-Gray waitlist death: KP (monitored run),NO2 per 10 units,0.9396315119543538,0.8155204172777809,1.0826306240189334
Fine-Gray waitlist death: LI (monitored run),PM2.5 per 5 ug/m3,1.0144101910562586,0.86484145535045,1.18984587215678
Fine-Gray waitlist death: LI (monitored run),O3 per 10 ppb,1.2902653090416607,1.1182473388817256,1.48874449312904
Fine-Gray waitlist death: LI (monitored run),NO2 per 10 units,1.3285488922754771,1.1746803325853692,1.5025723255974617
Fine-Gray waitlist death: LU (monitored run),PM2.5 per 5 ug/m3,1.1268747874850331,0.917792552070095,1.3835880273873224
Fine-Gray waitlist death: LU (monitored run),O3 per 10 ppb,1.1623611753365712,0.9748287428910286,1.3859701119633956
Fine-Gray waitlist death: LU (monitored run),NO2 per 10 units,1.348994511604061,1.149606516962821,1.58296440172036
Fine-Gray waitlist death: PA (monitored run),PM2.5 per 5 ug/m3,1.3112015330632238,1.0454855345232497,1.6444507394273429
Fine-Gray waitlist death: PA (monitored run),O3 per 10 ppb,1.0681999811920229,0.8178564369240763,1.39517297694701
Fine-Gray waitlist death: PA (monitored run),NO2 per 10 units,1.1070744279554778,0.9164419692843324,1.3373610442459924
