organ,pollutant,people_before,candidate_organ_episodes_before,intervals_before,adverse_events_before,hazard_ratio_before,conf_low_before,conf_high_before,p_value_before,people_after,candidate_organ_episodes_after,intervals_after,adverse_events_after,hazard_ratio_after,conf_low_after,conf_high_after,p_value_after,people_change,candidate_organ_episodes_change,intervals_change,adverse_events_change,hazard_ratio_change,conf_low_change,conf_high_change,p_value_change,hr_relative_change_percent,direction_changed,significance_changed
HR,pm25,61449,61449,775904,9050,1.1403479345160623,1.1008846066950195,1.1812259012858566,2.696870792104462e-13,76760,76760,923609,10342,1.143726962158243,1.1073266579812708,1.181323825755714,4.0222462526706295e-16,15311,15311,147705,1292,0.0033790276421807874,0.006442051286251305,9.792446985734671e-5,-2.692848545851792e-13,0.2963154963414594,FALSE,FALSE
KI,pm25,486543,486543,17405373,100486,0.994177454236204,0.9833127382295728,1.0051622155237667,0.2976093471600865,592129,592129,20633921,123989,0.9853816506934804,0.9756912618853788,0.9951682826872292,0.0034945463114362,105586,105586,3228548,23503,-0.00879580354272358,-0.007621476344193967,-0.009993932836537489,-0.2941148008486503,-0.8847317453483328,FALSE,TRUE
LI,pm25,179632,179632,2815706,38142,1.0323495709123838,1.0155651548151257,1.0494113858770506,1.4082272166905072e-4,218837,218837,3245102,43864,1.036918052302256,1.021387479521457,1.0526847731617577,2.4964687651293176e-6,39205,39205,429396,5722,0.004568481389872314,0.005822324706331372,0.003273387284707052,-1.3832625290392141e-4,0.44253240555276463,FALSE,FALSE
LU,pm25,38786,38786,371147,5168,1.131672903139496,1.0812423128135784,1.1844556437748135,1.047420130386299e-7,48311,48311,424842,5776,1.1422940430279682,1.0952950929458058,1.1913097110914783,5.429012417469336e-10,9525,9525,53695,608,0.010621139888472131,0.014052780132227438,0.006854067316664825,-1.0419911179688297e-7,0.9385344350834046,FALSE,FALSE
HR,o3,76760,76760,923609,10342,1.0044604451315793,0.983335773309063,1.0260389311767872,0.6815210671532556,76760,76760,923609,10342,1.0044604451315793,0.9833357733090629,1.0260389311767872,0.6815210671532622,0,0,0,0,0,-1.1102230246251565e-16,0,6.661338147750939e-15,0,FALSE,FALSE
KI,o3,592129,592129,20633921,123989,0.9858765661179644,0.9799899685661678,0.9917985232467444,3.23775747891898e-6,592129,592129,20633921,123989,0.9858765661179644,0.979989968566168,0.9917985232467446,3.237757478920063e-6,0,0,0,0,0,2.220446049250313e-16,1.1102230246251565e-16,1.082931623064623e-18,0,FALSE,FALSE
LI,o3,218837,218837,3245102,43864,0.9878920401854848,0.9782726739743464,0.9976059937328188,0.01468457005394883,218837,218837,3245102,43864,0.987892040185485,0.9782726739743466,0.9976059937328188,0.01468457005394924,0,0,0,0,2.220446049250313e-16,2.220446049250313e-16,0,4.0939474033052647e-16,2.220446049250313e-14,FALSE,FALSE
LU,o3,48311,48311,424842,5776,0.9648199974576636,0.9381789633329696,0.9922175447072222,0.01218156672994132,48311,48311,424842,5776,0.9648199974576636,0.9381789633329696,0.9922175447072222,0.01218156672994125,0,0,0,0,0,0,0,-7.112366251504909e-17,0,FALSE,FALSE
HR,no2,82122,82122,969185,10772,1.2837952461056872,1.2340593877423185,1.3355355911507434,2.8775616444742457e-35,82122,82122,969185,10772,1.283795246105687,1.2340593877423185,1.3355355911507432,2.8775616444743285e-35,0,0,0,0,-2.220446049250313e-16,0,-2.220446049250313e-16,8.285570601285807e-49,-2.220446049250313e-14,FALSE,FALSE
KI,no2,628132,628132,21563296,131452,0.8968552791708059,0.8856636347283403,0.908188346271282,9.54184916275534e-65,628132,628132,21563296,131452,0.8968552791708051,0.8856636347283395,0.9081883462712812,9.541849162732753e-65,0,0,0,0,-7.771561172376096e-16,-7.771561172376096e-16,-7.771561172376096e-16,-2.258729162524799e-76,-8.881784197001252e-14,FALSE,FALSE
LI,no2,232844,232844,3357717,45481,1.013997969295504,0.9960683407443398,1.032250338332268,0.12671762332342582,232844,232844,3357717,45481,1.0139979692955037,0.9960683407443396,1.032250338332268,0.1267176233234319,0,0,0,0,-2.220446049250313e-16,-2.220446049250313e-16,0,6.078471059822732e-15,-2.220446049250313e-14,FALSE,FALSE
LU,no2,51932,51932,439313,5939,1.3503609470474842,1.2827266213735251,1.4215614277642636,2.1629680574204346e-30,51932,51932,439313,5939,1.3503609470474849,1.2827266213735258,1.421561427764264,2.162968057420249e-30,0,0,0,0,6.661338147750939e-16,6.661338147750939e-16,4.440892098500626e-16,-1.8567204652303826e-43,4.440892098500626e-14,FALSE,FALSE
