organ,outcome,pollutant,n_before,estimate_before,conf_low_before,conf_high_before,p_value_before,n_after,estimate_after,conf_low_after,conf_high_after,p_value_after,n_change,estimate_change,conf_low_change,conf_high_change,p_value_change
KI,kidney_dialysis_years,pm25,492965,0.09519390023711467,0.08052689105354015,0.1098609094206892,4.577504815904842e-37,565015,0.07340786250550481,0.05950493604242753,0.08731078896858208,4.257033872620329e-25,72050,-0.021786037731609864,-0.02102195501111262,-0.022550120452107122,4.257033872615752e-25
KI,kidney_dialysis_years,o3,601017,0.05105957488251374,0.03328276406292251,0.06883638570210499,1.8068275571379513e-8,565015,0.05116030247849519,0.03282793482838704,0.06949267012860334,4.507606398241648e-8,-36002,1.0072759598145353e-4,-4.548292345354643e-4,6.562844264983575e-4,2.700778841103697e-8
KI,kidney_dialysis_years,no2,601017,0.04700646658119031,0.03601001079751967,0.05800292236486094,5.376656181824679e-17,601017,0.03491723184738593,0.02404166520323754,0.04579279849153432,3.120020596762582e-10,0,-0.012089234733804376,-0.011968345594282129,-0.012210123873326616,3.1200200590969637e-10
KI,kidney_diabetes,pm25,492965,0.9206546150463514,0.9072404518412142,0.9342671157199388,2.459694026858621e-28,565015,0.9136929590815398,0.9011819281335968,0.9263776795925932,1.0947755272448998e-37,72050,-0.006961655964811575,-0.0060585237076173915,-0.007889436127345606,-2.4596940257638457e-28
KI,kidney_diabetes,o3,601017,0.9833646156312426,0.9662868133292531,1.000744244810555,0.06055000011832745,565015,0.9722563360274444,0.954750990386118,0.9900826419286792,0.00240384079246348,-36002,-0.011108279603798121,-0.011535822943135154,-0.010661602881875787,-0.05814615932586397
KI,kidney_diabetes,no2,601017,0.9035263911242264,0.8937546305914655,0.9134049900448864,1.0713782872654116e-74,601017,0.9042364851935576,0.8945703544248194,0.9140070617262048,2.8399954453530417e-75,0,7.100940693312019e-4,8.157238333538208e-4,6.020716813184279e-4,-7.873787427301074e-75
LI,liver_meld_display,pm25,181761,-0.8560729229833405,-0.9588708338436516,-0.7532750121230294,7.55301275104874e-60,208809,-0.941152206088398,-1.0388962903912753,-0.8434081217855209,2.244001689760363e-79,27048,-0.08507928310505752,-0.08002545654762372,-0.09013310966249155,-7.55301275104874e-60
LI,liver_meld_display,o3,222811,-0.05743858355018683,-0.17979340658719023,0.06491623948681657,0.3575174396257239,208809,-0.10189783031422706,-0.22843294032654504,0.02463727969809093,0.11448119494428148,-14002,-0.04445924676404023,-0.04863953373935481,-0.04027895978872564,-0.24303624468144241
LI,liver_meld_display,no2,222811,-0.8531187964109346,-0.9295150152229924,-0.7767225775988769,4.437136164621942e-106,222811,-1.03661953346308,-1.1131871693677065,-0.960051897558454,6.559990991783564e-155,0,-0.1835007370521453,-0.18367215414471405,-0.18332931995957713,-4.437136164621942e-106
HR,organ_score,pm25,63393,-0.5231989998650005,-0.5471273245449334,-0.4992706751850676,0,74084,-0.6006339312625945,-0.6242849357000555,-0.5769829268251334,0,10691,-0.07743493139759394,-0.0771576111551221,-0.07771225164006579,0
HR,organ_score,o3,79446,-0.01310574115185168,-0.0441218886569607,0.01791040635325734,0.4075655921576894,74084,-0.06251866401158686,-0.09427705818164442,-0.0307602698415293,1.142286844520728e-4,-5362,-0.04941292285973518,-0.05015516952468372,-0.04867067619478664,-0.4074513634732373
HR,organ_score,no2,79446,-0.49340225374027646,-0.5122241303348739,-0.474580377145679,0,79446,-0.6658225320393706,-0.6844045385373979,-0.6472405255413433,0,0,-0.17242027829909412,-0.172180408202524,-0.17266014839566424,0
LU,organ_score,pm25,40195,-0.6687066762833881,-0.6937973051196948,-0.6436160474470813,0,46810,-0.6742647277154906,-0.6969071934816797,-0.6516222619493015,0,6615,-0.005558051432102529,-0.0031098883619848916,-0.008006214502220166,0
LU,organ_score,o3,50431,-0.15805006016363318,-0.18630035916956195,-0.12979976115770442,6.023581890936497e-28,46810,-0.18648632646394184,-0.216370460220293,-0.15660219270759074,2.3960575406263534e-34,-3621,-0.028436266300308655,-0.030070101050731046,-0.02680243154988632,-6.023579494878956e-28
LU,organ_score,no2,50431,-0.4335038689862541,-0.45146343365164976,-0.4155443043208583,0,50431,-0.5257674496509773,-0.5438574676269006,-0.5076774316750541,0,0,-0.09226358066472323,-0.09239403397525081,-0.09213312735419577,0
