analysis,model,organ,exposure,n_before,people_before,intervals_before,adverse_events_before,hazard_ratio_before,conf_low_before,conf_high_before,p_value_before,n_after,people_after,intervals_after,adverse_events_after,hazard_ratio_after,conf_low_after,conf_high_after,p_value_after,n_change,people_change,intervals_change,adverse_events_change,hazard_ratio_change,conf_low_change,conf_high_change,p_value_change,hr_relative_change_percent,direction_changed,significance_changed
Baseline cause-specific Cox,Single-pollutant model restricted to single-organ candidates,HR,pm25_prior_5ug,55818,55818,NA,7979,1.3486769802158451,1.274096505716551,1.427623095113322,6.623381120212726e-25,64718,64718,NA,8485,1.369568920019781,1.2959653351830664,1.4473527769314811,6.503647132706986e-29,8900,8900,NA,506,0.020891939803935777,0.02186882946651547,0.01972968181815915,-6.6227307554994545e-25,1.549069207112308,FALSE,FALSE
Baseline cause-specific Cox,Single-pollutant model additionally adjusted for multi-organ candidate status,HR,pm25_prior_5ug,63342,63342,NA,9332,1.2544135678954538,1.1901205277490237,1.3221798655102586,3.0704677522944026e-17,74028,74028,NA,10010,1.262458064474154,1.199170488872256,1.3290857132872702,6.585440072738841e-19,10686,10686,NA,678,0.008044496578700322,0.00904996112323242,0.006905847777011642,-3.004613351567014e-17,0.6412954056449482,FALSE,FALSE
Baseline cause-specific Cox,Single-pollutant model without listing center,HR,pm25_prior_5ug,63342,63342,NA,9332,1.1720156426507062,1.1261004578634026,1.2198029554345229,7.008233545273285e-15,74028,74028,NA,10010,1.1763809152596687,1.130333606615764,1.2243040901265507,1.542149095249953e-15,10686,10686,NA,678,0.004365272608962467,0.004233148752361471,0.004501134692027842,-5.466084450023332e-15,0.37245856199408234,FALSE,FALSE
Baseline cause-specific Cox,Single-pollutant model restricted to single-organ candidates,HR,o3_prior_10ppb,69316,69316,NA,8653,0.999332149974395,0.926016184151799,1.078452799274984,0.9862892409685216,64718,64718,NA,8485,0.991593723117256,0.9178909141023972,1.0712145600515792,0.8303716880572918,-4598,-4598,NA,-168,-0.007738426857138991,-0.008125270049401778,-0.007238239223404719,-0.15591755291122977,-0.7743598419541753,FALSE,FALSE
Baseline cause-specific Cox,Single-pollutant model additionally adjusted for multi-organ candidate status,HR,o3_prior_10ppb,79381,79381,NA,10242,1.009165232555705,0.9424050001042096,1.0806547784515104,0.7938906804568636,74028,74028,NA,10010,0.9926352377227442,0.9259782120443776,1.0640906042416334,0.834897919908966,-5353,-5353,NA,-232,-0.016529994832960804,-0.016426788059831998,-0.016564174209876992,0.041007239452102384,-1.6379869519581702,TRUE,FALSE
Baseline cause-specific Cox,Single-pollutant model without listing center,HR,o3_prior_10ppb,79381,79381,NA,10242,1.0220116189236204,0.976056734866022,1.0701301593480157,0.3536428985051301,74028,74028,NA,10010,1.0175783330100825,0.9712730611332115,1.0660912005563823,0.4633568574605435,-5353,-5353,NA,-232,-0.0044332859135378655,-0.004783673732810412,-0.004038958791633407,0.10971395895541342,-0.4337803828695197,FALSE,FALSE
Baseline cause-specific Cox,Single-pollutant model restricted to single-organ candidates,HR,no2_prior_10ppb,69316,69316,NA,8653,1.2045370092770245,1.1539194093474294,1.2573749908050895,1.9628447362623713e-17,69316,69316,NA,8653,1.241921712548348,1.1900131688613265,1.2960945142941989,2.6280149208143838e-23,0,0,NA,0,0.03738470327132348,0.03609375951389704,0.03871952348910934,-1.9628421082474505e-17,3.103657503538404,FALSE,FALSE
Baseline cause-specific Cox,Single-pollutant model additionally adjusted for multi-organ candidate status,HR,no2_prior_10ppb,79381,79381,NA,10242,1.1525807586865446,1.1077718837168875,1.199202132515903,2.235299434672281e-12,79381,79381,NA,10242,1.1778109964278305,1.1322012103552503,1.2252581348778506,4.591887525317156e-16,0,0,NA,0,0.025230237741285855,0.024429326638362836,0.026056002361947606,-2.2348402459197494e-12,2.1890212508872464,FALSE,FALSE
Baseline cause-specific Cox,Single-pollutant model without listing center,HR,no2_prior_10ppb,79381,79381,NA,10242,1.044907165511747,1.0107736635022897,1.0801933449221888,0.00953206703226551,79381,79381,NA,10242,1.0673514476516823,1.0323045844855383,1.1035881559819822,1.3001825002569392e-4,0,0,NA,0,0.022444282139935323,0.021530920983248603,0.023394811059793463,-0.009402048782239816,2.14796901396912,FALSE,FALSE
Baseline cause-specific Cox,Multipollutant model: PM2.5 + NO2,HR,pm25_prior_5ug,63342,63342,NA,9332,1.231676316183793,1.1585225269592776,1.3094493309765418,2.5575752762071683e-11,74028,74028,NA,10010,1.191399145447489,1.1207008015269762,1.266557427137559,2.0121657986189247e-8,10686,10686,NA,678,-0.04027717073630388,-0.037821725432301445,-0.04289190383898278,2.0096082233427176e-8,-3.2701100286719798,FALSE,FALSE
