organ,outcome,pollutant,people_before,candidate_organ_episodes_before,intervals_before,estimate_before,conf_low_before,conf_high_before,p_value_before,people_after,candidate_organ_episodes_after,intervals_after,estimate_after,conf_low_after,conf_high_after,p_value_after,people_change,candidate_organ_episodes_change,intervals_change,estimate_change,conf_low_change,conf_high_change,p_value_change
HR,organ_score_tv,pm25,61449,61449,775904,-0.06134867827029174,-0.06777887828345558,-0.05491847825712789,5.201146937420519e-78,76760,76760,923609,-0.05222912404498858,-0.05797388685113105,-0.0464843612388461,5.1503286983597865e-71,15311,15311,147705,0.00911955422530316,0.00980499143232453,0.00843411701828179,5.150328178245093e-71
KI,kidney_dialysis_years_tv,pm25,486543,486543,17405373,-0.6379051106410962,-0.6407214326431353,-0.6350887886390572,0,592129,592129,20633921,-0.6382844078671778,-0.6408904314277591,-0.6356783843065964,0,105586,105586,3228548,-3.7929722608154304e-4,-1.6899878462384166e-4,-5.895956675392444e-4,0
LI,organ_score_tv,pm25,179632,179632,2815706,0.02440233346003476,0.01106210757218295,0.03774255934788656,3.3679303335510416e-4,218837,218837,3245102,0.04541188200092767,0.03294394971131634,0.05787981429053901,9.419012918394995e-13,39205,39205,429396,0.02100954854089291,0.02188184213913339,0.02013725494265245,-3.3679303241320287e-4
LU,organ_score_tv,pm25,38786,38786,371147,0.02625865419953154,0.02046352800025193,0.03205378039881115,6.658147804611844e-19,48311,48311,424842,0.02292280071154532,0.01781433263092917,0.02803126879216147,1.438122745381834e-18,9525,9525,53695,-0.0033358534879862206,-0.00264919536932276,-0.004022511606649678,7.723079649206495e-19
HR,organ_score_tv,o3,76760,76760,923609,-0.00899129144075645,-0.01225169141027749,-0.0057308914712354,6.48056750053594e-8,76760,76760,923609,-0.00899129144075645,-0.01225169141027749,-0.00573089147123541,6.480567500535918e-8,0,0,0,0,0,-1.0408340855860843e-17,-2.2499312661442353e-22
KI,kidney_dialysis_years_tv,o3,592129,592129,20633921,0.00407417431083034,0.0025087350425026,0.00563961357915809,3.379467567967361e-7,592129,592129,20633921,0.00407417431083034,0.0025087350425026,0.00563961357915808,3.379467567967471e-7,0,0,0,0,0,-1.0408340855860843e-17,1.1011428314305904e-20
LI,organ_score_tv,o3,218837,218837,3245102,-0.01273386655237445,-0.02024644549111725,-0.00522128761363166,8.932700566390283e-4,218837,218837,3245102,-0.01273386655237445,-0.02024644549111725,-0.00522128761363166,8.932700566390283e-4,0,0,0,0,0,0,0
LU,organ_score_tv,o3,48311,48311,424842,0.00375670122014149,7.783343374667701e-4,0.00673506810281622,0.01343006832346961,48311,48311,424842,0.0037567012201415,7.78334337466781e-4,0.00673506810281623,0.01343006832346935,0,0,0,9.974659986866641e-18,1.0842021724855044e-17,9.540979117872439e-18,-2.6020852139652106e-16
HR,organ_score_tv,no2,82122,82122,969185,-0.06883362521025328,-0.07610201070747331,-0.06156523971303325,6.799387523903191e-77,82122,82122,969185,-0.0688336252102532,-0.07610201070747323,-0.06156523971303317,6.7993875239064964e-77,0,0,0,8.326672684688674e-17,8.326672684688674e-17,8.326672684688674e-17,3.305200584682485e-89
KI,kidney_dialysis_years_tv,no2,628132,628132,21563296,-1.4778303122636205,-1.4813206825423229,-1.4743399419849177,0,628132,628132,21563296,-1.4778303122636207,-1.4813206825423233,-1.474339941984918,0,0,0,0,-2.220446049250313e-16,-4.440892098500626e-16,-2.220446049250313e-16,0
LI,organ_score_tv,no2,232844,232844,3357717,0.18305552417756976,0.16707716510724202,0.1990338832478975,1.1848492041512355e-111,232844,232844,3357717,0.18305552417756987,0.16707716510724213,0.19903388324789761,1.1848492041508972e-111,0,0,0,1.1102230246251565e-16,1.1102230246251565e-16,1.1102230246251565e-16,-3.3829633655566936e-124
LU,organ_score_tv,no2,51932,51932,439313,0.04991173413115103,0.04348242324984112,0.05634104501246094,2.8759821851816793e-52,51932,51932,439313,0.04991173413115085,0.04348242324984094,0.05634104501246076,2.875982185184194e-52,0,0,0,-1.734723475976807e-16,-1.8041124150158794e-16,-1.8041124150158794e-16,2.5148417701660717e-64
