organ,exposure,n_before,people_before,adverse_events_before,hazard_ratio_before,conf_low_before,conf_high_before,p_value_before,n_after,people_after,adverse_events_after,hazard_ratio_after,conf_low_after,conf_high_after,p_value_after,n_change,people_change,adverse_events_change,hazard_ratio_change,conf_low_change,conf_high_change,p_value_change,hr_relative_change_percent,direction_changed,significance_changed
HR,pm25,63342,63342,9332,1.253007999656194,1.1887473193562612,1.3207424501723628,4.5896266861337845e-17,74028,74028,10010,1.25930094842313,1.196179935307767,1.325752783414957,1.5299282079820703e-18,10686,10686,678,0.006292948766935869,0.007432615951505683,0.005010333242594145,-4.4366338653355776e-17,0.5022273416181333,FALSE,FALSE
HR,o3,79381,79381,10242,1.0074675928541093,0.9407897085043112,1.078871230707773,0.8313661960219458,74028,74028,10010,0.9924269533463788,0.92575091409988,1.0639052500272363,0.8303668581435331,-5353,-5353,-232,-0.015040639507730491,-0.015038794404431233,-0.014965980680536672,-9.99337878412776e-4,-1.4929154659080401,TRUE,FALSE
HR,no2,79381,79381,10242,1.151191792485016,1.1064349845863082,1.1977590744569302,3.425756331313061e-12,79381,79381,10242,1.1752248160074383,1.129707356215239,1.2225762367228232,1.134635626503423e-15,0,0,0,0.024033023522422425,0.02327237162893092,0.024817162265893034,-3.424621695686558e-12,2.08766459935783,FALSE,FALSE
KI,pm25,492197,492197,118004,0.9222103700346932,0.909218181407614,0.935388209332616,4.7311684282930574e-29,564179,564179,123299,0.929122615429735,0.9162276607212958,0.9421990532608314,6.374127840261585e-25,71982,71982,5295,0.006912245395041761,0.007009479313681788,0.006810843928215404,6.373654723418755e-25,0.7495302177942031,FALSE,FALSE
KI,o3,600141,600141,123941,1.0511877876137607,1.0340389946948236,1.0686209809277365,2.7057268153585322e-9,564179,564179,123299,1.0505116556057987,1.0332092749499335,1.068103786250963,6.044337388154171e-9,-35962,-35962,-642,-6.761320079620159e-4,-8.297197448901006e-4,-5.171946767734692e-4,3.3386105727956386e-9,-0.06432076322888669,FALSE,FALSE
KI,no2,600141,600141,123941,0.911746650502006,0.9017834744216888,0.921819902759613,5.034842586277223e-61,600141,600141,123941,0.9044982381320308,0.8945511924080437,0.9145558909621008,8.374666920032383e-71,0,0,0,-0.007248412369975199,-0.007232282013645119,-0.007264011797512238,-5.0348425854397565e-61,-0.7950029063429231,FALSE,FALSE
LI,pm25,181559,181559,39358,1.0179800065595868,0.9943469051399816,1.0421748067986103,0.13703339452933638,208592,208592,42101,1.025240154797539,1.0023526709248645,1.0486502460650124,0.03046700597082882,27033,27033,2743,0.00726014823795218,0.008005765784882879,0.00647543926640215,-0.10656638855850756,0.7131916335458177,FALSE,TRUE
LI,o3,222559,222559,42847,1.0230967087902632,0.994993887107834,1.0519932726220136,0.10809723477827224,208592,208592,42101,1.0341440930122945,1.0052730189612624,1.063844333768429,0.02012528440291218,-13967,-13967,-746,0.011047384222031331,0.010279131853428436,0.01185106114641532,-0.08797195037536006,1.0797986277459648,FALSE,TRUE
LI,no2,222559,222559,42847,0.986293216296141,0.9691799141295564,1.0037086967340405,0.1222381658906238,222559,222559,42847,0.9968769734911744,0.9794674330603012,1.0145959597369711,0.7278656672374078,0,0,0,0.01058375719503346,0.010287518930744755,0.010887263002930636,0.605627501346784,1.0730842532587825,FALSE,FALSE
LU,pm25,40175,40175,5267,1.0975238296230985,1.0261972615684016,1.1738080013481516,0.00664283891594836,46788,46788,5582,1.1497483619402376,1.075942303629002,1.228617270020525,3.7510202816248535e-5,6613,6613,315,0.05222453231713908,0.049745042060600264,0.054809268672373346,-0.006605328713132112,4.758396210410631,FALSE,FALSE
LU,o3,50401,50401,5675,0.9575729756073932,0.8809248524126297,1.040890152096759,0.3084521259850665,46788,46788,5582,0.9703010041394214,0.891891761196912,1.0556034707288977,0.4831290560265037,-3613,-3613,-93,0.012728028532028257,0.010966908784282303,0.01471331863213865,0.1746769300414372,1.3291967146373151,FALSE,FALSE
LU,no2,50401,50401,5675,1.1166248790871192,1.0624650814041114,1.17354550508948,1.3704253608030084e-5,50401,50401,5675,1.1317560948018548,1.076224278957754,1.190153282326596,1.4236552542286075e-6,0,0,0,0.015131215714735635,0.013759197553642633,0.016607777237115817,-1.2280598353801476e-5,1.3550849527108833,FALSE,FALSE
