organ,pollutant,quartile,time,cif_adverse_before,cif_transplant_or_improvement_before,n_risk_before,cif_adverse_after,cif_transplant_or_improvement_after,n_risk_after,cif_adverse_change,cif_transplant_or_improvement_change,n_risk_change
Heart,NO2,Q1 lowest,1,0.08501542990610236,0.6733686300626818,4334,0.07890615837189638,0.6916471247415902,4063,-0.0061092715342059845,0.018278494678908408,-271
Heart,NO2,Q1 lowest,3,0.11305730765655042,0.7945452162150144,1126,0.10411111821443844,0.8096021515848087,997,-0.00894618944211198,0.015056935369794355,-129
Heart,NO2,Q1 lowest,5,0.12526589774453495,0.8296259511427951,414,0.11550672078341392,0.8434189250990031,312,-0.009759176961121024,0.013792973956207932,-102
Heart,NO2,Q1 lowest,10,0.13272906931184242,0.8559718322849685,66,0.12234788380000196,0.8682419218546894,40,-0.01038118551184046,0.012270089569720866,-26
Heart,NO2,Q2,1,0.09054296456816067,0.6430013809652834,5091,0.09034562445670229,0.643648288517742,5018,-1.9734011145838837e-4,6.469075524586643e-4,-73
Heart,NO2,Q2,3,0.12003149266072746,0.7725310018471666,1626,0.12001471541040772,0.7712901046005745,1579,-1.677725031974664e-5,-0.0012408972465921542,-47
Heart,NO2,Q2,5,0.13367925462082755,0.8093872822141497,681,0.1338438689013529,0.8089198706189346,656,1.646142805253603e-4,-4.674115952151281e-4,-25
Heart,NO2,Q2,10,0.1419666140828084,0.8427906629662287,122,0.1422207135766489,0.842623388552373,112,2.540994938405039e-4,-1.6727441385577801e-4,-10
Heart,NO2,Q3,1,0.09555819157271243,0.6363826102319351,4878,0.09912660051493707,0.622674138244263,5095,0.0035684089422246407,-0.01370847198767211,217
Heart,NO2,Q3,3,0.12478341064137242,0.7613041286710129,1696,0.1301015304116369,0.7530370712244975,1781,0.005318119770264487,-0.008267057446515458,85
Heart,NO2,Q3,5,0.13908377829349855,0.8012074990517198,735,0.14478496256972137,0.7937536060016658,790,0.00570118427622282,-0.007453893050054061,55
Heart,NO2,Q3,10,0.1468066968306886,0.836860550168444,134,0.1530873180035095,0.8296252118616473,156,0.0062806211728209105,-0.007235338306796679,22
Heart,NO2,Q4 highest,1,0.10586361806144556,0.6088806181384131,4483,0.10966080230622138,0.6007849518682367,4610,0.0037971842447758197,-0.008095666270176438,127
Heart,NO2,Q4 highest,3,0.13870644553503506,0.7372541042912143,1686,0.14343675891151642,0.730522085113774,1777,0.00473031337648136,-0.006732019177440263,91
Heart,NO2,Q4 highest,5,0.15276128547811613,0.7774483691597786,837,0.1579199063423706,0.7710289558714638,909,0.005158620864254476,-0.006419413288314746,72
Heart,NO2,Q4 highest,10,0.16206510252718836,0.8154629728475153,208,0.16740244049573752,0.8101254636136711,222,0.005337337968549155,-0.00533750923384424,14
Heart,O3,Q1 lowest,1,0.09506784931081964,0.6171694579589706,4980,0.09711856176015586,0.6108569745716566,4780,0.002050712449336217,-0.0063124833873140496,-200
Heart,O3,Q1 lowest,3,0.12646550396986098,0.7520425563133674,1735,0.12983556480792371,0.7486001355611505,1649,0.0033700608380627384,-0.0034424207522169015,-86
Heart,O3,Q1 lowest,5,0.1416045053453087,0.7930969128860392,728,0.1444846946197207,0.7902565698659013,713,0.0028801892744119983,-0.0028403430201379143,-15
Heart,O3,Q1 lowest,10,0.1513355893860414,0.8303151345568379,139,0.15415740759133523,0.8274814155657899,138,0.0028218182052938134,-0.0028337189910480065,-1
Heart,O3,Q2,1,0.09025292733961536,0.6306038455432195,5173,0.09347122848118622,0.6217870312124547,5199,0.003218301141570859,-0.008816814330764755,26
Heart,O3,Q2,3,0.12183070090223068,0.7627823095575591,1669,0.12476876864458576,0.7571602716163618,1687,0.0029380677423550827,-0.005622037941197311,18
Heart,O3,Q2,5,0.13600313389585955,0.8050554733429844,678,0.14034257439424197,0.7983035933739964,684,0.004339440498382419,-0.006751879968988073,6
Heart,O3,Q2,10,0.1446769265119103,0.8432113959658663,87,0.14867530999559758,0.836897124354297,95,0.003998383483687279,-0.006314271611569278,8
Heart,O3,Q3,1,0.09420560199741108,0.6539023801732353,4581,0.09699960420507904,0.6445810210344859,4809,0.002794002207667956,-0.00932135913874943,228
Heart,O3,Q3,3,0.12402501259815592,0.7747839875975324,1408,0.12768619653243676,0.7680226333354702,1474,0.0036611839342808455,-0.006761354262062258,66
Heart,O3,Q3,5,0.1385214241041229,0.8092024082719073,612,0.1424855791434071,0.8041993559931288,623,0.003964155039284184,-0.005003052278778508,11
Heart,O3,Q3,10,0.14631298225956502,0.8390478941971836,113,0.15105618670932314,0.8362333257819856,102,0.0047432044497581205,-0.0028145684151980044,-11
Heart,O3,Q4 highest,1,0.09516630820506798,0.666604030535967,4052,0.09555506671438314,0.6625385128678212,3998,3.887585093151624e-4,-0.004065517668145779,-54
Heart,O3,Q4 highest,3,0.12117964957186292,0.7808165946803014,1322,0.12190349749087596,0.7775757939190725,1324,7.238479190130459e-4,-0.0032408007612289014,2
Heart,O3,Q4 highest,5,0.13119684897549816,0.8139682697068888,649,0.13162530511208673,0.8124330067906779,647,4.284561365885675e-4,-0.0015352629162109777,-2
Heart,O3,Q4 highest,10,0.13760524514504227,0.8425436524822654,191,0.13819184045773697,0.8410790811919044,195,5.865953126946988e-4,-0.0014645712903609276,4
Heart,PM2.5,Q1 lowest,1,0.08623627836834812,0.6319483334751931,4399,0.08061772924436676,0.6587844622218942,4712,-0.005618549123981353,0.02683612874670116,313
Heart,PM2.5,Q1 lowest,3,0.11539395515012522,0.7729043132056518,1504,0.1068390027563458,0.7912527859717704,1401,-0.00855495239377943,0.018348472766118618,-103
Heart,PM2.5,Q1 lowest,5,0.1282114544671158,0.8187397166012992,507,0.11923926425266644,0.8324319656986087,482,-0.008972190214449352,0.013692249097309483,-25
Heart,PM2.5,Q1 lowest,10,0.13604602096735455,0.8523181403524233,49,0.1260702498390609,0.8638438585195783,44,-0.009975771128293648,0.011525718167155086,-5
Heart,PM2.5,Q2,1,0.10056952369570644,0.6002052692680395,4770,0.08963802241789129,0.6352026600592704,5064,-0.010931501277815156,0.034997390791230876,294
Heart,PM2.5,Q2,3,0.136177356817032,0.7445374229294197,1646,0.12199148559079502,0.7685630370786309,1538,-0.014185871226236976,0.024025614149211227,-108
Heart,PM2.5,Q2,5,0.15236211253469964,0.7875628794031209,656,0.1358500487711247,0.8087178143047107,615,-0.016512063763574947,0.021154934901589817,-41
Heart,PM2.5,Q2,10,0.16102760036794556,0.8256054165210318,89,0.1443070782863313,0.8433844320994196,77,-0.01672052208161426,0.01777901557838779,-12
Heart,PM2.5,Q3,1,0.10602692556922132,0.6042876056795728,4374,0.09962288375455083,0.618020406432018,4965,-0.006404041814670483,0.013732800752445207,591
Heart,PM2.5,Q3,3,0.1402143659139517,0.7390849723101985,1587,0.1319860096450284,0.7500854430513197,1640,-0.008228356268923293,0.011000470741121204,53
Heart,PM2.5,Q3,5,0.1558314887710024,0.7779772653776021,752,0.14762080709627518,0.7902112560390979,728,-0.008210681674727216,0.012233990661495775,-24
Heart,PM2.5,Q3,10,0.1652982464691434,0.816743079049305,156,0.15591443712576594,0.8272860003096505,154,-0.009383809343377458,0.010542921260345506,-2
Heart,PM2.5,Q4 highest,1,0.11827034773849616,0.6272035305887281,3454,0.11651235303622028,0.625893168313006,4045,-0.001757994702275889,-0.0013103622757221212,591
Heart,PM2.5,Q4 highest,3,0.1479372420235108,0.7374668053796256,1397,0.14666574673720756,0.738191876007125,1555,-0.0012714952863032425,7.250706274993801e-4,158
Heart,PM2.5,Q4 highest,5,0.16084009707863198,0.7711154281852736,752,0.15969390403998904,0.7710874838195387,842,-0.0011461930386429398,-2.7944365734833276e-5,90
Heart,PM2.5,Q4 highest,10,0.16969350209739506,0.8046072228228155,236,0.16924152068751866,0.8052177488243835,255,-4.519814098764008e-4,6.105260015679681e-4,19
Kidney,NO2,Q1 lowest,1,0.04224412071340935,0.28644649584199056,82684,0.04253187392498308,0.3022835559380871,79849,2.8775321157373246e-4,0.015837060096096534,-2835
