model_tier,model_type,organ,term,n_before,people_before,adverse_events_before,hazard_ratio_before,coefficient_before,std_error_before,hr_conf_low_before,hr_conf_high_before,conf_low_before,conf_high_before,p_value_before,n_after,people_after,adverse_events_after,hazard_ratio_after,coefficient_after,std_error_after,hr_conf_low_after,hr_conf_high_after,conf_low_after,conf_high_after,p_value_after,n_change,people_change,adverse_events_change,hazard_ratio_change,coefficient_change,std_error_change,hr_conf_low_change,hr_conf_high_change,conf_low_change,conf_high_change,p_value_change,hr_relative_change_percent,direction_changed,significance_changed
Unadjusted,Single-pollutant PM2.5,HR,pm25_prior_5ug,63421,63421,9342,1.1768292388697286,0.16282373607879816,0.02011122205607368,1.13134336005132,1.2241438862520762,0.12340574084889376,0.20224173130870257,5.671971506914111e-16,74114,74114,10020,1.182063620632933,0.16726174209796552,0.02008440503741434,1.1364351576083012,1.2295240901948945,0.1278963082246334,0.2066271759712976,8.226042337920894e-17,10693,10693,678,0.005234381763204343,0.0044380060191673565,-2.681701865933986e-5,0.005091797556981081,0.005380203942818351,0.004490567375739649,0.004385444662595023,-4.849367273122021e-16,0.4447868552477141,FALSE,FALSE
Unadjusted,Single-pollutant O3,HR,o3_prior_10ppb,79469,79469,10252,1.014117717033853,0.01401899018022735,0.02336640443142839,0.968720488264698,1.061642399908588,-0.0317791625053723,0.05981714286582701,0.5485305498924392,74114,74114,10020,1.0100556500092293,0.01000542835431184,0.02364509455582914,0.964313377335556,1.0579677105947267,-0.03633895697511327,0.05634981368373695,0.6721856207799568,-5355,-5355,-232,-0.004062067024623639,-0.00401356182591551,2.786901244007517e-4,-0.004407110929142033,-0.003674689313861279,-0.004559794469740967,-0.0034673291820900634,0.12365507088751759,-0.40055182513767384,FALSE,FALSE
Unadjusted,Single-pollutant NO2,HR,no2_prior_10ppb,79469,79469,10252,1.0538288918949812,0.05243009528472207,0.01642011565789617,1.020453022697997,1.0882963827735874,0.02024666859524557,0.08461352197419858,0.00140783170806181,79469,79469,10252,1.075341015228168,0.07263783474296322,0.01658795962441964,1.0409413353134278,1.1108774911736663,0.04012543387910071,0.10515023560682572,1.1925285058384683e-5,0,0,0,0.02151212333318675,0.02020773945824115,1.6784396652346975e-4,0.020488312615430715,0.022581108400078875,0.01987876528385514,0.020536713632627143,-0.0013959064230034252,2.041329811569681,FALSE,FALSE
Unadjusted,Multipollutant PM2.5 + NO2,HR,pm25_prior_5ug,63421,63421,9342,1.204438353311068,0.18601336144843503,0.02259942405007506,1.1522522327075482,1.2589880112602658,0.1417184903102879,0.23030823258658217,1.8582837707779363e-16,74114,74114,10020,1.1812814620674357,0.16659983402556486,0.02304961896789021,1.1291019484265028,1.2358723626053607,0.12142258084850004,0.2117770872026297,4.905991061060474e-13,10693,10693,678,-0.023156891243632405,-0.01941352742287017,4.5019491781515125e-4,-0.023150284281045375,-0.02311564865490512,-0.020295909461787873,-0.01853114538395248,4.904132777289696e-13,-1.9226298448544732,FALSE,FALSE
Unadjusted,Multipollutant PM2.5 + NO2,HR,no2_prior_10ppb,63421,63421,9342,0.9579016247886106,-0.04301019439615914,0.0192113190108441,0.9225032503514892,0.99465830870845,-0.08066437965741358,-0.0053560091349047,0.02516929350985634,74114,74114,10020,1.001126578039068,0.00112594392623614,0.01923550990656333,0.9640851528019192,1.0395911837697778,-0.03657565549062797,0.03882754334310027,0.9533227595178482,10693,10693,678,0.043224953250457276,0.04413613832239528,2.4190895719228278e-5,0.04158190245043003,0.044932875061327815,0.04408872416678561,0.04418355247800497,0.9281534660079919,4.512462671727491,TRUE,TRUE
Unadjusted,Multipollutant PM2.5 + NO2 + O3,HR,pm25_prior_5ug,63421,63421,9342,1.2193825678856514,0.19834463874042924,0.02489036514859362,1.1613225942166552,1.2803452324686375,0.14955952304918574,0.24712975443167273,1.6031123295512649e-15,74114,74114,10020,1.201697979499045,0.18373553956484692,0.025092382161155,1.1440269730596335,1.262276211958521,0.13455447052898312,0.23291660860071073,2.436413667193801e-13,10693,10693,678,-0.01768458838660636,-0.014609099175582313,2.020170125613778e-4,-0.017295621157021657,-0.018069020510116607,-0.015005052520202622,-0.014213145830962004,2.4203825438982883e-13,-1.4502904053541266,FALSE,FALSE
Unadjusted,Multipollutant PM2.5 + NO2 + O3,HR,no2_prior_10ppb,63421,63421,9342,0.9490860493060478,-0.05225581081996401,0.02072167005906122,0.91131170421485,0.9884261606882624,-0.092870284135724,-0.01164133750420402,0.01167576194076192,74114,74114,10020,0.988876810701891,-0.01118551456967961,0.02047878662515685,0.9499708905769226,1.0293761171461508,-0.05132393635498705,0.02895290721562782,0.5849284220156884,10693,10693,678,0.039790761395843255,0.041070296250284404,-2.4288343390437006e-4,0.03865918636207266,0.04094995645788846,0.04154634778073695,0.04059424471983184,0.5732526600749265,4.192534641609935,FALSE,TRUE
Unadjusted,Multipollutant PM2.5 + NO2 + O3,HR,o3_prior_10ppb,63421,63421,9342,0.9684075393543669,-0.03210226857641349,0.0271105323832273,0.9182928669626798,1.0212571566413933,-0.085238912047539,0.02103437489471202,0.23636344770446216,74114,74114,10020,0.955941208857162,-0.0450588648330913,0.0260237718346562,0.9084045521143724,1.005965450816276,-0.09606545762901746,0.00594772796283485,0.08337150051249402,10693,10693,678,-0.012466330497204803,-0.012956596256677812,-0.0010867605485711009,-0.009888314848307322,-0.015291705825117186,-0.010826545581478456,-0.015086646931877171,-0.15299194719196813,-1.287302090348863,FALSE,FALSE
Adjusted + SDOH,Single-pollutant PM2.5,HR,pm25_prior_5ug,63342,63342,9332,1.253007999656194,0.2255470602959405,0.0268611978826134,1.188746169340792,1.320743727883524,0.17289911244601824,0.27819500814586273,4.5896266861337845e-17,74028,74028,10010,1.25930094842313,0.2305567641645583,0.02623704964790145,1.1961788049907374,1.3257540361716027,0.17913214685467146,0.2819813814744451,1.5299282079820703e-18,10686,10686,678,0.006292948766935869,0.005009703868617821,-6.241482347119492e-4,0.0074326356499454516,0.005010308288078802,0.006233034408653221,0.003786373328582393,-4.4366338653355776e-17,0.5022273416181333,FALSE,FALSE
Adjusted + SDOH,Single-pollutant PM2.5,HR,age,63342,63342,9332,1.0064833815563206,0.00646245484000858,7.59553823347e-4,1.0049861188702498,1.0079828749155406,0.00497372934624846,0.0079511803337687,1.7661618846616912e-17,74028,74028,10010,1.006112571935385,0.00609396594934162,7.306663470061859e-4,1.0046727432837996,1.007554464051476,0.0046618599092095,0.00752607198947375,7.411137351214181e-17,10686,10686,678,-3.708096209356082e-4,-3.6848889066696047e-4,-2.8887476340814133e-5,-3.1337558645017083e-4,-4.2841086406464335e-4,-3.118694370389599e-4,-4.251083442949506e-4,5.644975466552489e-17,-0.03684210069739846,FALSE,FALSE
