model_tier,model_type,organ,exposure,n_before,people_before,adverse_events_before,hazard_ratio_before,conf_low_before,conf_high_before,p_value_before,n_after,people_after,adverse_events_after,hazard_ratio_after,conf_low_after,conf_high_after,p_value_after,n_change,people_change,adverse_events_change,hazard_ratio_change,conf_low_change,conf_high_change,p_value_change,hr_relative_change_percent,direction_changed,significance_changed
Unadjusted,Single-pollutant PM2.5,HR,pm25_prior_5ug,63421,63421,9342,1.1768292388697286,1.1313441795004835,1.2241429995867257,5.671971506914111e-16,74114,74114,10020,1.182063620632933,1.1364359796479302,1.2295232008200905,8.226042337920894e-17,10693,10693,678,0.005234381763204343,0.005091800147446701,0.005380201233364801,-4.849367273122021e-16,0.4447868552477141,FALSE,FALSE
Unadjusted,Single-pollutant O3,HR,o3_prior_10ppb,79469,79469,10252,1.014117717033853,0.9687213034935144,1.0616415064818885,0.5485305498924392,74114,74114,10020,1.0100556500092293,0.9643141985345276,1.0579668096414925,0.6721856207799568,-5355,-5355,-232,-0.004062067024623639,-0.004407104958986774,-0.003674696840396008,0.12365507088751759,-0.40055182513767384,FALSE,FALSE
Unadjusted,Single-pollutant NO2,HR,no2_prior_10ppb,79469,79469,10252,1.0538288918949812,1.0204536261716617,1.08829573917922,0.00140783170806181,79469,79469,10252,1.075341015228168,1.0409419571959042,1.1108768275101062,1.1925285058384683e-5,0,0,0,0.02151212333318675,0.020488331024242523,0.022581088330886123,-0.0013959064230034252,2.041329811569681,FALSE,FALSE
Unadjusted,Multipollutant PM2.5 + NO2,HR,pm25_prior_5ug,63421,63421,9342,1.204438353311068,1.152253170559036,1.2589869865342682,1.8582837707779363e-16,74114,74114,10020,1.1812814620674357,1.1291028857425516,1.2358713366554548,4.905991061060474e-13,10693,10693,678,-0.023156891243632405,-0.0231502848164844,-0.023115649878813427,4.904132777289696e-13,-1.9226298448544732,FALSE,FALSE
Unadjusted,Multipollutant PM2.5 + NO2,HR,no2_prior_10ppb,63421,63421,9342,0.9579016247886106,0.9225038886358512,0.994657620500138,0.02516929350985634,74114,74114,10020,1.001126578039068,0.9640858206969524,1.0395904635664792,0.9533227595178482,10693,10693,678,0.043224953250457276,0.04158193206110117,0.044932843066341266,0.9281534660079919,4.512462671727491,TRUE,TRUE
Unadjusted,Multipollutant PM2.5 + NO2 + O3,HR,pm25_prior_5ug,63421,63421,9342,1.2193825678856514,1.1613236352707663,1.280344084719098,1.6031123295512649e-15,74114,74114,10020,1.201697979499045,1.144028006932932,1.2622750712227495,2.436413667193801e-13,10693,10693,678,-0.01768458838660636,-0.017295628337834268,-0.018069013496348596,2.4203825438982883e-13,-1.4502904053541266,FALSE,FALSE
Unadjusted,Multipollutant PM2.5 + NO2 + O3,HR,no2_prior_10ppb,63421,63421,9342,0.9490860493060478,0.9113123843274644,0.9884254230256214,0.01167576194076192,74114,74114,10020,0.988876810701891,0.9499715912309848,1.0293753579270706,0.5849284220156884,10693,10693,678,0.039790761395843255,0.03865920690352043,0.04094993490144916,0.5732526600749265,4.192534641609935,FALSE,TRUE
Unadjusted,Multipollutant PM2.5 + NO2 + O3,HR,o3_prior_10ppb,63421,63421,9342,0.9684075393543669,0.9182937635827054,1.0212561594881353,0.23636344770446216,74114,74114,10020,0.955941208857162,0.9084054035243072,1.0059645079674386,0.08337150051249402,10693,10693,678,-0.012466330497204803,-0.009888360058398216,-0.01529165152069667,-0.15299194719196813,-1.287302090348863,FALSE,FALSE
Adjusted + SDOH,Single-pollutant PM2.5,HR,pm25_prior_5ug,63342,63342,9332,1.253007999656194,1.1887473193562612,1.3207424501723628,4.5896266861337845e-17,74028,74028,10010,1.25930094842313,1.196179935307767,1.325752783414957,1.5299282079820703e-18,10686,10686,678,0.006292948766935869,0.007432615951505683,0.005010333242594145,-4.4366338653355776e-17,0.5022273416181333,FALSE,FALSE
Adjusted + SDOH,Single-pollutant O3,HR,o3_prior_10ppb,79381,79381,10242,1.0074675928541093,0.9407897085043112,1.078871230707773,0.8313661960219458,74028,74028,10010,0.9924269533463788,0.92575091409988,1.0639052500272363,0.8303668581435331,-5353,-5353,-232,-0.015040639507730491,-0.015038794404431233,-0.014965980680536672,-9.99337878412776e-4,-1.4929154659080401,TRUE,FALSE
Adjusted + SDOH,Single-pollutant NO2,HR,no2_prior_10ppb,79381,79381,10242,1.151191792485016,1.1064349845863082,1.1977590744569302,3.425756331313061e-12,79381,79381,10242,1.1752248160074383,1.129707356215239,1.2225762367228232,1.134635626503423e-15,0,0,0,0.024033023522422425,0.02327237162893092,0.024817162265893034,-3.424621695686558e-12,2.08766459935783,FALSE,FALSE
Adjusted + SDOH,Multipollutant PM2.5 + NO2,HR,pm25_prior_5ug,63342,63342,9332,1.231676316183793,1.1585225269592776,1.3094493309765418,2.5575752762071683e-11,74028,74028,10010,1.191399145447489,1.1207008015269762,1.266557427137559,2.0121657986189247e-8,10686,10686,678,-0.04027717073630388,-0.037821725432301445,-0.04289190383898278,2.0096082233427176e-8,-3.2701100286719798,FALSE,FALSE
Adjusted + SDOH,Multipollutant PM2.5 + NO2,HR,no2_prior_10ppb,63342,63342,9332,1.0269748162111407,0.9786167047038726,1.0777225322870914,0.27942348143269313,74028,74028,10010,1.0838453303630546,1.033636145005364,1.1364934419390906,8.779060056895024e-4,10686,10686,678,0.05687051415191391,0.05501944030149131,0.05877090965199927,-0.27854557542700364,5.537673685293343,FALSE,TRUE
Adjusted + SDOH,Multipollutant PM2.5 + NO2 + O3,HR,pm25_prior_5ug,63342,63342,9332,1.2202252241349922,1.144959922993782,1.3004381792875894,8.935853611946267e-10,74028,74028,10010,1.1881476357694802,1.115457532309671,1.265574675408345,8.689008922434518e-8,10686,10686,678,-0.032077588365512,-0.02950239068411098,-0.03486350387924442,8.599650386315055e-8,-2.6288252144805124,FALSE,FALSE
Adjusted + SDOH,Multipollutant PM2.5 + NO2 + O3,HR,no2_prior_10ppb,63342,63342,9332,1.0377641121157437,0.98510058113778,1.0932430383418383,0.16300839010059762,74028,74028,10010,1.0871269985998528,1.0336037248290515,1.1434218769675883,0.00118253082258441,10686,10686,678,0.049362886484109136,0.04850314369127151,0.05017883862575001,-0.1618258592780132,4.756657693959987,FALSE,TRUE
Adjusted + SDOH,Multipollutant PM2.5 + NO2 + O3,HR,o3_prior_10ppb,63342,63342,9332,1.0412800296972224,0.9650182776820042,1.1235684601235485,0.2972376689080876,74028,74028,10010,1.0129421209874174,0.941112243071685,1.0902543751014966,0.7318538913775493,10686,10686,678,-0.028337908709805015,-0.02390603461031926,-0.03331408502205191,0.4346162224694617,-2.7214493605572154,FALSE,FALSE
