term,estimate,std.error,statistic,p.value,conf.low,conf.high,model,subgroup,N,events,HR,HR_low,HR_high,status
pm25_interval_5ug,0.0872182486065768,0.0221522407953995,3.93722014003612,8.24309802405381e-05,0.0438006544707348,0.130635842742419,Single pollutant,All,48311,5776,1.09113479238148,1.04477406308955,1.1395527293477,OK
age,0.0233244714760449,0.00113254956088878,20.594658531094,3.0643995989776e-94,0.0211047151259962,0.0255442278260935,Single pollutant,All,48311,5776,1.02359861422316,1.02132899463251,1.02587327741201,OK
sexM,-0.0248513662298549,0.0273630937897349,-0.908207471743484,0.363768617245723,-0.0784820445633268,0.028779312103617,Single pollutant,All,48311,5776,0.975454886791423,0.924518659918774,1.02919743799316,OK
raceBLACK,-0.262270610667007,0.0821577988851328,-3.19227893427007,0.00141154948220634,-0.423296937530952,-0.101244283803061,Single pollutant,All,48311,5776,0.769302813989337,0.654884144556816,0.903712243655592,OK
raceMULTI,-0.52122051931024,0.247673178296351,-2.1044689735704,0.0353375583112249,-1.00665102870766,-0.035790009912825,Single pollutant,All,48311,5776,0.593795366799896,0.365440783228983,0.964842879652243,OK
raceMissing,-2.03339633648967,1.00380390356194,-2.02569080402485,0.0427964796509664,-4.0008158350118,-0.0659768379675529,Single pollutant,All,48311,5776,0.130890218153083,0.0183007024429315,0.936152547236182,OK
raceNATIVE,-0.185761209285193,0.21084446780654,-0.881034305607858,0.378299252320921,-0.599008772525526,0.22748635395514,Single pollutant,All,48311,5776,0.830471880280566,0.54935590296761,1.25544030784248,OK
racePACIFIC,0.186425312146519,0.3653164268237,0.510311878848216,0.609832981919283,-0.529581727388795,0.902432351681834,Single pollutant,All,48311,5776,1.20493462474418,0.588851218511972,2.46559301274142,OK
raceWHITE,-0.250042255276602,0.0718266906998053,-3.4811885782353,0.000499193900407649,-0.390819982176918,-0.109264528376286,Single pollutant,All,48311,5776,0.778767875324166,0.676501927482741,0.896493238228636,OK
zcta_svi_proxy,0.389320334239568,0.0780225819832476,4.98984171432778,6.04287879424519e-07,0.236398883571579,0.542241784907557,Single pollutant,All,48311,5776,1.4759772816733,1.26667946704065,1.71985809567543,OK
lung_composite,0.732370834495229,0.0164414966869683,44.5440490266141,0,0.700146093136837,0.764595575853622,Single pollutant,All,48311,5776,2.08000611683556,2.01404692441134,2.14812544515956,OK
missing_diagnosis,-0.598879680980636,0.143206285854721,-4.18193710846035,2.89035930223131e-05,-0.879558843615636,-0.318200518345636,Single pollutant,All,48311,5776,0.549426824747421,0.414965936179439,0.727456905333788,OK
missing_functional_dependence,0.120298705900362,0.0967883853435437,1.24290435751532,0.213903079771704,-0.069403043494768,0.310000455295492,Single pollutant,All,48311,5776,1.12783369184717,0.932950584627807,1.36342573489363,OK
missing_low_BMI,0.848219403831821,0.230713060681131,3.67651229335538,0.000236444465980179,0.396030114133802,1.30040869352984,Single pollutant,All,48311,5776,2.3354845924579,1.48591406389258,3.67079659191017,OK
missing_pulmonary_pressure,0.211328072235039,0.0600577939053605,3.51874517016145,0.000433592975138392,0.0936169591896034,0.329039185280475,Single pollutant,All,48311,5776,1.23531756198273,1.09813903328203,1.38963230765248,OK
pm25_interval_5ug,0.0767873297718617,0.0193551991998433,3.96727147982457,7.27001642918785e-05,0.0388518364265703,0.114722823117153,No center strata,All,48311,5776,1.07981240802049,1.03961643895194,1.12156252328068,OK
age,0.0219666332316219,0.00101428937627002,21.6571658399921,5.20273798358389e-104,0.0199786625842311,0.0239546038790127,No center strata,All,48311,5776,1.0222096760679,1.02017957179884,1.02424382013884,OK
sexM,-0.0266864298063727,0.0269780220406939,-0.989191489506482,0.322569461505018,-0.0795623813802606,0.0261895217675151,No center strata,All,48311,5776,0.973666506455801,0.923520407693928,1.02653548085755,OK
raceBLACK,-0.23048906336292,0.0802577020450875,-2.87186223240524,0.00408060819410138,-0.387791268853238,-0.0731868578726015,No center strata,All,48311,5776,0.794145120231708,0.678553963830289,0.929427143020223,OK
raceMULTI,-0.505333141117784,0.245712860853416,-2.05660029093572,0.0397246902320114,-0.98692149892878,-0.0237447833067875,No center strata,All,48311,5776,0.603304556390766,0.37272235281913,0.976534905966548,OK
raceMissing,-2.14897216619416,1.00250269979179,-2.14360736049936,0.032064360521747,-4.11384135219023,-0.184102980198086,No center strata,All,48311,5776,0.116603945679185,0.0163448673872721,0.831850135323954,OK
raceNATIVE,-0.231798846727291,0.208398028359608,-1.11228905835569,0.266013886813777,-0.640251476761279,0.176653783306697,No center strata,All,48311,5776,0.793105643057891,0.52715983892374,1.19321790964669,OK
racePACIFIC,0.211873957739626,0.36047785937851,0.587758588294195,0.556694343875127,-0.494649663866347,0.9183975793456,No center strata,All,48311,5776,1.23599208802363,0.609784499423494,2.50527267108512,OK
raceWHITE,-0.228278487291564,0.0706433208023844,-3.23142350470959,0.00123175288574387,-0.366736851812547,-0.0898201227705819,No center strata,All,48311,5776,0.795902580215495,0.692991980636323,0.914095595467096,OK
zcta_svi_proxy,0.390685813059308,0.0755593358795005,5.17058294004014,2.33364868450287e-07,0.242592236039722,0.538779390078894,No center strata,All,48311,5776,1.47799407402009,1.27454880307601,1.71391356499375,OK
lung_composite,0.71159622871081,0.0160087345518539,44.4504983455051,0,0.680219685551115,0.742972771870505,No center strata,All,48311,5776,2.03724056652068,1.97431141228276,2.10217552309983,OK
missing_diagnosis,-0.730596623766344,0.139425166056788,-5.24006278370699,1.60521974488096e-07,-1.00386492777617,-0.457328319756523,No center strata,All,48311,5776,0.481621557486587,0.36646035779484,0.632972488570418,OK
missing_functional_dependence,0.168491502613313,0.0900021443197105,1.87208320298223,0.0611950934456566,-0.00790945878469587,0.344892464011322,No center strata,All,48311,5776,1.18351816999059,0.992121738678569,1.41183808809947,OK
