term,estimate,std.error,statistic,p.value,conf.low,conf.high,pollutant,era_definition,status
age,1.02462773253868,0.00114130980716349,21.3170505518122,7.88754577587721e-101,1.02233827762873,1.02692231452242,pm25,listing_era,OK
sexM,0.975769180157311,0.0274093874792677,-0.894920264000291,0.370829713491139,0.924732633074063,1.02962246479801,pm25,listing_era,OK
raceBLACK,0.763339465409949,0.0824660307219196,-3.27471124148946,0.00105770027498288,0.649415281408853,0.897248888551336,pm25,listing_era,OK
raceMULTI,0.603678927822295,0.247934522173962,-2.03566971800401,0.0417835318334551,0.371333190125162,0.981404995804016,pm25,listing_era,OK
raceMissing,0.192879605669769,1.01752185876524,-1.61735010935423,0.10580272849686,0.0262524677141106,1.41710648646296,pm25,listing_era,OK
raceNATIVE,0.826119332254811,0.211232180872109,-0.904294246573431,0.365839396751304,0.546061587085193,1.24980985161049,pm25,listing_era,OK
racePACIFIC,1.21296686723943,0.365635649973344,0.528037446235449,0.597473345916757,0.592405809127413,2.48358236592544,pm25,listing_era,OK
raceWHITE,0.767941931726597,0.0721580567546315,-3.65920550385485,0.000252998399832971,0.666664504837286,0.884605084303858,pm25,listing_era,OK
zcta_svi_proxy,1.49916316563646,0.0780615724639807,5.18702160452901,2.13683949806449e-07,1.28647920969574,1.74700856435345,pm25,listing_era,OK
lung_composite,2.08317122911183,0.0163933585489027,44.7676026750262,0,2.01730198911295,2.15119124118224,pm25,listing_era,OK
missing_diagnosis,0.594271428374632,0.144074025954909,-3.61216472167329,0.000303651573696326,0.44807304371841,0.788171784786872,pm25,listing_era,OK
missing_functional_dependence,1.14393047783617,0.0972273322424106,1.38304854085134,0.166649982644008,0.94545219801838,1.38407519794781,pm25,listing_era,OK
missing_low_BMI,2.27643500763758,0.231179566080337,3.55831892967386,0.000373235954289628,1.44702106125136,3.58125840927047,pm25,listing_era,OK
missing_pulmonary_pressure,1.25342284902971,0.0603784050285304,3.74104099263127,0.000183259624435488,1.11353383005387,1.41088559329513,pm25,listing_era,OK
