term,estimate,std.error,statistic,p.value,conf.low,conf.high,pollutant,era_definition,status
pm25_interval_5ug:eraPre-CAS,1.08682167875398,0.0230067355179812,3.61883352082315,0.000295933929557656,1.03890281707026,1.13695077345211,pm25,listing_era,OK
pm25_interval_5ug:eraPost-CAS,0.943608745472805,0.115949277820138,-0.500595298078198,0.616655972228111,0.751788629861906,1.18437208167982,pm25,listing_era,OK
age,1.02488587253322,0.00114448293516821,21.4780507125129,2.49769743218552e-102,1.02258948110327,1.02718742088458,pm25,calendar_era,OK
sexM,0.976710106680473,0.0274463921513211,-0.858596957606773,0.390562917211089,0.92555721437187,1.03069007261662,pm25,calendar_era,OK
raceBLACK,0.766142535285668,0.0826116768215949,-3.22456896415071,0.00126162465346295,0.651613971643672,0.900800796050045,pm25,calendar_era,OK
raceMULTI,0.594779617197017,0.248629314754863,-2.08971469766579,0.0366434359241904,0.365361196326212,0.968254966838827,pm25,calendar_era,OK
raceMissing,0.189371373263792,1.01606575045521,-1.63773383094417,0.101477230050991,0.0258486337919133,1.38736605193554,pm25,calendar_era,OK
raceNATIVE,0.829289033457469,0.211280391287906,-0.88596263158105,0.375637664088462,0.54810495369501,1.25472374656826,pm25,calendar_era,OK
racePACIFIC,1.18668037510451,0.365807354044707,0.467896028581613,0.639858943672785,0.579372631310088,2.43057789850015,pm25,calendar_era,OK
raceWHITE,0.766004836316948,0.0722579888253531,-3.6890979096591,0.000225050604655402,0.664852643751132,0.88254655339927,pm25,calendar_era,OK
zcta_svi_proxy,1.49968234348287,0.0782139311810496,5.18134440438773,2.20292309191656e-07,1.28654049158607,1.74813552007338,pm25,calendar_era,OK
lung_composite,2.09746577562828,0.0164725166744029,44.9676183137567,0,2.03082944472961,2.16628860259494,pm25,calendar_era,OK
missing_diagnosis,0.612239078610683,0.144938716036188,-3.38510257885152,0.00071151659484372,0.46083874789313,0.813379280912775,pm25,calendar_era,OK
missing_functional_dependence,1.1690209509148,0.0975556329649698,1.60079535815443,0.10942225205805,0.965567833030442,1.41534332123372,pm25,calendar_era,OK
missing_low_BMI,2.25017194464317,0.2319682249063,3.49619709106919,0.000471939977113851,1.4281176761131,3.54541776574035,pm25,calendar_era,OK
missing_pulmonary_pressure,1.24391264378497,0.0604754087652451,3.60909953764441,0.000307261704697626,1.10487493402163,1.40044689016163,pm25,calendar_era,OK
pm25_interval_5ug:eraPre-CAS,1.0894754342214,0.0234268823723945,3.65803379346565,0.000254157542116062,1.04058232222898,1.14066585258664,pm25,calendar_era,OK
pm25_interval_5ug:eraPost-CAS,0.932806604903967,0.100344466808065,-0.693186031025221,0.48819281338486,0.76626369152177,1.13554664246772,pm25,calendar_era,OK
age,1.02477908095376,0.00113184335890467,21.6258357579989,1.02641432657593e-103,1.02250825920455,1.02705494582254,no2,listing_era,OK
sexM,0.974668458509587,0.0270487133146058,-0.948581474752964,0.342833516625005,0.924342678153528,1.02773422288705,no2,listing_era,OK
raceBLACK,0.752267370314054,0.0807707454104047,-3.52433880790466,0.000424541030295373,0.642125684244001,0.881301294006772,no2,listing_era,OK
raceMULTI,0.58707025553289,0.247428794463862,-2.15258204577163,0.0313515408341865,0.36147503239206,0.953458618291622,no2,listing_era,OK
raceMissing,0.285251587887801,0.595099729744869,-2.10785463495355,0.0350435652786765,0.0888542616387117,0.915752006621388,no2,listing_era,OK
raceNATIVE,0.813052714434305,0.210723416790931,-0.98213732144945,0.326032201161923,0.537960769973887,1.22881584187092,no2,listing_era,OK
racePACIFIC,1.25436019761591,0.345594269000675,0.655756360049015,0.511980899285625,0.637164967920596,2.46940680134678,no2,listing_era,OK
raceWHITE,0.768962806540971,0.0706129468634166,-3.7204604583471,0.00019885987699136,0.669575392959919,0.883102640957958,no2,listing_era,OK
zcta_svi_proxy,1.46908930011419,0.0779235883739008,4.93615210876898,7.96789720828639e-07,1.26101286394643,1.71149988506515,no2,listing_era,OK
lung_composite,2.08992568688556,0.0162372770745443,45.3972981705231,0,2.02446208970421,2.15750613405769,no2,listing_era,OK
missing_diagnosis,0.5974583102534,0.136684526962807,-3.76831805830808,0.000164351210225353,0.457047698094529,0.781004770353356,no2,listing_era,OK
missing_functional_dependence,1.16098482985315,0.0955897783708345,1.56155437041278,0.118393005913038,0.962632185452075,1.40020850696588,no2,listing_era,OK
missing_low_BMI,2.20729982823557,0.23125062436675,3.42386090206957,0.000617382130542816,1.40287973307393,3.47297948417366,no2,listing_era,OK
missing_pulmonary_pressure,1.2561229244369,0.059593134570503,3.8264463629094,0.000130006460691798,1.11765141814443,1.41175036838901,no2,listing_era,OK
no2_interval_10ppb:eraPre-CAS,1.11175525376542,0.0267227154264821,3.96442032100268,7.35745161311537e-05,1.05502505584708,1.17153591511874,no2,listing_era,OK
no2_interval_10ppb:eraPost-CAS,0.919638176706066,0.239154349545185,-0.350296670935427,0.726116063401363,0.575504124324093,1.46955397938901,no2,listing_era,OK
age,1.02490496847428,0.00113497979884336,21.6743017220542,3.58635360374746e-104,1.02262758134184,1.02718742733787,no2,calendar_era,OK
sexM,0.976295649090801,0.0270952422266253,-0.885388626118365,0.375947064694773,0.92580141849242,1.02954389072524,no2,calendar_era,OK
raceBLACK,0.753583986318694,0.0810117991993156,-3.49226666138843,0.000478939847920819,0.642945694814383,0.883260948811426,no2,calendar_era,OK
raceMULTI,0.575069660986113,0.248080032100416,-2.23018390999638,0.0257352359929354,0.353634274000288,0.935161378012851,no2,calendar_era,OK
raceMissing,0.289445707780753,0.594064940923764,-2.08695624340157,0.0368920900671594,0.0903437512314025,0.927333840036301,no2,calendar_era,OK
raceNATIVE,0.813554065816599,0.210832584435499,-0.978704948944573,0.327725786090246,0.538177328610094,1.22983667802595,no2,calendar_era,OK
racePACIFIC,1.24818868176688,0.34567963330246,0.64132631626236,0.521310694766555,0.633924012626715,2.45766835497419,no2,calendar_era,OK
raceWHITE,0.76709201498468,0.0708034505180788,-3.74485304719984,0.000180499394718053,0.667697047234699,0.88128315362524,no2,calendar_era,OK
zcta_svi_proxy,1.47904849384453,0.0781485596574816,5.00839648449071,5.48853811384207e-07,1.2690018024279,1.72386236407104,no2,calendar_era,OK
lung_composite,2.10323031133663,0.0163141433646554,45.5723840179735,0,2.03704305379509,2.17156811402876,no2,calendar_era,OK
missing_diagnosis,0.609542193475447,0.137135559654011,-3.6099105682802,0.000306302593786528,0.465879685411862,0.797505659209839,no2,calendar_era,OK
missing_functional_dependence,1.1897611244773,0.0959048926095724,1.81171728065333,0.0700298921071981,0.985883008342475,1.43580072010508,no2,calendar_era,OK
missing_low_BMI,2.18763872303182,0.23191872434233,3.37541850362423,0.000737035174747518,1.3885643982709,3.44655472116939,no2,calendar_era,OK
missing_pulmonary_pressure,1.25038185905799,0.0597110039819718,3.74217442360101,0.000182434812775409,1.11228624205488,1.40562270245556,no2,calendar_era,OK
no2_interval_10ppb:eraPre-CAS,1.09806835774894,0.0269341903311523,3.47337702010756,0.00051395283658484,1.04160475207904,1.15759275856104,no2,calendar_era,OK
no2_interval_10ppb:eraPost-CAS,0.918063678205566,0.221637296727761,-0.385713622176952,0.699708773056077,0.594586160650161,1.41752528568562,no2,calendar_era,OK
age,1.02435371447584,0.00113826018847329,21.1391837372158,3.47027735450546e-99,1.02207098088494,1.02664154641387,o3,listing_era,OK
sexM,0.976690295409702,0.0274085279038248,-0.860523146748041,0.389500729799071,0.92560712979688,1.03059268067309,o3,listing_era,OK
raceBLACK,0.764715696202619,0.0824751988363809,-3.25250689863104,0.00114391819027056,0.650574426993992,0.898882697742524,o3,listing_era,OK
raceMULTI,0.605524350873928,0.247965506602457,-2.02310598570468,0.0430622215627762,0.372445722568563,0.984464895911898,o3,listing_era,OK
raceMissing,0.19303651748609,1.01760724334071,-1.61641528101029,0.106004556689543,0.026269428101157,1.41849670041032,o3,listing_era,OK
raceNATIVE,0.820005545851164,0.211234807259303,-0.939448276012489,0.347500636791575,0.54201760852155,1.24056688316968,o3,listing_era,OK
racePACIFIC,1.20701605210169,0.365538757919996,0.514723096041808,0.606746531740499,0.589611425868978,2.47092862538062,o3,listing_era,OK
raceWHITE,0.769418250904582,0.0721858146704563,-3.63119221116462,0.00028211496991548,0.667909786352107,0.886353901263209,o3,listing_era,OK
zcta_svi_proxy,1.51324142246272,0.07803978385035,5.30824109251333,1.10688171176661e-07,1.29861566210007,1.76333896894009,o3,listing_era,OK
lung_composite,2.07604900445043,0.0163730326134644,44.614005694397,0,2.01048505933914,2.14375105592496,o3,listing_era,OK
missing_diagnosis,0.589958276967837,0.144048980714066,-3.66336130232037,0.000248927030640255,0.444842818619983,0.78241291978727,o3,listing_era,OK
missing_functional_dependence,1.1472054399145,0.0972853239661647,1.41160996499005,0.15806483663304,0.948051172797216,1.38819544675668,o3,listing_era,OK
missing_low_BMI,2.25194415233592,0.231221983579406,3.51088550605222,0.000446616711820033,1.43133439222204,3.54302425261171,o3,listing_era,OK
missing_pulmonary_pressure,1.26117845059852,0.0604371082571614,3.83947162277567,0.000123299379057643,1.12029495868338,1.41977884656679,o3,listing_era,OK
o3_interval_10ppb:eraPre-CAS,0.97439568509326,0.0144335294994785,-1.79705250248807,0.0723272851433373,0.947217055964206,1.0023541543621,o3,listing_era,OK
o3_interval_10ppb:eraPost-CAS,0.955274680488905,0.0786273605750019,-0.581939365303914,0.56060752371663,0.818842803037193,1.11443821915319,o3,listing_era,OK
age,1.02459373526405,0.00114127288009545,21.2886668950262,1.44582421234275e-100,1.02230443030851,1.0268881667915,o3,calendar_era,OK
sexM,0.97772238582704,0.0274474503694969,-0.820823355619438,0.411746893062791,0.92651455612382,1.03176043746858,o3,calendar_era,OK
raceBLACK,0.766926576816466,0.0826171720529621,-3.21197401644331,0.00131826297636062,0.652273783615039,0.901732353809509,o3,calendar_era,OK
raceMULTI,0.597554576258316,0.248586967636314,-2.07134614990367,0.0383264593938682,0.367096265347868,0.972691648793779,o3,calendar_era,OK
raceMissing,0.186735125973807,1.01621212293159,-1.65129313752612,0.0986787328802054,0.0254814825156841,1.36844499730308,o3,calendar_era,OK
raceNATIVE,0.821599058919813,0.211274395111241,-0.930083201463064,0.352328007676678,0.54302877323678,1.24307411851193,o3,calendar_era,OK
racePACIFIC,1.17878780859452,0.365716911923129,0.449764898062551,0.652879970716669,0.57562127322982,2.41398426763199,o3,calendar_era,OK
raceWHITE,0.766663017457629,0.0722834678665743,-3.67591557827124,0.000236997892736165,0.665390681883099,0.883348983297757,o3,calendar_era,OK
zcta_svi_proxy,1.51580702963859,0.0781868678294299,5.31992138205411,1.0381210224941e-07,1.30044243990236,1.7668378704053,o3,calendar_era,OK
lung_composite,2.09007442261989,0.0164513756756424,44.8108224373757,0,2.02375676828467,2.15856527847094,o3,calendar_era,OK
missing_diagnosis,0.606531239644553,0.144937729022471,-3.44975078074286,0.000561104295560445,0.456543281085431,0.805794674691354,o3,calendar_era,OK
missing_functional_dependence,1.17340857782733,0.0976012020056561,1.638430925334,0.101331832377061,0.969105291473494,1.4207823470092,o3,calendar_era,OK
missing_low_BMI,2.22810199028205,0.231982153300825,3.45349884129304,0.000553364680782847,1.41407192440896,3.51073972504886,o3,calendar_era,OK
missing_pulmonary_pressure,1.25209253231154,0.0605266680002065,3.71433262348398,0.000203740666277781,1.11202879264476,1.40979776768347,o3,calendar_era,OK
o3_interval_10ppb:eraPre-CAS,0.982457727571611,0.0145202186285729,-1.21884952213588,0.222901311430584,0.954891968302639,1.01081925338727,o3,calendar_era,OK
o3_interval_10ppb:eraPost-CAS,0.902758650736162,0.0693969188316295,-1.47412936977692,0.140446762176076,0.787954054126868,1.03429023203903,o3,calendar_era,OK
