era,component,N,missing_n,missing_percent,median,q25,q75
All,diagnosis,52613,1262,2.39864672229297,1.51440083414275,0.40107198445555,1.51440083414275
All,functional_dependence,52613,956,1.81704141561971,0.59790409246653,0,0.59790409246653
All,ventilation,52613,0,0,0,0,0
All,low_BMI,52613,87,0.165358371505141,0,0,0
All,pulmonary_pressure,52613,4194,7.97141390910992,0.43066731515465,0.28300994995877,0.59062946078352
Pre-CAS,diagnosis,42874,633,1.47641927508513,1.51440083414275,0.40107198445555,1.51440083414275
Pre-CAS,functional_dependence,42874,643,1.4997434342492,0.59790409246653,0,0.59790409246653
Pre-CAS,ventilation,42874,0,0,0,0,0
Pre-CAS,low_BMI,42874,74,0.17259877781406,0,0,0
Pre-CAS,pulmonary_pressure,42874,3003,7.00424499696786,0.43066731515465,0.278835231844265,0.59062946078352
Post-CAS,diagnosis,9739,629,6.45856864154431,1.51440083414275,1.26319338239175,1.51440083414275
Post-CAS,functional_dependence,9739,313,3.21388232878119,0.59790409246653,0,0.59790409246653
Post-CAS,ventilation,9739,0,0,0,0,0
Post-CAS,low_BMI,9739,13,0.133483930588356,0,0,0
Post-CAS,pulmonary_pressure,9739,1191,12.2291816408255,0.44297209558764,0.30761951082475,0.60293424121651
