variable,N,missing_n,missing_percent,median,q25,q75
CAN_BMI,52613,87,0.17,26,22,29
CAN_PULM_ART_SYST,52613,3186,6.06,39,32,49
CAN_PULM_ART_MEAN,52613,4101,7.79,25,20,32
