era,N,median,q25,q75
All,52613,2.46914355916599,1.80971556453451,2.72020446194773
Pre-CAS,42874,2.456838778733,1.75572189936246,2.72754394825878
Post-CAS,9739,2.50605790046496,1.93276336886441,2.69062960695981
