term,estimate,std.error,statistic,p.value,conf.low,conf.high,model,subgroup,N,events,HR,HR_low,HR_high,status,Pollutant,HR_CI,P
pm25_interval_5ug,0.0872182486065768,0.0221522407953995,3.93722014003612,8.24309802405381e-05,0.0438006544707348,0.130635842742419,Single pollutant,All,48311,5776,1.09113479238148,1.04477406308955,1.1395527293477,OK,PM2.5,1.09 (1.04-1.14),<.001
pm25_interval_5ug,0.0767873297718617,0.0193551991998433,3.96727147982457,7.27001642918785e-05,0.0388518364265703,0.114722823117153,No center strata,All,48311,5776,1.07981240802049,1.03961643895194,1.12156252328068,OK,PM2.5,1.08 (1.04-1.12),<.001
pm25_interval_5ug,0.0885140611696555,0.0227434937041612,3.8918409951001,9.94864395844643e-05,0.0439376326268861,0.133090489712425,Exclude multi-organ,All,45717,5437,1.09254961502797,1.04491718411631,1.14235336488149,OK,PM2.5,1.09 (1.04-1.14),<.001
pm25_interval_5ug,0.0857452166453938,0.0221678398088198,3.86800055327352,0.000109731416038403,0.0422970490050537,0.129193384285734,Adjust multi-organ,All,48311,5776,1.08952869916208,1.04320431553413,1.13791015683252,OK,PM2.5,1.09 (1.04-1.14),<.001
pm25_interval_5ug,-0.12073183913068,0.104691526796029,-1.15321500054061,0.248822147999535,-0.325923461137406,0.0844597828760463,Age subgroup,<18,1215,283,0.886271591090038,0.721860435694069,1.08812908192985,OK,PM2.5,0.89 (0.72-1.09),0.249
pm25_interval_5ug,0.174915578979581,0.0577187789744576,3.03047954387578,0.00244165726136287,0.0617888509580167,0.288042307001146,Age subgroup,18-39,5477,799,1.19114565463601,1.06373771381437,1.33381373258883,OK,PM2.5,1.19 (1.06-1.33),0.002
pm25_interval_5ug,0.0753628008296185,0.0365004069660003,2.06471124828329,0.038950329651839,0.00382331775520309,0.146902283904034,Age subgroup,40-59,16946,2193,1.07827527909533,1.00383063595816,1.1582407787329,OK,PM2.5,1.08 (1.00-1.16),0.039
pm25_interval_5ug,0.0566304067462015,0.0351998248451915,1.6088263789738,0.107654311107336,-0.0123599822124921,0.125620795704895,Age subgroup,60+,24673,2501,1.05826461064673,0.987716088633672,1.13385212515521,OK,PM2.5,1.06 (0.99-1.13),0.108
pm25_interval_5ug,0.0697628722834349,0.0307865771049727,2.26601586936947,0.023450411632743,0.00942228995042301,0.130103454616447,Sex subgroup,Female,20774,3042,1.07225388998914,1.00946681947118,1.13894620647279,OK,PM2.5,1.07 (1.01-1.14),0.023
pm25_interval_5ug,0.108233481828452,0.0321258274264101,3.36904884633339,0.000754280604191137,0.0452680170991395,0.171198946557765,Sex subgroup,Male,27537,2734,1.11430788565888,1.04630825083445,1.1867268207541,OK,PM2.5,1.11 (1.05-1.19),<.001
pm25_interval_5ug,0.10379991907361,0.023991525996568,4.32652425229052,1.51480648290663e-05,0.0567773921861802,0.150822445961039,Race subgroup,White,41708,4838,1.10937846723713,1.05842017156846,1.16279018165878,OK,PM2.5,1.11 (1.06-1.16),<.001
pm25_interval_5ug,-0.00161940737983684,0.0776835695840488,-0.0208462019511699,0.983368341907527,-0.153876405955084,0.15063759119541,Race subgroup,Black,4796,675,0.99838190315277,0.857377981276022,1.16257525421807,Loglik converged before variable  8 ; beta may be infinite.,PM2.5,1.00 (0.86-1.16),0.983
pm25_interval_5ug,0.0838081109145579,0.0230005890102787,3.64373759633308,0.000268707372027094,0.0387277848312039,0.128888436997912,listing_era,Pre-CAS,42254,5542,1.08742020971783,1.03948748087301,1.13756320711979,OK,PM2.5,1.09 (1.04-1.14),<.001
pm25_interval_5ug,0.0870608222145705,0.0234215278820265,3.71712821866674,0.000201500193634433,0.0411554711028979,0.132966173326243,calendar_era,Pre-CAS,42254,5468,1.09096303248805,1.04201409603348,1.14221136046635,OK,PM2.5,1.09 (1.04-1.14),<.001
pm25_interval_5ug,-0.0806065102599246,0.100923770341266,-0.798687068342374,0.424471887002931,-0.278413465312797,0.117200444792948,calendar_era,Post-CAS,7321,308,0.922556636603469,0.756983770269523,1.12434477616088,"Loglik converged before variable  5,7,14 ; beta may be infinite. ",PM2.5,0.92 (0.76-1.12),0.424
no2_interval_10ppb,0.159238598240257,0.0259519720228142,6.13589588106335,8.46806073828556e-10,0.10837366774775,0.210103528732764,Single pollutant,All,51932,5939,1.17261769782452,1.11446410688396,1.23380578769456,OK,NO2,1.17 (1.11-1.23),<.001
no2_interval_10ppb,0.148924427775871,0.0232513520996858,6.40497925184677,1.50389830879112e-10,0.103352615068627,0.194496240483115,No center strata,All,51932,5939,1.16058527788412,1.10888234877185,1.21469891619537,OK,NO2,1.16 (1.11-1.21),<.001
no2_interval_10ppb,0.185141684443842,0.0265557487551855,6.97181187209756,3.1288478376298e-12,0.133093373301184,0.2371899955865,Exclude multi-organ,All,49197,5578,1.20338892954077,1.14235665896357,1.26768194887151,OK,NO2,1.20 (1.14-1.27),<.001
no2_interval_10ppb,0.158238525051306,0.0259511897687581,6.09754413810366,1.07710384603621e-09,0.107375127748576,0.209101922354037,Adjust multi-organ,All,51932,5939,1.17144558050328,1.11335182531683,1.23257061862736,OK,NO2,1.17 (1.11-1.23),<.001
no2_interval_10ppb,-0.117355406985526,0.114442260213616,-1.02545516635614,0.305148469606126,-0.341658115313575,0.106947301342522,Age subgroup,<18,1248,284,0.889269084548473,0.710591103401702,1.11287560588362,OK,NO2,0.89 (0.71-1.11),0.305
no2_interval_10ppb,0.113642603498164,0.0687992911422608,1.65179904634741,0.098575523176493,-0.0212015293025528,0.248486736298881,Age subgroup,18-39,5715,813,1.12035164356487,0.979021643138177,1.28208381707997,OK,NO2,1.12 (0.98-1.28),0.099
no2_interval_10ppb,0.109682932572009,0.0414112843474803,2.64862426510766,0.0080820130721902,0.0285183066974005,0.190847558446618,Age subgroup,40-59,17908,2230,1.11592419114691,1.02892884695116,1.21027494182599,OK,NO2,1.12 (1.03-1.21),0.008
no2_interval_10ppb,0.236443943524729,0.0422506188930808,5.59622438012263,2.1907014424476e-08,0.153634252169763,0.319253634879695,Age subgroup,60+,27061,2612,1.26673654484404,1.1660643232797,1.37610030768305,OK,NO2,1.27 (1.17-1.38),<.001
no2_interval_10ppb,0.140789735746189,0.0357698158996982,3.9359927415052,8.28534770497525e-05,0.0706821848491528,0.210897286643226,Sex subgroup,Female,22171,3119,1.15118256999138,1.07324007970269,1.23478551958204,OK,NO2,1.15 (1.07-1.23),<.001
no2_interval_10ppb,0.192418061815903,0.0382395577470804,5.0319112759769,4.85614009283144e-07,0.117469905846886,0.267366217784921,Sex subgroup,Male,29761,2820,1.21217717604153,1.12464778411184,1.30651882916073,OK,NO2,1.21 (1.12-1.31),<.001
no2_interval_10ppb,0.152763498652325,0.0288908272989557,5.28761246853762,1.23923168408134e-07,0.0961385176628055,0.209388479641845,Race subgroup,White,44636,4965,1.16504941060217,1.10091154912753,1.23292387133202,OK,NO2,1.17 (1.10-1.23),<.001
no2_interval_10ppb,0.217016902625098,0.0740979562307162,2.9287839188085,0.00340290894145043,0.0717875770848688,0.362246228165327,Race subgroup,Black,5210,697,1.24236510119183,1.07442708688725,1.43655261813161,Loglik converged before variable  8 ; beta may be infinite.,NO2,1.24 (1.07-1.44),0.003
no2_interval_10ppb,0.109380471391752,0.0267616083543857,4.08721590807626,4.36580785098734e-05,0.0569286828487895,0.161832259934714,listing_era,Pre-CAS,42254,5557,1.11558671843775,1.05858031277116,1.17566301898886,OK,NO2,1.12 (1.06-1.18),<.001
no2_interval_10ppb,-0.184598543399906,0.250736377688592,-0.736225613138483,0.461593407254415,-0.676032813283579,0.306835726483767,listing_era,Post-CAS,9678,382,0.831438003134667,0.508630828558872,1.35911768269184,"Loglik converged before variable  5,7,14 ; beta may be infinite. ",NO2,0.83 (0.51-1.36),0.462
no2_interval_10ppb,0.0977436944979017,0.0269910141303113,3.62134205206222,0.000293078715754385,0.04484227889628,0.150645110099523,calendar_era,Pre-CAS,42254,5468,1.10268012590318,1.04586289224991,1.16258399554279,OK,NO2,1.10 (1.05-1.16),<.001
no2_interval_10ppb,-0.177774574230949,0.231517800473685,-0.767865684052036,0.442566986455542,-0.631541124939301,0.275991976477404,calendar_era,Post-CAS,10942,471,0.837131113145191,0.531771642645478,1.31783729028761,"Loglik converged before variable  5,7,14 ; beta may be infinite. ",NO2,0.84 (0.53-1.32),0.443
o3_interval_10ppb,-0.0302277272487926,0.0141747492524741,-2.13250525355972,0.0329653330671194,-0.0580097252735278,-0.00244572922405737,Single pollutant,All,48311,5776,0.970224561818647,0.943640770227571,0.997557259134926,OK,O3,0.97 (0.94-1.00),0.033
o3_interval_10ppb,-0.0319220818381451,0.0134680492016362,-2.37020828779472,0.017778066768716,-0.0583189732153654,-0.00552519046092484,No center strata,All,48311,5776,0.968582049271912,0.9433489963791,0.994490045330758,OK,O3,0.97 (0.94-0.99),0.018
o3_interval_10ppb,-0.0308178535675241,0.0145755600004547,-2.11435125419282,0.0344852777530438,-0.0593854262229179,-0.00225028091213032,Exclude multi-organ,All,45717,5437,0.969652175676313,0.942343495259885,0.997752249071881,OK,O3,0.97 (0.94-1.00),0.034
o3_interval_10ppb,-0.030278277769199,0.0141711157269042,-2.1366191874162,0.0326289777101571,-0.0580531542146804,-0.00250340132371768,Adjust multi-organ,All,48311,5776,0.970175517701749,0.943599789797966,0.997499729572201,OK,O3,0.97 (0.94-1.00),0.033
o3_interval_10ppb,0.0268952230481653,0.0616296474875022,0.436400728295897,0.662546010649296,-0.0938966664072383,0.147687112503569,Age subgroup,<18,1215,283,1.02726016393584,0.910376829889109,1.15915015602717,OK,O3,1.03 (0.91-1.16),0.663
o3_interval_10ppb,-0.0707923318986127,0.0385686929288155,-1.83548693312659,0.0664335734393353,-0.146385580969876,0.00480091717265033,Age subgroup,18-39,5477,799,0.931655347136767,0.86382456464939,1.00481246004022,OK,O3,0.93 (0.86-1.00),0.066
o3_interval_10ppb,-0.0241004321755482,0.0227643351211099,-1.05869255778085,0.289739818318783,-0.0687177091449238,0.0205168447938275,Age subgroup,40-59,16946,2193,0.976187664183669,0.933590186855814,1.02072876206393,OK,O3,0.98 (0.93-1.02),0.290
o3_interval_10ppb,-0.0331077380105853,0.0224942923987763,-1.47182838311404,0.141067226938454,-0.0771957409698999,0.0109802649487294,Age subgroup,60+,24673,2501,0.967434324524597,0.925708636764889,1.01104076930641,OK,O3,0.97 (0.93-1.01),0.141
o3_interval_10ppb,-0.0235763354814131,0.0194192897477373,-1.21406785663519,0.22472181318049,-0.0616374439923261,0.0144847730295,Sex subgroup,Female,20774,3042,0.976699415003066,0.940223708757997,1.01459018569895,OK,O3,0.98 (0.94-1.01),0.225
o3_interval_10ppb,-0.0375345614961725,0.0210102551696447,-1.7864876553428,0.074020334239724,-0.0787139049346725,0.00364478194232748,Sex subgroup,Male,27537,2734,0.9631611288559,0.924304325527755,1.0036514322372,OK,O3,0.96 (0.92-1.00),0.074
o3_interval_10ppb,-0.0359776089100682,0.0156001585619425,-2.30623354033321,0.0210975864060811,-0.0665533578445897,-0.00540185997554666,Race subgroup,White,41708,4838,0.964661893072505,0.935612992231798,0.994612703834363,OK,O3,0.96 (0.94-0.99),0.021
o3_interval_10ppb,0.0245250413625579,0.0420772886563685,0.58285697928034,0.559989583568038,-0.0579449289710202,0.106995011696136,Race subgroup,Black,4796,675,1.02482825388175,0.943701916641386,1.11292870283893,Loglik converged before variable  8 ; beta may be infinite.,O3,1.02 (0.94-1.11),0.560
o3_interval_10ppb,-0.0260518616250765,0.0144357521734711,-1.8046764250326,0.0711253310082134,-0.0543454159748256,0.00224169272467269,listing_era,Pre-CAS,42254,5542,0.97428456031791,0.947104904830745,1.00224420719635,OK,O3,0.97 (0.95-1.00),0.071
o3_interval_10ppb,-0.0177568266230516,0.0145252463456384,-1.22248023892438,0.221526072295525,-0.0462257863270749,0.0107121330809718,calendar_era,Pre-CAS,42254,5468,0.982399896814808,0.954826351115802,1.01076971339755,OK,O3,0.98 (0.95-1.01),0.222
o3_interval_10ppb,-0.106420977514206,0.0696421311591706,-1.52811201700555,0.126484728343461,-0.242917046392795,0.0300750913643836,calendar_era,Post-CAS,7321,308,0.899046090211127,0.784336574621131,1.0305319150957,"Loglik converged before variable  5,7,14 ; beta may be infinite. ",O3,0.90 (0.78-1.03),0.126
pm25_interval_5ug,0.0518554551294826,0.0239216922324371,2.16771684150204,0.0301802372832808,0.00496979990465425,0.0987411103543109,PM2.5 + NO2,All,48311,5776,1.05322349345673,1.00498216984375,1.10378050522197,OK,PM2.5,1.05 (1.00-1.10),0.030
no2_interval_10ppb,0.123501164337807,0.0279908733033566,4.41219403908333,1.02328341418965e-05,0.0686400607674042,0.17836226790821,PM2.5 + NO2,All,48311,5776,1.13145132193286,1.07105062661875,1.19525824651733,OK,NO2,1.13 (1.07-1.20),<.001
pm25_interval_5ug,0.0606572698762343,0.0242861474829451,2.49760773786088,0.0125034464337375,0.0130572954864338,0.108257244266035,PM2.5 + NO2 + O3,All,48311,5776,1.0625346891298,1.01314291421298,1.11433436464506,OK,PM2.5,1.06 (1.01-1.11),0.013
no2_interval_10ppb,0.113716934359691,0.0284650340869988,3.99496919666891,6.47026647565681e-05,0.0579264927304681,0.169507375988913,PM2.5 + NO2 + O3,All,48311,5776,1.12043492336284,1.05963710181739,1.18472108549049,OK,NO2,1.12 (1.06-1.18),<.001
o3_interval_10ppb,-0.027638801637305,0.0143350672677193,-1.92805524530352,0.0538482549209317,-0.0557350171979938,0.000457413923383797,PM2.5 + NO2 + O3,All,48311,5776,0.97273965532584,0.945789720698897,1.00045751855308,OK,O3,0.97 (0.95-1.00),0.054
pm25_interval_5ug,,,,,,,Race subgroup,Asian,,,,,,"exp overflow due to covariates
",PM2.5,NA (NA-NA),
pm25_interval_5ug,,,,,,,listing_era,Post-CAS,,,,,,"exp overflow due to covariates
",PM2.5,NA (NA-NA),
no2_interval_10ppb,,,,,,,Race subgroup,Asian,,,,,,"exp overflow due to covariates
",NO2,NA (NA-NA),
o3_interval_10ppb,,,,,,,Race subgroup,Asian,,,,,,"exp overflow due to covariates
",O3,NA (NA-NA),
o3_interval_10ppb,,,,,,,listing_era,Post-CAS,,,,,,"exp overflow due to covariates
",O3,NA (NA-NA),
