model,subgroup,exposures,status,formula
Single pollutant,All,pm25_interval_5ug,OK,"Surv(tstart, tstop, tv_adverse_event) ~ pm25_interval_5ug + age +      sex + race + zcta_svi_proxy + lung_composite + missing_diagnosis +      missing_functional_dependence + missing_low_BMI + missing_pulmonary_pressure +      strata(listing_center)"
No center strata,All,pm25_interval_5ug,OK,"Surv(tstart, tstop, tv_adverse_event) ~ pm25_interval_5ug + age +      sex + race + zcta_svi_proxy + lung_composite + missing_diagnosis +      missing_functional_dependence + missing_low_BMI + missing_pulmonary_pressure"
Exclude multi-organ,All,pm25_interval_5ug,OK,"Surv(tstart, tstop, tv_adverse_event) ~ pm25_interval_5ug + age +      sex + race + zcta_svi_proxy + lung_composite + missing_diagnosis +      missing_functional_dependence + missing_low_BMI + missing_pulmonary_pressure +      strata(listing_center)"
Adjust multi-organ,All,pm25_interval_5ug,OK,"Surv(tstart, tstop, tv_adverse_event) ~ pm25_interval_5ug + age +      sex + race + zcta_svi_proxy + multi_organ_candidate + lung_composite +      missing_diagnosis + missing_functional_dependence + missing_low_BMI +      missing_pulmonary_pressure + strata(listing_center)"
Age subgroup,<18,pm25_interval_5ug,OK,"Surv(tstart, tstop, tv_adverse_event) ~ pm25_interval_5ug + sex +      race_group + zcta_svi_proxy + lung_composite + missing_diagnosis +      missing_functional_dependence + missing_pulmonary_pressure +      strata(listing_center)"
Age subgroup,18-39,pm25_interval_5ug,OK,"Surv(tstart, tstop, tv_adverse_event) ~ pm25_interval_5ug + sex +      race_group + zcta_svi_proxy + lung_composite + missing_diagnosis +      missing_functional_dependence + missing_low_BMI + missing_pulmonary_pressure +      strata(listing_center)"
Age subgroup,40-59,pm25_interval_5ug,OK,"Surv(tstart, tstop, tv_adverse_event) ~ pm25_interval_5ug + sex +      race_group + zcta_svi_proxy + lung_composite + missing_diagnosis +      missing_functional_dependence + missing_low_BMI + missing_pulmonary_pressure +      strata(listing_center)"
Age subgroup,60+,pm25_interval_5ug,OK,"Surv(tstart, tstop, tv_adverse_event) ~ pm25_interval_5ug + sex +      race_group + zcta_svi_proxy + lung_composite + missing_diagnosis +      missing_functional_dependence + missing_low_BMI + missing_pulmonary_pressure +      strata(listing_center)"
Sex subgroup,Female,pm25_interval_5ug,OK,"Surv(tstart, tstop, tv_adverse_event) ~ pm25_interval_5ug + age_interval +      race_group + zcta_svi_proxy + lung_composite + missing_diagnosis +      missing_functional_dependence + missing_low_BMI + missing_pulmonary_pressure +      strata(listing_center)"
Sex subgroup,Male,pm25_interval_5ug,OK,"Surv(tstart, tstop, tv_adverse_event) ~ pm25_interval_5ug + age_interval +      race_group + zcta_svi_proxy + lung_composite + missing_diagnosis +      missing_functional_dependence + missing_low_BMI + missing_pulmonary_pressure +      strata(listing_center)"
Race subgroup,White,pm25_interval_5ug,OK,"Surv(tstart, tstop, tv_adverse_event) ~ pm25_interval_5ug + age_interval +      sex + zcta_svi_proxy + lung_composite + missing_diagnosis +      missing_functional_dependence + missing_low_BMI + missing_pulmonary_pressure +      strata(listing_center)"
Race subgroup,Black,pm25_interval_5ug,Loglik converged before variable  8 ; beta may be infinite. ,"Surv(tstart, tstop, tv_adverse_event) ~ pm25_interval_5ug + age_interval +      sex + zcta_svi_proxy + lung_composite + missing_diagnosis +      missing_functional_dependence + missing_low_BMI + missing_pulmonary_pressure +      strata(listing_center)"
